Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
usr,6.0,5.8,5.67,17.52,25.37,25.06,317.66666666666663
usps,1.0,0.97,1.89,2.77,3.62,3.58,258.0
isbn,110.0,105.41,248.35,300.57,309.03,321.29,192.0818181818182
ht,7.0,6.77,5.67,5.53,19.03,19.69,181.2857142857143
zus,2.0,1.93,4.72,4.61,5.44,5.37,168.5
conf,2.0,2.9,3.78,4.61,4.53,5.37,168.5
vaccine,5.0,5.8,11.33,14.75,13.59,13.42,168.4
soa,5.0,4.84,4.72,4.61,4.53,13.42,168.4
shopper,3.0,5.8,5.67,7.38,8.16,8.05,168.33333333333337
toner,1.0,0.97,1.89,1.84,2.72,2.68,168.00000000000003
cst,1.0,2.9,2.83,2.77,2.72,2.68,168.00000000000003
betting,6.0,8.7,13.22,11.99,14.5,15.21,153.5
ent,9.0,8.7,8.5,15.67,19.94,21.48,138.66666666666669
temp,3.0,4.84,3.78,6.45,5.44,7.16,138.66666666666669
nudist,3.0,2.9,5.67,5.53,7.25,7.16,138.66666666666669
finals,12.0,15.47,12.28,23.05,25.37,26.85,123.75
asus,2.0,1.93,1.89,2.77,3.62,4.47,123.49999999999999
payday,3.0,2.9,4.72,5.53,5.44,6.26,108.66666666666667
lows,3.0,3.87,3.78,3.69,5.44,6.26,108.66666666666667
aruba,16.0,15.47,15.11,14.75,31.72,31.32,95.75
ddr,24.0,23.21,49.1,47.94,47.12,46.54,93.91666666666666
gg,6.0,6.77,8.5,10.14,11.78,11.63,93.83333333333334
wt,6.0,5.8,6.61,11.99,11.78,11.63,93.83333333333334
disclosure,15.0,15.47,18.89,20.28,25.37,28.64,90.93333333333334
zoning,26.0,33.85,42.49,45.18,51.66,49.22,89.30769230769229
reseller,1.0,1.93,1.89,1.84,1.81,1.79,79.0
logitech,2.0,2.9,3.78,3.69,3.62,3.58,79.0
sluts,1.0,0.97,1.89,1.84,1.81,1.79,79.0
pentium,2.0,1.93,1.89,1.84,1.81,3.58,79.0
bookings,1.0,0.97,0.94,1.84,1.81,1.79,79.0
configuring,1.0,1.93,1.89,1.84,1.81,1.79,79.0
realtors,1.0,0.97,0.94,1.84,1.81,1.79,79.0
receptor,2.0,1.93,4.72,3.69,3.62,3.58,79.0
malpractice,2.0,1.93,1.89,4.61,3.62,3.58,79.0
respondent,2.0,1.93,0.94,0.92,3.62,3.58,79.0
airfare,1.0,0.97,0.94,1.84,1.81,1.79,79.0
mpg,4.0,4.84,3.78,7.38,7.25,7.16,79.0
peeing,1.0,0.97,0.94,0.92,1.81,1.79,79.0
dod,2.0,1.93,1.89,1.84,1.81,3.58,79.0
latinas,3.0,5.8,5.67,5.53,5.44,5.37,79.0
casio,2.0,1.93,2.83,2.77,3.62,3.58,79.0
yamaha,5.0,4.84,8.5,8.3,8.16,8.95,78.99999999999999
warranty,5.0,4.84,4.72,4.61,8.16,8.95,78.99999999999999
align,110.0,124.75,152.98,150.28,191.22,195.1,77.36363636363636
