Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1650497.9,1657969.37,1657913.91,1660048.37,1660342.86,1659720.45
of,1049921.14,1048169.01,1047608.15,1049357.36,1048149.76,1047476.75
and,825119.31,826103.27,826676.32,828077.83,829217.69,830004.72
to,577298.3,582199.99,584473.13,585424.72,587339.08,588578.46
a,569007.32,567295.87,567054.44,566857.67,567010.78,566383.49
in,712265.15,712570.37,712724.39,714830.54,716452.82,718267.66
for,225838.97,225677.55,226021.23,226156.09,226112.57,226208.77
is,360954.86,360083.28,359213.7,358223.38,357095.44,356170.71
on,159347.77,160037.45,160201.03,159836.96,159436.27,159259.01
that,227980.63,229220.73,229664.92,229505.71,229370.29,229292.0
by,187274.98,187749.59,188092.98,188203.65,188854.38,189172.0
this,102235.73,102952.37,103193.72,103336.06,103444.84,103748.11
with,182987.59,184178.95,185079.99,186308.45,187763.6,188559.69
i,17627.27,17400.23,17228.72,17058.7,16860.46,16745.57
you,3740.23,3529.46,3375.83,3247.33,3228.48,3122.97
it,124499.51,124656.58,124647.45,124244.69,124149.52,124337.33
not,61448.42,61759.65,61935.23,61777.34,61863.73,61695.43
or,118170.51,118109.43,118657.58,118735.76,118918.53,118756.08
be,118050.06,118358.46,118990.04,119353.24,119176.15,119205.83
are,173257.27,173857.24,174464.26,175182.72,174811.3,174501.79
from,137335.12,138550.88,138960.07,139272.41,139350.97,139614.44
at,102456.23,102295.49,102165.96,102102.97,102008.74,102091.79
as,223654.45,225577.55,226710.83,228112.67,228431.16,229219.75
your,1584.29,1498.06,1447.6,1402.34,1419.66,1336.61
all,30389.39,30465.12,30251.41,30142.86,29873.06,29831.71
have,82513.77,83318.77,83977.88,84549.55,84757.27,84990.4
new,37255.33,37114.22,36655.43,36475.71,36344.64,36254.67
more,43792.57,44337.85,44590.63,44636.81,44731.03,44825.24
an,113325.77,113628.98,113970.93,114058.2,114464.07,114330.81
was,144917.66,146258.83,147011.16,148316.94,149091.24,149859.38
we,5855.34,5766.74,5687.81,5622.38,5576.3,5528.87
will,22327.06,22070.89,21662.7,21431.25,20918.45,20634.38
home,3995.43,4015.74,4040.74,4039.63,4045.2,4038.73
can,74306.49,75101.01,75921.1,76615.36,76966.52,77707.67
us,6282.04,6270.67,6360.32,6308.67,6285.22,6282.07
about,22974.25,22908.15,22872.84,22759.19,22661.5,22604.98
if,18215.26,18188.48,18220.38,18165.32,18152.22,18058.7
page,2968.5,2794.16,2653.93,2544.3,2503.12,2487.18
my,1237.22,1243.15,1238.63,1218.21,1227.81,1249.91
has,81198.97,81316.78,81405.64,80978.6,80688.32,80621.12
search,4407.84,4254.96,3903.96,3836.91,3818.64,3775.02
free,6361.66,6294.2,6215.94,6230.55,6287.05,6242.33
but,43872.19,44055.49,44176.49,44153.24,44087.89,44079.26
our,3646.32,3570.64,3508.81,3411.0,3341.76,3350.56
one,48086.07,48194.77,48251.42,48099.88,47952.2,47825.39
other,52804.24,53216.4,53536.49,53722.26,53919.5,54049.66
do,10745.0,10786.42,10737.31,10623.56,10615.44,10510.46
no,20987.77,20727.73,20690.04,20614.76,20350.22,20311.07
information,12905.03,13047.23,12880.22,12810.76,12815.27,12688.77
time,26418.45,26719.97,26615.32,26670.49,26666.5,26620.23
they,51681.35,52281.1,52250.37,52228.78,52328.1,52230.78
site,8260.36,8349.13,8364.54,8287.57,8245.7,8328.53
he,63324.66,62612.61,62176.5,61381.19,61715.73,61641.25
up,19642.34,19574.77,19531.2,19645.77,19584.67,19539.81
may,43719.07,43706.47,44041.61,44116.04,44431.38,44478.44
what,8872.84,8849.14,8820.48,8719.06,8682.37,8626.56
which,92768.78,93738.52,93734.93,94419.86,94241.74,94438.79
their,56940.54,57826.27,58156.65,58217.55,58677.27,59043.89
news,3356.41,3203.96,2940.79,2745.16,2614.58,2510.66
out,16328.81,16174.73,16056.58,15790.27,15614.38,15553.46
use,25544.64,25617.99,25758.54,25891.21,26030.67,25957.35
any,12809.07,12715.86,12619.95,12621.06,12639.87,12587.62
there,32765.82,32857.3,32873.05,33066.57,33086.93,33084.73
see,7229.35,7117.74,6939.74,6803.39,6789.5,6471.73
only,25871.3,25776.82,25722.44,25835.41,25796.8,25747.82
so,14060.58,14027.64,14052.36,13813.23,13752.57,13626.21
his,49215.09,48916.34,48431.9,47766.96,48047.21,48022.27
when,35901.74,36029.9,36062.71,35869.39,35928.06,35801.31
contact,3593.24,3758.87,3776.68,3756.93,3738.24,3756.96
here,2492.81,2462.78,2450.66,2428.99,2402.63,2395.06
business,2174.32,2127.48,2135.3,2088.63,2077.41,2055.49
who,26977.85,27439.58,27401.81,27330.74,27444.85,27548.64
web,3123.67,2990.24,2874.3,2724.7,2693.14,2638.9
also,70643.84,71442.14,71732.18,72140.52,72393.3,72494.89
now,8613.56,8600.12,8505.12,8527.49,8430.23,8406.2
help,6335.12,6492.24,6554.09,6567.19,6606.79,6623.45
get,3011.38,2994.16,2950.29,2856.76,2826.52,2794.24
pm,277.66,270.59,283.06,278.98,268.58,265.52
view,3695.32,3666.72,3638.0,3606.28,3515.34,3518.54
online,3344.16,3268.67,3248.55,3195.25,3166.36,3128.39
c,26077.5,25061.12,24654.79,24284.28,24000.77,23583.96
e,27765.92,26910.17,26366.45,26294.8,25864.41,25368.52
first,36981.75,37284.82,37240.55,37108.06,37143.09,37009.67
am,1071.85,962.76,938.47,892.74,867.87,852.54
been,64290.34,64944.01,65206.58,65322.24,65307.81,65392.79
would,18688.91,18894.37,18963.18,18857.19,18990.86,18905.82
how,12084.3,12219.77,12213.41,12170.97,12157.51,12172.19
were,54760.1,55436.04,55324.15,55898.3,56093.75,56276.74
me,1133.09,1156.88,1134.14,1097.32,1116.36,1137.93
s,121908.7,121523.2,121161.44,120614.23,120636.0,120327.5
services,3340.08,3278.48,3280.85,3284.52,3350.9,3346.95
some,33774.38,33792.61,34064.19,34275.49,34270.89,34316.58
these,48659.77,49002.62,49075.91,49359.01,49430.32,49971.19
click,208.24,203.92,195.67,200.87,186.36,187.85
its,46244.54,46369.25,46427.68,46651.04,46883.35,47171.53
like,19438.18,19502.22,19599.59,19647.63,19767.38,20043.75
service,3905.6,3890.25,3833.67,3875.96,3844.22,3821.98
x,6324.91,6105.96,6079.16,6003.65,6014.81,5868.44
than,32088.01,32306.32,32333.53,32449.1,32432.83,32423.65
find,3811.69,3845.15,3799.47,3820.17,3782.09,3724.45
price,1114.72,1090.21,1075.25,1048.96,1050.58,895.89
date,2866.42,2800.04,2777.42,2709.83,2722.38,2709.35
back,7319.18,7274.61,7181.01,7086.09,6849.79,6784.2
top,3691.23,3702.01,3712.09,3725.31,3716.32,3704.58
people,15663.24,15976.69,16115.47,16197.58,16091.26,16041.14
had,27104.43,27523.9,27491.1,27959.38,28055.1,28186.24
list,6418.83,6337.34,6229.24,6189.64,6120.78,6339.87
name,9671.11,9621.7,9690.56,9676.89,9729.3,9695.85
just,4530.34,4517.71,4521.37,4461.82,4512.93,4470.42
over,20385.49,20519.88,20634.94,20692.88,20711.99,20842.1
state,12572.24,12462.91,12505.97,12349.52,12172.13,12110.78
year,11845.43,11770.75,11801.17,11860.37,11766.51,11717.02
day,6867.98,6923.62,6920.74,6896.39,6888.16,6892.58
into,36267.19,36559.32,36663.03,36760.27,36943.93,37056.64
email,114.33,109.81,113.98,96.71,98.66,86.7
two,34942.18,34976.94,35017.85,35118.01,35138.76,35161.9
health,19732.17,19753.21,19571.09,19418.87,19319.74,19234.55
n,11400.36,11043.29,10972.88,10844.88,10622.75,10440.02
world,18319.38,18343.38,17870.83,17720.81,17688.14,17551.15
re,2768.43,2800.04,2771.72,2717.27,2711.41,2714.77
next,4134.26,4117.7,4073.04,4030.33,3981.25,3955.65
used,44915.45,44943.74,45094.06,45319.38,45456.38,45513.41
go,2545.89,2572.58,2558.95,2464.32,2473.89,2423.96
b,16992.33,16200.22,16028.08,15855.37,15428.02,15089.25
work,16898.42,16743.36,16662.59,16485.86,16504.18,16508.95
last,4420.09,4439.28,4430.19,4419.04,4363.11,4345.79
most,29727.9,29896.48,29831.57,29951.3,30041.15,30005.11
products,7660.13,7553.04,7560.95,7577.1,7498.41,7438.06
music,1521.0,1586.3,1588.18,1551.13,1595.06,1571.42
buy,353.2,333.34,332.45,319.9,332.53,312.48
data,16277.77,16123.75,16320.64,16344.51,16398.21,16355.42
make,7786.71,7796.18,7844.01,7798.42,7872.97,7876.97
them,16522.76,16602.18,16710.09,16619.77,16664.97,16673.32
should,7533.55,7505.98,7490.66,7459.93,7500.24,7447.09
product,5210.19,5135.36,5104.59,5153.69,5075.68,5015.9
system,19560.68,19435.56,19426.71,19489.55,19376.38,19416.98
post,5128.53,5123.6,5142.59,5151.83,5104.91,5079.12
her,21467.54,21772.84,21727.29,21295.48,21526.87,21555.56
city,4217.97,4272.61,4179.42,4141.92,4211.46,4260.9
t,16535.01,16053.16,16077.48,15957.66,15649.1,15407.15
add,818.69,800.01,788.39,790.44,785.65,798.35
policy,2627.55,2607.88,2557.05,2548.02,2539.67,2561.24
number,17274.07,17059.05,16926.66,16867.13,16732.57,16767.24
such,46616.11,47014.36,47470.63,47703.73,48240.88,48611.1
please,151.08,154.9,151.98,145.07,135.21,128.24
available,8017.41,7982.46,7961.8,7928.61,7885.76,7837.24
copyright,122.5,129.41,132.98,135.77,133.38,160.75
support,6590.32,6537.34,6561.69,6591.37,6626.89,6686.67
message,728.86,735.3,682.01,671.41,670.55,677.34
after,27786.33,27976.85,28175.0,28004.02,28071.54,28151.92
best,5961.51,5856.94,5752.4,5680.03,5640.25,5592.09
software,2286.6,2209.83,2169.5,2163.03,2179.73,2192.76
then,19215.65,19306.14,19424.81,19392.83,19380.03,19397.12
jan,1055.51,970.6,957.47,970.85,959.23,932.02
good,4242.47,4194.17,4160.42,4052.65,4010.48,3971.9
video,2296.81,2321.6,2298.68,2274.62,2309.45,2290.3
well,22459.77,22719.91,22658.17,22835.45,22772.96,22700.71
d,22841.55,21868.92,21052.89,20739.38,20165.69,19725.85
where,23333.58,23535.61,23617.53,23653.79,23686.5,23659.82
info,171.5,154.9,151.98,135.77,127.9,121.02
rights,2094.69,2172.58,2135.3,2138.85,2150.49,2158.45
public,8219.53,8180.5,8191.67,8168.54,8178.09,8180.42
books,3823.94,3700.05,3622.8,3539.33,3520.82,3511.31
high,20920.39,20947.34,21096.58,21159.71,21198.0,21230.44
school,8205.24,8137.36,8052.99,7954.65,7880.28,7909.49
through,24462.59,24586.61,24725.08,24838.52,24998.36,25088.55
m,27831.25,26461.14,25422.28,24992.89,24431.96,23871.15
each,16690.17,16661.01,16704.39,16720.2,16633.9,16655.26
links,1014.68,1001.97,982.16,982.01,968.36,989.81
she,22500.6,22851.29,22768.35,22279.35,22345.41,22335.85
review,5736.93,5668.7,5581.43,5518.23,5519.66,5503.59
years,17223.03,17343.37,17471.88,17380.46,17258.77,17325.37
order,11729.06,11764.86,11679.58,11765.52,11004.61,10906.02
very,11747.43,11578.59,11421.22,11326.59,11216.56,11173.35
privacy,426.7,460.79,452.14,451.95,458.6,431.69
book,10434.68,10366.81,10418.16,10389.22,10308.49,10263.0
items,1396.46,1388.25,1345.01,1331.66,1326.47,1316.74
company,6451.49,6417.73,6523.7,6511.39,6535.53,6439.21
r,15620.37,14817.85,14652.67,14501.38,14284.26,13963.97
read,1994.65,1935.32,1962.43,1945.42,1945.86,1929.05
group,17606.86,17641.41,17523.18,17477.17,17602.27,17565.6
sex,3995.43,4007.9,3976.15,3967.1,4032.41,4114.59
need,4840.66,4966.73,4986.81,5023.5,5008.08,5028.55
many,27006.44,27135.66,27206.14,27237.75,27210.98,27098.88
user,1314.8,1294.14,1286.12,1247.97,1257.04,1253.52
