Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
headset,4.08,3.92,3.8,5.58,47.5,54.19,1228.1862745098038
soa,4.08,0.0,0.0,0.0,0.0,18.06,342.6470588235294
tvs,2.04,5.88,7.6,7.44,9.14,9.03,342.6470588235294
bookmarks,2.04,3.92,1.9,1.86,1.83,9.03,342.6470588235294
decor,2.04,0.0,0.0,0.0,3.65,7.22,253.92156862745097
playlist,2.04,1.96,3.8,3.72,7.31,7.22,253.92156862745097
bmw,2.04,7.84,9.5,7.44,7.31,7.22,253.92156862745097
isbn,38.79,35.29,89.29,98.57,96.84,119.21,207.3214746068574
ro,34.71,111.77,112.08,109.73,116.93,106.57,207.0296744454047
dns,2.04,0.0,1.9,1.86,1.83,5.42,165.68627450980392
lingerie,2.04,1.96,5.7,5.58,5.48,5.42,165.68627450980392
nuke,4.08,3.92,3.8,3.72,10.96,10.84,165.68627450980392
tions,2.04,1.96,5.7,5.58,5.48,5.42,165.68627450980392
slideshow,2.04,0.0,3.8,3.72,3.65,5.42,165.68627450980392
nude,10.21,9.8,13.3,20.46,20.1,23.48,129.97061704211558
cisco,4.08,7.84,7.6,7.44,9.14,9.03,121.3235294117647
sticker,18.37,25.49,24.7,26.04,38.37,39.74,116.33097441480675
nudity,14.29,23.53,24.7,31.62,34.71,30.71,114.90552834149756
bargain,10.21,11.76,13.3,13.02,21.93,21.67,112.24289911851126
stickers,24.5,25.49,24.7,24.18,51.16,50.57,106.40816326530613
screenshots,20.42,19.61,19.0,18.6,18.27,41.54,103.42801175318313
broker,42.87,90.2,87.39,85.55,85.87,86.7,102.23932820153956
aluminum,122.5,119.61,165.28,171.11,248.49,242.03,97.57551020408164
seating,12.25,19.61,24.7,24.18,23.75,23.48,91.6734693877551
arrivals,12.25,17.65,20.9,24.18,21.93,23.48,91.6734693877551
grenada,14.29,13.73,13.3,16.74,25.58,27.09,89.57312806158153
len,38.79,35.29,74.09,74.39,74.91,72.25,86.25934519205981
marvel,522.65,545.11,583.22,634.21,933.65,964.53,84.54606333110112
copied,169.45,241.18,271.66,297.58,301.47,312.48,84.40838005311304
realm,208.24,370.59,381.85,381.27,381.86,381.11,83.01479062620054
hartford,46.96,74.51,81.69,85.55,82.22,84.89,80.77086882453152
sunglasses,6.12,7.84,7.6,9.3,10.96,10.84,77.12418300653594
