Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1048938.03,1053779.63,1053653.3,1055331.21,1055545.14,1055174.91
of,667143.75,666104.14,665461.36,666717.89,665654.1,665159.58
and,524019.85,524685.72,525161.17,526259.4,527161.43,527639.34
to,366595.45,369717.22,371233.68,371926.24,373548.24,374336.53
a,361019.86,359964.91,359750.85,359742.25,359691.1,359284.84
in,452317.77,452610.69,452774.96,454305.13,455280.5,456335.26
for,143491.18,143485.57,143726.35,143742.14,143684.25,143758.6
is,228591.57,228202.99,227992.86,227487.1,226709.55,226050.58
on,101351.12,101836.79,101944.76,101663.13,101388.13,101363.47
that,144607.06,145424.98,145710.17,145459.61,145299.13,145215.83
by,119027.42,119354.11,119596.82,119757.0,120288.48,120489.1
this,64848.08,65302.45,65426.77,65518.44,65528.69,65692.82
with,116292.73,117092.9,117697.5,118530.57,119495.31,120010.88
i,11195.97,11071.46,10966.34,10860.98,10720.97,10665.33
you,2355.9,2228.05,2132.58,2050.25,2036.0,1977.19
it,78755.71,78872.17,78894.61,78604.2,78483.1,78615.06
not,39035.54,39238.95,39356.27,39234.03,39279.78,39163.72
or,74987.03,74925.8,75279.23,75257.71,75278.45,75162.59
be,74907.69,75101.44,75491.06,75668.46,75536.37,75550.58
are,109880.23,110228.21,110617.87,111024.23,110680.24,110480.21
from,87210.59,88006.68,88278.18,88457.51,88496.49,88654.41
at,65015.72,64929.06,64834.12,64855.19,64730.95,64798.41
as,142169.26,143399.59,144089.32,144923.19,145137.07,145641.05
your,998.15,943.3,911.58,882.0,892.46,842.53
all,19274.63,19327.77,19202.71,19124.82,18957.42,18923.74
have,52414.65,52916.76,53333.45,53642.8,53693.86,53855.62
new,23628.12,23543.13,23265.55,23139.21,23075.07,23021.36
more,27764.06,28093.8,28248.3,28276.48,28315.73,28372.07
an,71973.37,72172.06,72408.82,72423.2,72700.35,72604.53
was,92320.38,93134.63,93266.89,94060.21,94578.25,95063.08
we,3693.17,3635.62,3592.77,3553.61,3524.2,3491.95
will,14163.56,14010.67,13749.88,13597.75,13277.38,13125.26
home,2535.06,2546.17,2566.95,2566.89,2572.39,2570.46
can,47024.62,47544.39,48061.51,48497.4,48681.46,49135.4
us,3986.22,3993.05,4052.13,4017.89,3996.68,3998.37
about,14560.27,14533.9,14525.8,14475.1,14396.96,14365.93
if,11537.65,11519.77,11537.57,11490.48,11477.62,11414.25
page,1873.46,1762.54,1675.6,1605.76,1574.93,1563.26
my,780.61,783.62,783.06,771.46,776.05,792.91
has,51530.39,51617.27,51682.84,51386.6,51168.26,51112.59
search,2776.92,2678.82,2458.65,2423.76,2424.03,2395.64
free,4038.69,3994.27,3942.65,3944.58,3972.72,3943.1
but,27881.8,28001.68,28098.36,28124.04,28103.45,28098.0
our,2304.71,2253.84,2214.69,2150.32,2106.76,2113.67
one,30553.78,30614.17,30636.74,30564.1,30468.14,30386.48
other,33481.7,33751.12,33947.47,34057.21,34165.81,34243.87
do,6827.12,6852.42,6822.58,6747.68,6736.84,6673.73
no,13344.56,13182.82,13170.32,13110.2,12939.57,12909.83
information,8159.28,8248.94,8149.49,8106.75,8100.64,8015.91
time,16820.19,17007.6,16955.88,16997.77,16992.17,16960.08
they,32767.64,33143.14,33121.57,33092.59,33126.12,33066.35
site,5387.48,5438.7,5452.83,5390.93,5359.34,5401.47
he,40514.85,40069.25,39815.63,39415.55,39726.01,39669.02
up,12434.71,12397.97,12369.42,12481.86,12460.24,12429.35
may,27790.94,27792.88,28000.77,28036.78,28247.25,28273.95
what,5620.38,5608.2,5594.44,5529.39,5492.87,5461.24
which,58781.09,59405.61,59405.1,59836.61,59698.01,59813.13
their,36157.52,36716.12,36926.18,36974.33,37284.86,37523.77
news,2133.24,2032.76,1869.57,1737.24,1652.54,1590.32
out,10370.57,10266.95,10192.81,10027.85,9915.24,9882.57
use,16175.23,16259.59,16351.34,16424.12,16488.88,16437.87
any,8117.05,8056.1,8003.11,8000.87,8010.48,7975.31
there,20768.02,20826.23,20828.32,20936.53,20946.63,20935.89
see,4577.44,4512.6,4405.58,4327.4,4312.81,4121.31
only,16405.57,16343.11,16313.26,16388.04,16348.51,16313.8
so,8913.01,8891.31,8889.7,8745.57,8720.34,8654.3
his,31569.85,31329.01,30975.91,30767.73,31215.66,31188.41
when,22812.96,22884.78,22918.05,22798.28,22821.72,22733.75
contact,2294.48,2395.09,2406.29,2395.84,2384.09,2394.51
here,1588.09,1563.56,1554.21,1540.6,1522.44,1517.01
business,1383.34,1353.53,1360.23,1328.82,1339.84,1325.27
who,17201.54,17516.1,17487.84,17508.58,17696.33,17766.52
web,1982.23,1898.88,1821.97,1718.63,1694.77,1662.51
also,44832.51,45320.03,45475.52,45789.71,45929.89,45994.23
now,5451.46,5441.15,5382.61,5390.93,5321.68,5310.11
help,4029.73,4131.84,4175.9,4205.23,4247.76,4255.53
get,1909.29,1893.96,1864.81,1810.55,1794.06,1773.04
pm,175.32,170.73,178.51,178.03,171.19,169.18
view,2341.83,2322.62,2303.94,2282.97,2223.17,2225.33
online,2107.64,2058.55,2050.46,2014.18,1991.49,1971.55
c,16571.93,15926.74,15664.68,15412.95,15281.43,15031.39
e,17672.46,17130.42,16809.51,16739.45,16452.36,16137.85
first,23527.02,23728.59,23709.44,23618.61,23644.56,23578.54
am,687.19,617.81,603.36,573.65,559.22,548.15
been,40813.02,41221.35,41391.26,41423.91,41373.99,41429.65
would,11904.92,12035.64,12070.71,12022.24,12137.27,12086.47
how,7679.39,7772.38,7769.86,7742.55,7722.89,7733.94
were,34753.71,35191.86,35117.29,35434.9,35536.46,35667.26
me,712.79,728.35,714.03,688.85,700.73,715.08
s,77705.09,77501.44,77305.89,77146.22,77269.94,77133.01
services,2163.95,2127.33,2127.82,2123.56,2161.54,2157.65
some,21497.44,21499.31,21662.55,21782.46,21746.65,21760.38
these,30878.82,31083.36,31127.04,31268.07,31285.28,31620.4
click,130.53,127.74,122.58,125.67,116.41,117.3
its,29345.76,29500.15,29522.85,29648.35,29771.97,29951.12
like,12322.1,12364.81,12415.83,12442.3,12504.75,12686.51
service,2492.83,2481.07,2456.27,2479.62,2462.83,2445.27
x,4027.17,3887.42,3885.53,3830.55,3836.91,3743.47
than,20331.65,20468.81,20485.58,20556.04,20522.08,20514.06
find,2439.08,2457.73,2436.04,2457.51,2429.74,2391.13
price,701.27,691.51,681.9,664.41,665.35,569.58
date,1822.27,1782.19,1780.32,1731.43,1743.84,1740.33
back,4636.3,4605.94,4541.24,4481.0,4333.35,4292.75
top,2332.87,2339.82,2351.55,2357.44,2346.42,2338.12
people,9935.48,10133.08,10229.7,10276.85,10207.4,10172.44
had,17289.84,17546.8,17468.8,17765.74,17834.42,17914.28
list,4065.56,4018.84,3954.55,3924.8,3876.85,4013.03
name,6114.34,6078.62,6120.45,6105.37,6143.39,6126.7
just,2879.29,2867.97,2871.6,2836.84,2865.7,2841.15
over,12972.18,13056.31,13137.0,13181.18,13197.5,13287.67
state,8005.71,7934.5,7956.7,7847.27,7733.16,7696.72
year,7487.44,7439.52,7461.64,7492.38,7443.28,7415.88
day,4454.59,4504.0,4509.11,4499.61,4488.56,4495.77
into,22993.4,23178.33,23251.27,23317.24,23441.42,23516.51
email,71.66,68.78,71.4,60.51,61.63,55.27
two,22188.47,22208.02,22225.44,22292.12,22326.41,22349.14
health,12493.57,12524.48,12406.31,12300.34,12214.87,12160.91
n,7190.55,6980.15,6934.44,6836.11,6687.77,6568.83
