Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
headset,2.56,2.46,2.38,3.49,29.67,33.84,1221.8750000000002
playlist,1.28,1.23,2.38,2.33,4.57,5.64,340.62499999999994
tvs,1.28,3.68,4.76,4.65,5.71,5.64,340.62499999999994
bookmarks,1.28,2.46,1.19,1.16,1.14,5.64,340.62499999999994
soa,2.56,0.0,0.0,0.0,0.0,11.28,340.62499999999994
decor,1.28,0.0,0.0,0.0,2.28,4.51,252.34374999999994
bmw,1.28,4.91,5.95,4.65,4.57,4.51,252.34374999999994
isbn,24.31,22.11,57.12,62.83,61.63,75.57,210.8597285067873
ro,23.03,72.47,72.59,69.82,74.18,67.67,193.83412939643944
wicked,29.43,39.3,38.08,39.56,50.22,78.95,168.26367652055728
nuke,2.56,2.46,2.38,2.33,6.85,6.77,164.45312499999994
tions,1.28,1.23,3.57,3.49,3.42,3.38,164.06249999999997
dns,1.28,0.0,1.19,1.16,1.14,3.38,164.06249999999997
slideshow,1.28,0.0,2.38,2.33,2.28,3.38,164.06249999999997
lingerie,1.28,1.23,3.57,3.49,3.42,3.38,164.06249999999997
nude,6.4,6.14,8.33,12.8,12.55,14.66,129.0625
cisco,2.56,4.91,4.76,4.65,5.71,5.64,120.31249999999997
nudity,8.96,14.74,15.47,19.78,21.68,19.17,113.95089285714286
bargain,6.4,7.37,8.33,8.15,13.7,13.53,111.40624999999997
stickers,15.36,15.97,15.47,15.13,31.96,31.58,105.59895833333333
sip,16.64,34.39,34.51,34.91,34.24,33.84,103.36538461538463
sticker,12.8,17.2,16.66,17.45,25.11,25.94,102.65625
screenshots,12.8,12.28,11.9,11.64,11.41,25.94,102.65625
broker,26.87,56.5,54.74,53.53,53.64,54.14,101.48864905098623
aluminum,76.78,74.92,103.53,107.05,155.21,151.14,96.8481375358166
seating,7.68,12.28,15.47,15.13,14.84,14.66,90.88541666666667
arrivals,8.96,12.28,14.28,16.29,14.84,16.92,88.83928571428572
grenada,8.96,8.6,8.33,10.47,15.98,16.92,88.83928571428572
arrested,250.82,245.65,248.72,260.64,462.21,468.07,86.61589984849694
len,24.31,22.11,46.41,46.54,46.79,45.12,85.60263266145618
marvel,327.6,341.45,365.35,396.79,583.18,603.42,84.19413919413917
realm,133.09,234.6,242.77,242.03,241.95,241.37,81.35847922458487
copied,111.33,157.22,177.32,193.16,195.15,201.89,81.34375280697026
hartford,29.43,46.67,51.17,53.53,51.36,53.01,80.1223241590214
syndication,1.28,1.23,2.38,2.33,2.28,2.26,76.56249999999997
panasonic,1.28,1.23,1.19,1.16,2.28,2.26,76.56249999999997
username,1.28,2.46,2.38,2.33,2.28,2.26,76.56249999999997
invoice,1.28,1.23,1.19,2.33,2.28,2.26,76.56249999999997
adidas,1.28,1.23,1.19,2.33,2.28,2.26,76.56249999999997
bridal,1.28,0.0,1.19,0.0,2.28,2.26,76.56249999999997
fujitsu,1.28,2.46,2.38,2.33,2.28,2.26,76.56249999999997
debug,1.28,1.23,1.19,2.33,2.28,2.26,76.56249999999997
zoloft,1.28,2.46,2.38,2.33,2.28,2.26,76.56249999999997
whats,1.28,1.23,1.19,1.16,1.14,2.26,76.56249999999997
ambien,1.28,0.0,1.19,2.33,2.28,2.26,76.56249999999997
anaheim,1.28,1.23,2.38,2.33,2.28,2.26,76.56249999999997
securities,20.47,23.34,29.75,29.09,36.52,36.09,76.30679042501224
sunglasses,3.84,4.91,4.76,5.82,6.85,6.77,76.30208333333333
radios,3.84,4.91,4.76,5.82,6.85,6.77,76.30208333333333
aud,10.24,8.6,14.28,12.8,12.55,18.05,76.26953125
thong,2.56,2.46,2.38,4.65,4.57,4.51,76.17187499999999
barbie,5.12,4.91,4.76,5.82,7.99,9.02,76.17187499999999
hostels,2.56,3.68,3.57,3.49,4.57,4.51,76.17187499999999
gzip,2.56,3.68,4.76,4.65,4.57,4.51,76.17187499999999
paypal,2.56,3.68,4.76,4.65,4.57,4.51,76.17187499999999
filename,2.56,2.46,3.57,3.49,3.42,4.51,76.17187499999999
mariah,2.56,3.68,3.57,3.49,4.57,4.51,76.17187499999999
avatar,65.26,74.92,74.97,104.72,119.83,113.92,74.56328532025742
isp,28.15,29.48,34.51,33.74,49.07,48.5,72.29129662522203
johnny,55.03,63.87,71.4,72.14,85.59,94.74,72.16063965109939
twist,89.58,94.58,95.2,90.76,150.65,153.39,71.23241795043536
nb,17.92,19.65,32.13,32.58,31.96,30.45,69.92187499999997
gossip,14.08,14.74,22.61,24.44,23.97,23.69,68.25284090909092
allah,14.08,14.74,15.47,18.62,23.97,23.69,68.25284090909092
passport,14.08,17.2,22.61,22.11,22.83,23.69,68.25284090909092
blame,90.86,138.79,144.0,141.96,147.22,152.27,67.58749724851421
bathrooms,11.52,12.28,13.09,15.13,19.4,19.17,66.40625000000003
ver,8.96,11.05,10.71,12.8,14.84,14.66,63.616071428571416
spam,8.96,9.83,10.71,13.96,14.84,14.66,63.616071428571416
css,7.68,7.37,14.28,13.96,12.55,12.41,61.58854166666667
runtime,14.08,15.97,21.42,30.25,28.53,22.56,60.22727272727272
andorra,6.4,7.37,9.52,9.31,9.13,10.15,58.59375
squad,56.31,77.38,77.35,77.96,83.31,89.1,58.23122003196589
daisy,221.39,224.77,337.98,325.81,322.98,348.52,57.42355119924116
tattoo,29.43,44.22,42.84,43.05,45.65,46.24,57.11858647638465
amp,140.77,191.61,186.84,209.45,219.12,219.94,56.24067628045747
pod,117.73,128.97,129.72,141.96,195.15,182.72,55.2025821795634
fetish,5.12,6.14,8.33,8.15,7.99,7.9,54.296875
booty,5.12,6.14,5.95,6.98,6.85,7.9,54.296875
booking,5.12,6.14,8.33,4.65,6.85,7.9,54.296875
interracial,5.12,6.14,5.95,5.82,6.85,7.9,54.296875
volleyball,30.71,38.08,40.46,37.23,45.65,47.37,54.2494301530446
incl,15.36,13.51,14.28,31.42,23.97,23.69,54.23177083333335
subscribe,15.36,14.74,14.28,12.8,22.83,23.69,54.23177083333335
comics,380.07,380.76,386.77,408.42,554.65,584.25,53.721682847896446
snap,93.42,95.8,155.9,151.27,144.94,143.24,53.32905159494755
workout,19.2,18.42,19.04,29.09,29.67,29.33,52.760416666666664
christianity,66.54,88.43,90.44,94.25,101.57,101.51,52.55485422302374
boxed,8.96,13.51,14.28,15.13,15.98,13.53,51.00446428571427
screenshot,34.55,34.39,33.32,34.91,35.38,51.88,50.1591895803184
dare,12.8,12.28,15.47,12.8,15.98,19.17,49.76562500000001
christians,55.03,66.33,71.4,81.45,79.89,82.34,49.62747592222424
fl,861.23,938.38,1052.01,1182.21,1239.41,1274.52,47.98834225468225
tommy,23.03,33.16,35.7,36.07,36.52,33.84,46.93877551020409
erotic,65.26,67.55,69.02,68.65,70.76,95.87,46.90468893656144
nc,72.94,68.78,99.96,97.74,93.58,107.15,46.901562928434345
doll,57.59,60.18,60.69,65.16,86.74,84.59,46.8831394339295
bondage,3.84,4.91,4.76,5.82,6.85,5.64,46.87499999999999
rentals,3.84,3.68,3.57,4.65,5.71,5.64,46.87499999999999
