Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
crucial,683.35,689.05,708.08,715.61,769.21,809.83,18.508816858125414
additionally,1629.04,1728.15,1742.24,1770.99,1827.15,1910.65,17.28686833963562
capabilities,406.94,404.09,412.95,415.4,427.97,437.62,7.539194967317051
significant,4152.58,4163.77,4202.08,4209.88,4263.74,4422.46,6.499092130675391
enhance,751.18,748.01,746.16,738.88,770.35,794.03,5.704358475997768
valuable,554.1,550.26,558.14,550.38,570.63,585.37,5.643385670456593
effectively,833.08,831.53,825.9,840.11,861.65,871.86,4.655015124597874
significantly,2060.29,2072.06,2074.26,2090.98,2112.47,2140.74,3.9047901023642217
are,109880.23,110228.21,110617.87,111024.23,110680.24,110480.21,0.5460308919994166
is,228591.57,228202.99,227992.86,227487.1,226709.55,226050.58,-1.111585173504001
comprehensive,885.54,862.23,869.93,856.4,855.94,875.24,-1.163132100187451
