Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,983744.47,986656.83,988714.71,990132.57,991608.78,992237.16
of,495420.18,494600.57,494689.34,494659.81,494302.18,493758.45
and,479283.22,478738.15,479510.11,480657.02,481505.11,481706.89
to,369341.09,371172.37,372764.37,374307.94,375324.58,375493.04
a,379347.44,378831.1,379192.44,379458.45,379287.55,379575.09
in,360217.2,361590.85,363673.96,365532.37,367547.53,368970.03
for,180483.41,180551.23,180621.72,180975.8,181432.82,181685.11
is,202167.85,199447.19,197416.45,195665.8,193455.91,192013.6
on,139529.85,140631.84,141370.74,141887.88,142034.2,142251.31
that,130965.8,131998.82,132906.33,133674.57,133965.55,134238.13
by,118424.23,118406.14,118596.23,119081.05,119300.23,119611.54
this,52657.53,52588.53,52376.91,52224.78,52179.4,52181.8
with,120057.16,120890.55,121546.14,122228.46,122825.8,123302.09
i,13670.74,13693.35,13571.0,13211.98,13024.3,12946.42
you,5921.0,5693.5,5516.93,5383.01,5132.48,4987.64
it,89209.15,89263.88,89562.48,89663.88,89633.77,89813.62
not,35400.03,35550.46,35727.58,35796.59,35653.57,35630.63
or,62827.77,62408.0,62077.18,62037.1,61868.14,61685.9
be,77013.49,77083.14,76917.97,77000.72,76614.9,76258.87
are,71701.5,71311.43,70753.22,70396.7,69785.55,69234.03
from,74471.36,74877.46,75178.88,75515.58,75660.21,75816.03
at,64089.78,63847.4,63763.76,63513.53,63435.49,63520.07
as,138431.74,139370.5,140072.68,140768.89,141154.74,141348.02
your,2844.04,2731.52,2616.3,2517.13,2373.13,2319.91
all,26083.78,25934.0,25876.26,25856.96,25712.02,25573.36
have,31261.2,31303.84,31203.37,31070.74,31013.56,30905.78
new,30073.38,30201.42,30287.38,30264.91,30208.56,30174.87
more,24149.8,24360.65,24430.39,24579.81,24561.13,24489.26
an,81387.81,81266.52,81439.75,81682.28,81608.55,81578.26
was,115994.24,117677.29,119520.3,121515.94,123576.52,124940.89
we,8624.43,8514.87,8468.45,8452.13,8274.16,8254.51
will,16896.06,16597.93,16163.07,15913.38,15367.18,15110.04
home,3931.8,3908.82,3924.05,3911.32,3882.32,3857.57
can,52247.78,52251.56,51952.04,51842.04,51520.2,51255.52
us,5580.26,5671.87,5617.9,5579.92,5631.14,5594.44
about,13347.26,13352.22,13314.14,13248.36,13254.63,13233.73
if,18923.21,18846.87,18692.14,18618.72,18508.09,18420.58
page,4626.21,4540.32,4435.35,4302.77,4188.65,4105.8
my,1458.68,1439.39,1438.6,1402.1,1426.98,1419.68
has,45212.29,45026.32,44853.53,44436.14,43982.02,43662.96
search,6806.9,6746.83,6685.74,6655.42,6609.87,6584.3
free,9739.8,9653.9,9600.11,9526.83,9421.17,9360.07
but,24434.46,24588.63,24901.31,24898.51,24889.18,24893.02
our,2163.44,2128.3,2134.07,2133.59,2049.73,2048.69
