Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
dicke,2.76,9.33,9.07,11.41,11.2,12.29,345.28985507246375
hostel,4.15,6.67,11.66,13.95,17.42,18.44,344.33734939759034
pmid,2.76,4.0,5.18,5.07,9.95,11.06,300.7246376811595
beans,20.74,65.34,64.76,71.0,72.15,73.75,255.59305689488917
hentai,4.15,4.0,12.95,11.41,12.44,12.29,196.14457831325296
unwrap,1.38,1.33,3.89,3.8,3.73,3.69,167.3913043478261
beads,8.29,13.34,16.84,19.02,18.66,18.44,122.43667068757543
granny,16.59,24.0,25.9,35.5,33.59,36.87,122.24231464737791
fo,22.12,18.67,20.72,44.37,44.78,47.94,116.72694394213379
ww,29.03,28.0,28.49,27.89,27.37,60.23,107.47502583534272
petite,4.15,5.33,5.18,5.07,7.46,8.6,107.22891566265058
villas,5.53,10.67,10.36,10.14,8.71,11.06,100.0
andorra,11.06,12.0,16.84,19.02,19.9,22.12,100.0
tba,11.06,12.0,20.72,16.48,12.44,22.12,100.0
toddler,35.94,24.0,24.61,24.09,22.39,70.06,94.93600445186424
rl,45.62,70.68,73.82,74.8,80.86,88.5,93.99386234107848
zen,301.36,346.73,378.18,438.65,508.78,583.85,93.73838598354128
shaved,8.29,12.0,12.95,15.21,13.68,15.98,92.76236429433055
maui,16.59,21.34,23.31,26.62,27.37,31.96,92.64617239300784
cove,53.91,60.01,102.32,107.76,102.0,103.25,91.52290855128919
boating,9.68,18.67,19.43,19.02,18.66,18.44,90.49586776859506
loud,222.56,214.7,249.96,322.02,388.11,419.14,88.32674335010783
myrtle,16.59,13.34,19.43,21.55,21.15,30.73,85.23206751054853
ton,82.94,85.35,121.74,120.44,146.79,151.19,82.2884012539185
capitol,82.94,76.01,160.6,154.67,151.76,151.19,82.2884012539185
tgp,1.38,2.67,2.59,2.54,2.49,2.46,78.2608695652174
vitamins,2.76,4.0,3.89,3.8,3.73,4.92,78.2608695652174
spanking,2.76,4.0,3.89,3.8,3.73,4.92,78.2608695652174
shakira,1.38,4.0,5.18,2.54,2.49,2.46,78.2608695652174
vibrators,1.38,2.67,3.89,3.8,2.49,2.46,78.2608695652174
peeing,1.38,1.33,1.3,2.54,2.49,2.46,78.2608695652174
kinase,2.76,2.67,1.3,1.27,1.24,4.92,78.2608695652174
refinance,1.38,1.33,1.3,1.27,2.49,2.46,78.2608695652174
dui,1.38,1.33,1.3,2.54,3.73,2.46,78.2608695652174
skirts,11.06,10.67,14.25,15.21,22.39,19.67,77.84810126582279
