Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
hostel,2.59,4.16,7.27,8.7,10.86,11.49,343.6293436293437
dicke,1.73,5.82,5.65,7.12,6.98,7.66,342.77456647398844
pmid,1.73,2.5,3.23,3.16,6.2,6.9,298.84393063583815
beans,12.94,40.77,40.39,44.29,44.98,45.97,255.2550231839258
hentai,2.59,2.5,8.08,7.12,7.76,7.66,195.7528957528958
granny,10.35,14.98,16.15,22.14,20.94,22.98,122.02898550724639
beads,5.18,8.32,10.5,11.86,11.63,11.49,121.81467181467183
fo,13.8,11.65,12.92,27.68,27.92,29.88,116.52173913043475
ww,18.11,17.47,17.77,17.4,17.06,37.54,107.28879072335727
hepatitis,2.59,1.66,1.62,3.95,5.43,5.36,106.94980694980698
maui,10.35,13.31,14.54,17.4,17.84,20.69,99.9033816425121
tba,6.9,7.49,12.92,10.28,7.76,13.79,99.8550724637681
toddler,22.43,14.98,15.35,15.03,13.96,43.67,94.69460543914401
zen,188.05,217.16,236.67,274.41,317.97,364.69,93.93246477000797
rl,28.47,44.1,46.04,46.66,50.41,55.16,93.74780470670882
shaved,5.18,7.49,8.08,9.49,8.53,9.96,92.27799227799231
cove,33.64,37.44,63.81,67.22,63.59,64.36,91.31985731272295
boating,6.04,11.65,12.12,11.86,11.63,11.49,90.23178807947019
andorra,7.76,7.49,10.5,11.86,12.41,14.56,87.62886597938146
loud,140.61,135.62,157.51,203.24,244.29,263.56,87.44043809117416
myrtle,10.35,8.32,12.12,13.44,13.18,19.15,85.02415458937197
ton,52.62,54.08,76.74,75.92,92.29,95.0,80.5397187381224
capitol,52.62,48.26,102.58,97.27,95.39,95.0,80.5397187381224
vibrators,0.86,1.66,2.42,2.37,1.55,1.53,77.90697674418605
dui,0.86,0.83,0.81,1.58,2.33,1.53,77.90697674418605
peeing,0.86,0.83,0.81,1.58,1.55,1.53,77.90697674418605
refinance,0.86,0.83,0.81,0.79,1.55,1.53,77.90697674418605
tgp,0.86,1.66,1.62,1.58,1.55,1.53,77.90697674418605
villas,4.31,7.49,7.27,7.12,6.2,7.66,77.72621809744781
petite,3.45,4.16,4.04,3.95,5.43,6.13,77.68115942028984
skirts,6.9,6.66,8.89,9.49,13.96,12.26,77.68115942028984
niger,3.45,3.33,4.85,5.54,6.98,6.13,77.68115942028984
paraguay,13.8,14.98,19.39,18.19,24.82,24.52,77.68115942028984
prairie,9.49,11.65,12.92,17.4,16.29,16.86,77.66069546891464
kinase,1.73,2.5,1.62,0.79,0.78,3.06,76.878612716763
unwrap,1.73,1.66,3.23,3.16,3.1,3.06,76.878612716763
spanking,1.73,2.5,2.42,2.37,2.33,3.06,76.878612716763
shakira,1.73,3.33,4.85,3.16,3.1,3.06,76.878612716763
vitamins,1.73,2.5,2.42,2.37,2.33,3.06,76.878612716763
grocery,36.23,45.76,56.54,59.31,61.27,62.82,73.39221639525258
fuck,30.19,35.78,42.0,46.66,51.19,51.33,70.02318648559124
eval,35.37,44.93,55.73,56.15,58.94,59.76,68.95674300254454
gen,317.44,418.51,433.76,470.53,514.18,536.31,68.94846270161288
porcelain,8.63,8.32,8.89,7.12,9.31,14.56,68.7137891077636
penis,14.66,17.47,19.39,19.77,24.04,24.52,67.25784447476126
fruits,37.09,51.59,50.89,50.61,61.27,61.29,65.24669722297112
papua,5.18,6.66,10.5,11.07,10.08,8.43,62.74131274131275
usps,5.18,4.99,4.85,7.12,8.53,8.43,62.74131274131275
mls,19.84,19.14,20.19,24.51,27.92,32.18,62.19758064516129
knee,31.92,39.1,37.16,45.87,48.08,51.33,60.80827067669171
jewellery,4.31,4.99,5.65,5.54,6.98,6.9,60.092807424593985
autos,4.31,4.16,7.27,7.12,7.76,6.9,60.092807424593985
thee,8.63,8.32,12.92,11.86,12.41,13.79,59.7914252607184
ai,2651.68,2987.78,3107.41,3415.49,3864.48,4224.56,59.31635793157548
canal,39.68,39.94,44.43,49.03,53.51,62.82,58.31653225806451
disco,35.37,42.43,46.04,52.19,53.51,55.93,58.12835736499859
brave,113.87,131.46,192.24,189.0,182.25,180.05,58.118907526126286
teddy,41.41,44.1,42.81,42.7,61.27,65.12,57.25670127988411
mg,32.78,39.94,42.0,38.75,41.88,51.33,56.589383770591816
gospel,6.9,8.32,7.27,8.7,9.31,10.73,55.507246376811594
latina,10.35,9.98,11.31,13.44,16.29,16.09,55.45893719806764
wy,3.45,3.33,4.04,4.74,4.65,5.36,55.36231884057972
paintball,3.45,3.33,4.04,3.16,4.65,5.36,55.36231884057972
dad,33.64,39.94,47.66,50.61,51.19,52.1,54.87514863258026
liz,52.62,79.04,79.16,80.66,81.43,81.21,54.33295324971493
nut,25.88,38.27,35.54,34.8,31.8,39.84,53.94126738794438
collectables,9.49,14.14,13.73,15.82,14.74,14.56,53.42465753424658
floyd,84.54,133.95,135.7,132.86,134.17,129.48,53.15826827537258
moderators,77.64,85.7,104.2,114.67,116.33,118.75,52.94951056156621
vaccine,45.72,49.09,58.16,68.01,66.7,69.72,52.493438320209975
cancel,131.12,158.08,176.9,185.84,188.45,197.67,50.75503355704697
nn,36.23,37.44,43.62,52.98,52.74,54.4,50.1518078940105
honduras,13.8,15.81,21.0,18.98,20.16,20.69,49.92753623188406
postage,10.35,9.98,10.5,10.28,13.96,15.32,48.019323671497595
cabin,38.82,44.93,43.62,46.66,45.76,57.46,48.01648634724369
podcast,322.62,377.74,427.3,446.01,453.69,477.31,47.948050337858774
bestiality,2.59,2.5,2.42,3.16,3.88,3.83,47.876447876447884
lender,5.18,5.82,6.46,7.12,7.76,7.66,47.876447876447884
fucked,2.59,3.33,3.23,3.16,3.1,3.83,47.876447876447884
stud,2.59,2.5,4.04,3.16,3.88,3.83,47.876447876447884
furnishings,2.59,2.5,3.23,3.16,3.1,3.83,47.876447876447884
horizon,297.6,318.66,344.1,363.77,363.72,439.0,47.51344086021504
brake,22.43,27.46,32.31,32.42,32.57,32.94,46.85688809629959
peaceful,59.52,81.54,87.24,88.57,88.41,87.34,46.740591397849464
