Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1706651.78,1709207.27,1709765.35,1709802.77,1711797.72,1710639.5
of,1069896.78,1067300.19,1067052.39,1066625.85,1064546.26,1062574.09
and,809368.28,810059.75,811691.49,813044.93,812743.8,813282.81
to,553322.83,556609.33,559491.38,561987.65,564160.64,564774.97
a,585085.66,583269.32,583196.31,583181.62,583027.73,582631.93
in,732982.41,734780.8,736796.42,738852.42,740933.9,742111.08
for,247190.42,247544.24,248360.46,248997.24,249430.95,249509.73
is,395470.72,392747.82,391454.95,390544.54,389138.33,388150.73
on,153624.75,154159.23,154134.5,154157.77,154028.11,153727.7
that,169591.05,170810.56,171187.32,171528.46,172200.17,172046.06
by,188877.19,189711.96,190150.08,190945.6,191548.44,191677.05
this,98430.17,98658.17,98524.79,98464.9,98650.78,98750.03
with,199672.99,200195.38,201190.08,201860.71,202913.38,203552.81
i,18546.3,18489.53,18135.45,17917.7,17719.52,17614.02
you,1988.98,2041.09,1909.93,1856.36,1777.68,1743.89
it,131676.86,131145.21,130918.43,130700.08,130895.35,131117.42
not,52625.06,52613.9,52439.02,52418.53,52669.76,52723.43
or,113637.76,114033.31,114370.3,114318.68,114581.17,114966.68
be,124129.66,124368.62,124436.53,124434.61,124500.66,124179.53
are,157229.64,157381.15,157619.87,157666.83,157530.01,157330.36
from,142843.63,143158.43,143753.57,143566.61,143665.63,143742.72
at,136021.59,136150.55,135900.09,135852.12,135752.94,135750.21
as,229008.8,230257.86,231533.26,232404.41,233305.8,234357.11
your,853.02,819.68,765.95,729.36,742.77,725.05
all,24636.88,24712.22,24672.76,24637.08,24530.47,24397.49
have,62060.64,62732.12,63110.89,63213.38,63467.59,63650.04
new,34154.2,33909.31,33868.14,33885.92,33772.12,33664.95
more,37149.19,37419.34,37563.32,37767.41,37921.31,37909.8
an,118085.18,118121.58,118257.46,118200.17,118442.04,118401.73
was,178274.21,179561.28,180281.76,180823.86,182444.27,183196.78
we,4981.87,4918.1,4896.55,4901.81,4836.59,4823.0
will,20495.46,20546.85,20358.1,20274.53,20029.94,19851.32
home,3403.68,3432.93,3416.11,3396.55,3385.42,3399.26
can,80248.55,80686.01,81123.63,81522.91,81958.53,82137.89
us,7855.3,8113.64,8096.92,8017.09,8105.54,8231.68
about,18433.13,18375.91,18250.24,18162.11,18053.68,18139.45
if,16052.22,15939.18,15788.11,15836.32,15773.81,15646.03
page,3122.84,3014.97,2925.26,2818.49,2804.95,2920.92
my,825.77,858.23,827.31,816.65,815.33,792.85
has,78024.83,77912.48,78135.03,78000.28,77914.35,77650.11
search,1456.63,1430.39,1411.17,1441.25,1441.62,1421.85
free,8829.88,8803.48,8686.73,8736.75,8766.2,8672.36
but,38733.67,38648.86,38715.22,38919.64,39154.8,39179.1
our,1894.66,1884.86,1842.64,1800.11,1764.31,1809.8
one,44646.1,44475.91,44417.3,44362.65,44298.81,44286.48
other,47410.55,47383.35,47558.3,47718.46,47829.35,47985.18
do,7205.58,7214.83,7142.95,7060.78,7064.9,7058.42
no,20195.75,19994.99,19772.25,19564.57,19415.1,19380.51
information,6964.56,6924.7,6917.32,6862.92,6866.32,6817.36
time,25362.05,25475.1,25458.51,25554.59,25679.94,25599.0
they,37543.22,37896.13,37858.22,37767.41,37871.66,37858.95
site,10114.64,10215.6,10167.17,10057.73,9957.69,10037.72
he,87085.26,86752.48,86354.66,86498.43,86735.93,86331.88
up,19912.81,19893.54,19934.55,19913.73,19817.99,19760.93
may,35254.53,35349.84,35360.46,35445.5,35461.96,35559.5
what,5025.88,5029.69,4948.01,4987.16,4911.06,4883.26
which,91735.98,91993.18,92535.72,92769.72,92893.84,92874.29
their,38004.31,38667.12,38869.59,39175.69,39569.15,39710.18
news,3380.63,3278.73,2950.99,2756.42,2711.39,2598.88
out,13939.59,14025.91,13979.12,13978.02,13860.56,13847.53
use,30069.36,30109.14,30301.62,30442.82,30484.07,30717.67
any,11801.81,11822.51,11659.49,11588.21,11616.98,11559.38
there,26944.43,27082.0,27035.93,26978.39,26947.81,27024.62
see,6071.72,6015.74,5862.4,5850.36,5745.48,5704.36
only,22758.99,22770.55,22648.04,22710.88,22695.5,22612.17
so,13950.07,13977.22,14000.89,13921.76,13902.57,13796.68
his,54565.83,54581.95,54455.83,54790.88,55094.74,54909.88
when,34076.66,34181.18,34143.25,34318.49,34280.02,34260.06
contact,4017.77,3970.59,3952.47,3928.04,3996.44,3958.59
here,2852.47,2818.17,2842.14,2839.83,2812.59,2774.03
business,4929.47,4922.16,4934.16,4907.63,4922.51,4853.13
who,18263.36,18467.21,18353.16,18472.47,18597.86,18708.19
web,1988.98,1925.44,1814.93,1677.91,1651.66,1598.88
also,70525.83,71194.74,71510.63,72010.26,72377.0,72486.24
now,8201.12,8239.44,8199.84,8240.16,8164.73,8111.15
help,3705.49,3763.64,3804.03,3869.85,3920.06,3915.27
get,2162.93,2172.97,2119.73,2114.35,2111.83,2088.52
pm,681.16,681.72,706.58,727.42,761.86,755.18
view,1817.11,1832.11,1771.39,1747.74,1726.13,1740.12
online,2357.85,2302.82,2214.73,2151.21,2157.66,2122.42
c,32611.65,32462.69,32173.95,31595.05,31022.53,30706.37
e,26397.41,25815.95,25444.65,25234.53,24906.62,24629.13
first,37417.46,37616.14,37670.2,37790.69,37801.02,37766.67
am,2068.62,1974.14,1905.97,1800.11,1739.49,1711.87
been,55276.32,55689.74,55989.71,55927.58,56217.48,56258.29
would,16628.59,16663.5,16676.78,16691.76,16778.17,16774.1
how,6528.62,6559.49,6515.54,6564.2,6600.9,6589.49
were,50021.99,50566.73,50624.09,50818.22,51039.1,51137.73
me,821.58,929.24,906.48,878.72,863.06,853.11
s,113574.88,113483.48,113036.32,112755.22,112809.21,112590.02
services,2575.82,2588.9,2616.51,2628.39,2631.2,2662.91
some,27374.08,27404.6,27607.92,27579.72,27564.55,27676.22
