Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
jimmy,134.14,219.12,399.8,719.66,712.22,726.93,441.9188907111972
aud,2.1,2.03,3.96,3.88,5.73,9.42,348.57142857142856
nintendo,2.1,6.09,5.94,7.76,5.73,9.42,348.57142857142856
minolta,2.1,2.03,1.98,1.94,1.91,7.53,258.57142857142856
shortcuts,2.1,4.06,3.96,7.76,7.64,7.53,258.57142857142856
chuck,85.93,144.05,233.55,292.91,284.51,282.49,228.74432677760964
ncaa,8.38,10.14,27.71,27.16,26.73,26.37,214.67780429594274
mesa,44.01,60.87,100.94,133.84,137.48,135.59,208.08907066575784
stickers,14.67,18.26,19.79,17.46,43.92,43.31,195.2283571915474
subscribe,8.38,8.12,9.9,9.7,26.73,24.48,192.12410501193318
nokia,2.1,2.03,1.98,5.82,5.73,5.65,169.04761904761904
locator,2.1,2.03,3.96,3.88,5.73,5.65,169.04761904761904
malpractice,2.1,2.03,5.94,5.82,5.73,5.65,169.04761904761904
bargains,2.1,6.09,5.94,5.82,5.73,5.65,169.04761904761904
wifi,2.1,4.06,5.94,5.82,5.73,5.65,169.04761904761904
paxil,2.1,4.06,3.96,3.88,3.82,5.65,169.04761904761904
tournaments,18.86,68.98,59.38,48.49,47.74,48.96,159.59703075291625
singles,29.34,73.04,73.23,69.83,70.65,75.33,156.7484662576687
payable,10.48,24.35,25.73,25.22,24.82,24.48,133.58778625954199
isbn,44.01,48.69,55.42,75.65,85.92,99.81,126.78936605316974
booking,4.19,4.06,5.94,7.76,7.64,9.42,124.82100238663483
escorts,4.19,4.06,3.96,7.76,9.55,9.42,124.82100238663483
bitch,4.19,2.03,1.98,1.94,1.91,9.42,124.82100238663483
puppy,4.19,8.12,7.92,9.7,7.64,9.42,124.82100238663483
espn,4.19,8.12,7.92,7.76,7.64,9.42,124.82100238663483
keyboard,8.38,8.12,7.92,13.58,17.18,18.83,124.70167064439137
copied,123.66,190.72,215.73,246.35,255.86,273.07,120.82322497169659
te,320.67,322.6,330.53,354.98,339.88,708.1,120.81891040633673
bargain,18.86,24.35,23.75,32.98,42.01,41.43,119.67126193001062
copyright,81.74,85.21,95.0,118.33,139.39,177.03,116.57695130902863
celebrity,52.4,140.0,142.5,139.66,114.57,112.99,115.6297709923664
tvs,6.29,8.12,7.92,7.76,13.37,13.18,109.53895071542131
shaved,46.11,46.67,45.52,98.93,97.38,96.05,108.30622424636738
banking,178.15,174.49,178.13,215.31,215.77,367.23,106.13527925905137
sb,276.65,277.96,257.3,254.11,248.23,568.74,105.58105909994579
vip,33.53,34.49,102.92,91.17,70.65,67.8,102.20697882493288
crm,16.77,32.46,37.6,36.86,34.37,33.9,102.14669051878353
tournament,54.49,121.74,120.73,112.51,106.93,109.23,100.4587997797761
grenada,16.77,16.23,17.81,21.34,30.55,32.02,90.9361955873584
pn,121.56,115.65,110.84,96.99,240.59,229.76,89.00954261270154
licking,8.38,10.14,11.88,15.52,15.28,15.07,79.83293556085917
trainers,14.67,16.23,21.77,21.34,21.0,26.37,79.75460122699387
choir,18.86,24.35,23.75,34.92,34.37,33.9,79.74549310710498
sticker,18.86,20.29,21.77,21.34,34.37,33.9,79.74549310710498
tobago,33.53,34.49,37.6,44.61,49.65,60.26,79.71965404115716
buddy,35.63,32.46,33.65,62.07,63.01,64.03,79.7081111422958
coupon,35.63,38.55,61.36,60.13,59.19,64.03,79.7081111422958
moderator,46.11,54.78,59.38,56.25,74.47,82.86,79.70071567989591
eh,27.25,20.29,45.52,48.49,105.02,48.96,79.6697247706422
kde,6.29,12.17,11.88,11.64,11.46,11.3,79.6502384737679
villas,6.29,6.09,7.92,9.7,13.37,11.3,79.6502384737679
adidas,6.29,8.12,9.9,9.7,9.55,11.3,79.6502384737679
subaru,6.29,8.12,9.9,9.7,11.46,11.3,79.6502384737679
cheque,6.29,6.09,5.94,11.64,11.46,11.3,79.6502384737679
casio,2.1,4.06,3.96,3.88,3.82,3.77,79.52380952380952
techrepublic,2.1,2.03,1.98,3.88,3.82,3.77,79.52380952380952
bookstore,2.1,4.06,3.96,3.88,3.82,3.77,79.52380952380952
nikon,2.1,2.03,1.98,1.94,1.91,3.77,79.52380952380952
prepaid,2.1,2.03,1.98,3.88,1.91,3.77,79.52380952380952
cordless,2.1,2.03,1.98,1.94,1.91,3.77,79.52380952380952
freeware,2.1,4.06,3.96,3.88,3.82,3.77,79.52380952380952
polyphonic,2.1,2.03,1.98,3.88,3.82,3.77,79.52380952380952
dsl,2.1,2.03,3.96,3.88,3.82,3.77,79.52380952380952
firefox,2.1,2.03,1.98,3.88,3.82,3.77,79.52380952380952
naturals,2.1,2.03,3.96,3.88,3.82,3.77,79.52380952380952
bestsellers,2.1,4.06,3.96,3.88,3.82,3.77,79.52380952380952
wallet,2.1,2.03,1.98,3.88,3.82,3.77,79.52380952380952
tits,2.1,4.06,3.96,3.88,3.82,3.77,79.52380952380952
hostels,2.1,2.03,1.98,1.94,3.82,3.77,79.52380952380952
belkin,2.1,2.03,1.98,3.88,3.82,3.77,79.52380952380952
