Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1084352.07,1085705.5,1086016.68,1086159.67,1087613.78,1086913.17
of,679685.68,678115.56,677688.02,677480.71,676065.61,674806.53
and,514552.95,514933.54,515803.29,516665.7,516526.85,516913.93
to,351748.7,353836.86,356059.35,357651.07,359145.91,359588.31
a,371626.17,370847.35,370850.68,370830.86,370703.25,370355.0
in,465516.93,466562.75,467715.38,469078.54,470396.49,471242.85
for,156743.9,157042.81,157500.51,157884.69,158124.07,158170.21
is,251198.38,250167.4,249397.25,248710.18,247830.92,247140.95
on,97508.31,98068.73,98087.82,98082.8,98007.77,97849.46
that,107960.18,108973.02,109533.79,109708.32,110181.8,110017.13
by,120163.67,120662.17,120967.4,121449.02,121840.53,121958.94
this,62315.7,62583.44,62443.92,62401.23,62532.97,62580.42
with,126824.53,127160.8,127768.2,128220.16,128871.08,129332.0
i,11772.48,11743.76,11481.84,11346.67,11218.58,11159.57
you,1256.22,1286.52,1203.34,1168.73,1117.68,1097.49
it,83346.91,83069.94,82930.42,82806.81,82949.47,83069.24
not,33480.42,33523.12,33421.49,33408.36,33578.19,33595.17
or,71876.65,72177.08,72358.82,72341.54,72484.76,72694.26
be,78700.46,78990.67,79003.79,78982.96,79022.67,78785.15
are,99840.73,99983.9,100125.96,100152.34,100063.02,99924.46
from,90564.92,90702.68,91080.49,90978.25,91034.48,91101.02
at,86365.25,86416.41,86222.6,86224.51,86154.61,86129.97
as,145399.8,146106.77,146881.92,147464.28,148050.61,148733.91
your,544.01,521.97,487.27,465.55,473.55,462.29
all,15704.09,15838.27,15809.17,15768.22,15701.23,15613.05
have,39411.99,39819.82,40076.36,40147.98,40298.6,40425.95
new,21664.57,21484.72,21454.86,21462.77,21391.04,21321.64
more,23560.73,23719.93,23795.99,23927.54,24024.81,24034.19
an,74960.7,74981.26,75025.21,74985.74,75110.18,75075.09
was,113221.6,113907.0,114234.62,114599.06,115579.36,116093.9
we,3183.92,3152.16,3131.41,3136.43,3090.63,3081.91
will,13002.42,13111.56,13031.46,12989.45,12886.15,12759.34
home,2168.17,2184.41,2170.47,2159.25,2162.6,2171.45
can,50854.65,51138.13,51438.23,51691.06,51970.45,52058.4
us,4971.01,5146.07,5122.55,5079.87,5130.37,5213.37
about,11730.43,11678.99,11616.64,11569.75,11490.54,11559.51
if,10173.29,10571.54,10530.79,10506.49,10469.48,10278.52
page,2007.85,1940.57,1874.89,1805.23,1794.02,1866.79
my,522.99,543.56,525.61,518.9,517.69,503.46
has,49513.01,49426.16,49585.6,49494.23,49434.5,49292.91
search,926.4,909.33,896.63,911.71,914.9,903.4
free,5650.37,5652.8,5569.01,5591.5,5613.46,5546.26
but,24690.8,24668.63,24734.67,24867.14,25017.25,25034.05
our,1207.6,1200.16,1173.66,1146.91,1127.23,1155.13
one,28397.71,28309.74,28286.57,28252.11,28214.03,28205.36
other,30071.8,30042.03,30154.04,30247.68,30311.03,30401.51
do,4572.86,4583.46,4538.81,4490.66,4492.2,4494.65
no,12807.94,12695.0,12559.03,12418.41,12325.52,12300.58
information,4412.55,4381.53,4370.62,4340.32,4334.75,4301.73
time,16095.67,16149.42,16144.32,16211.95,16285.72,16236.49
they,24049.55,24283.82,24308.0,24220.94,24306.32,24305.92
site,6398.06,6457.99,6414.94,6346.81,6279.06,6330.85
he,56230.38,55947.65,55753.19,55820.43,55959.28,55747.28
up,12651.57,12630.23,12695.07,12686.35,12623.73,12592.31
may,22318.96,22396.59,22392.3,22454.5,22458.62,22517.94
what,3198.37,3209.31,3170.99,3192.2,3140.72,3123.08
which,58108.15,58318.76,58657.04,58801.67,58862.63,58839.78
their,24186.21,24602.59,24816.3,25001.71,25261.78,25362.24
news,2160.28,2096.78,1888.49,1747.04,1716.48,1645.65
out,8903.93,8948.47,8936.64,8938.88,8884.21,8883.43
use,19022.04,19076.79,19197.82,19290.19,19303.58,19452.5
any,7480.83,7565.44,7471.11,7423.41,7450.42,7403.64
there,17073.32,17213.69,17196.78,17145.49,17135.02,17172.83
see,3858.02,3830.34,3731.23,3722.01,3660.8,3635.95
only,14439.98,14566.99,14522.96,14555.84,14540.61,14457.92
so,8877.65,8942.12,8966.32,8911.0,8910.45,8824.61
his,35308.24,35266.85,35375.53,35562.76,35808.79,35717.22
when,21827.51,21878.42,21906.26,22005.92,21985.07,21974.49
contact,2543.98,2509.54,2495.73,2481.74,2520.45,2498.46
here,1813.37,1794.52,1806.87,1806.45,1797.6,1773.86
business,3120.84,3115.33,3114.1,3097.63,3107.32,3063.09
who,12007.69,12119.68,12089.07,12167.45,12256.34,12334.7
web,1266.73,1221.75,1153.87,1060.83,1048.5,1010.44
also,44701.0,45143.7,45357.21,45675.23,45909.68,45978.1
now,5202.28,5223.54,5202.94,5224.15,5173.31,5140.44
help,2386.3,2433.33,2501.91,2544.79,2594.41,2594.92
get,1396.82,1399.55,1386.38,1382.11,1392.03,1382.15
pm,437.58,436.88,451.41,464.34,487.87,482.28
view,1148.47,1156.98,1116.77,1105.69,1092.63,1104.55
online,1495.38,1461.78,1406.17,1362.72,1365.79,1343.34
c,20675.1,20561.43,20345.51,19982.46,19617.3,19412.5
e,16730.35,16378.02,16081.25,15948.87,15739.41,15564.82
first,23816.97,23918.06,23940.69,24016.05,24035.55,24022.43
am,1307.47,1245.88,1200.87,1134.79,1098.6,1078.67
been,35086.17,35318.92,35521.47,35490.02,35657.3,35711.34
would,10554.37,10582.97,10601.28,10609.54,10655.56,10650.23
