Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
jimmy,85.41,138.43,251.06,453.43,447.31,457.58,435.7452288959138
nintendo,1.31,3.81,3.71,4.85,3.58,5.88,348.85496183206106
aud,1.31,1.27,2.47,2.42,3.58,5.88,348.85496183206106
shortcuts,1.31,2.54,2.47,4.85,4.77,4.71,259.5419847328244
minolta,1.31,1.27,1.24,1.21,1.19,4.71,259.5419847328244
ncaa,5.26,6.35,17.31,16.97,16.7,16.47,213.11787072243345
mesa,27.59,38.1,63.07,83.65,85.88,84.69,206.95904313156942
chuck,59.13,93.98,150.88,187.92,182.5,181.15,206.35887028581092
stickers,9.2,11.43,12.37,10.91,27.44,27.05,194.0217391304348
subscribe,5.26,5.08,6.18,6.06,16.7,15.29,190.68441064638785
nokia,1.31,1.27,1.24,3.64,3.58,3.53,169.4656488549618
paxil,1.31,2.54,2.47,2.42,2.39,3.53,169.4656488549618
locator,1.31,1.27,2.47,2.42,3.58,3.53,169.4656488549618
wifi,1.31,2.54,3.71,3.64,3.58,3.53,169.4656488549618
bargains,1.31,3.81,3.71,3.64,3.58,3.53,169.4656488549618
malpractice,1.31,1.27,3.71,3.64,3.58,3.53,169.4656488549618
bookstore,2.63,3.81,7.42,7.27,7.16,7.06,168.44106463878325
puppy,2.63,5.08,4.95,6.06,4.77,7.06,168.44106463878325
tournaments,11.83,43.18,37.1,30.31,29.82,30.58,158.49535080304312
singles,19.71,46.99,47.0,44.86,45.33,48.23,144.69812278031452
tvs,3.94,5.08,6.18,6.06,9.54,9.41,138.83248730964468
isbn,27.59,30.48,34.63,49.71,57.26,65.87,138.7459224356651
payable,6.57,15.24,16.08,15.76,15.51,15.29,132.72450532724503
espn,2.63,5.08,4.95,4.85,4.77,5.88,123.57414448669202
bitch,2.63,1.27,1.24,1.21,1.19,5.88,123.57414448669202
booking,2.63,2.54,3.71,4.85,4.77,5.88,123.57414448669202
keyboard,5.26,5.08,4.95,8.49,10.74,11.76,123.57414448669202
copied,80.16,123.19,140.99,160.03,167.0,178.8,123.05389221556888
