Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
additionally,1321.92,1369.07,1396.27,1426.97,1488.65,1540.95,16.569081336238195
crucial,542.7,546.1,550.35,554.06,597.61,628.15,15.745347337387123
enhance,710.9,708.66,716.07,715.3,728.82,768.12,8.048952032634693
effectively,830.47,850.91,852.11,868.06,882.69,888.11,6.940648066757377
significantly,1971.06,2011.69,2030.72,2050.14,2082.68,2103.23,6.705529004697984
significant,4144.48,4235.48,4256.84,4257.88,4295.38,4412.31,6.462330618075147
valuable,511.16,513.08,512.01,515.26,532.0,531.69,4.016354957351911
capabilities,335.08,342.9,336.39,334.62,342.34,348.19,3.912498507819032
are,99840.73,99983.9,100125.96,100152.34,100063.02,99924.46,0.0838635695071645
comprehensive,628.11,617.22,601.05,614.68,611.92,624.62,-0.5556351594465951
is,251198.38,250167.4,249397.25,248710.18,247830.92,247140.95,-1.6152293657307792
