Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
msg,2.93,13.22,12.0,8.17,38.48,38.17,1202.730375426621
pmid,0.98,1.89,3.69,6.36,8.05,8.88,806.1224489795918
bookmarks,0.98,0.94,1.85,1.82,1.79,6.21,533.6734693877552
refinance,0.98,0.94,1.85,4.54,6.26,6.21,533.6734693877552
womens,0.98,3.78,4.61,5.45,5.37,5.33,443.87755102040813
panties,7.82,22.67,30.46,30.87,30.42,30.18,285.93350383631713
eg,1.95,2.83,2.77,5.45,7.16,7.1,264.1025641025641
checkout,4.88,11.33,14.77,17.25,17.0,16.86,245.49180327868854
jd,2.93,5.67,7.38,8.17,8.05,9.76,233.10580204778154
porno,1.95,1.89,1.85,4.54,6.26,6.21,218.46153846153845
header,65.45,121.83,187.36,184.3,191.49,191.72,192.92589763177997
cashiers,1.95,2.83,2.77,4.54,5.37,5.33,173.33333333333334
hwy,1.95,2.83,4.61,4.54,4.47,5.33,173.33333333333334
leu,1.95,1.89,5.54,5.45,5.37,5.33,173.33333333333334
css,9.77,9.44,12.0,15.43,26.84,26.63,172.56908904810646
chem,0.98,0.94,3.69,2.72,2.68,2.66,171.42857142857144
mens,0.98,2.83,1.85,1.82,2.68,2.66,171.42857142857144
headers,0.98,1.89,2.77,2.72,2.68,2.66,171.42857142857144
qld,0.98,0.94,0.92,0.91,1.79,2.66,171.42857142857144
boobs,0.98,0.94,0.92,0.91,2.68,2.66,171.42857142857144
ur,36.15,103.88,110.75,108.95,108.27,97.64,170.09681881051176
sl,6.84,4.72,7.38,9.99,9.84,17.75,159.5029239766082
ns,20.52,23.61,53.53,52.66,51.9,50.59,146.53996101364524
img,10.75,10.39,24.92,25.42,25.05,24.85,131.16279069767444
pix,1.95,2.83,2.77,4.54,3.58,4.44,127.69230769230771
acm,4.88,6.61,9.23,9.99,10.74,10.65,118.2377049180328
tobago,37.12,44.39,77.53,81.71,77.85,77.22,108.02801724137932
vcr,3.91,7.56,9.23,8.17,8.05,7.99,104.34782608695652
gif,3.91,4.72,5.54,7.26,8.05,7.99,104.34782608695652
squirt,3.91,6.61,6.46,8.17,8.05,7.99,104.34782608695652
bw,5.86,16.05,12.0,11.8,11.63,11.54,96.92832764505117
erotica,16.61,16.05,16.61,16.34,32.21,31.95,92.35400361228176
az,28.33,62.33,56.3,55.38,54.58,54.14,91.10483586304272
uw,20.52,19.83,20.3,38.13,38.48,39.05,90.30214424951266
lobby,214.93,259.7,355.34,394.03,405.35,408.3,89.96882705997301
zoning,45.92,50.05,74.76,83.53,85.9,85.21,85.56184668989545
pharmacies,1.95,2.83,2.77,2.72,2.68,3.55,82.05128205128204
fridge,1.95,2.83,3.69,3.63,3.58,3.55,82.05128205128204
volvo,4.88,3.78,3.69,7.26,8.95,8.88,81.96721311475412
blogger,4.88,5.67,7.38,8.17,7.16,8.88,81.96721311475412
eur,2.93,2.83,2.77,6.36,6.26,5.33,81.91126279863481
wt,2.93,3.78,4.61,4.54,5.37,5.33,81.91126279863481
invoice,2.93,4.72,5.54,4.54,5.37,5.33,81.91126279863481
bdsm,2.93,2.83,3.69,5.45,5.37,5.33,81.91126279863481
mf,8.79,24.55,29.53,28.14,14.32,15.98,81.79749715585896
ws,6.84,9.44,12.0,12.71,12.53,12.43,81.72514619883042
beginner,6.84,11.33,12.92,14.53,12.53,12.43,81.72514619883042
realty,9.77,10.39,12.92,17.25,17.0,17.75,81.67860798362334
metadata,0.98,0.94,0.92,1.82,1.79,1.78,81.63265306122449
celebs,0.98,0.94,1.85,1.82,1.79,1.78,81.63265306122449
tripadvisor,0.98,0.94,0.92,0.91,0.89,1.78,81.63265306122449
wn,0.98,0.94,1.85,1.82,1.79,1.78,81.63265306122449
whats,0.98,1.89,1.85,1.82,1.79,1.78,81.63265306122449
laptops,0.98,1.89,1.85,1.82,1.79,1.78,81.63265306122449
toolbox,0.98,0.94,0.92,1.82,1.79,1.78,81.63265306122449
pn,3.91,2.83,3.69,3.63,4.47,7.1,81.5856777493606
ls,3.91,2.83,2.77,6.36,8.05,7.1,81.5856777493606
ware,110.39,206.82,206.74,200.64,198.65,197.05,78.50348763474953
grenada,27.35,30.22,28.61,49.03,49.22,48.82,78.50091407678245
interfaces,11.72,13.22,13.84,19.07,19.69,20.41,74.14675767918088
cnet,10.75,11.33,18.46,16.34,16.11,18.64,73.39534883720931
entities,136.77,133.16,147.67,162.51,220.13,233.44,70.68070483293118
geo,31.26,24.55,26.77,25.42,31.32,53.26,70.37747920665386
nn,7.82,8.5,10.15,7.26,15.21,13.31,70.20460358056266
sticker,42.99,44.39,63.68,71.72,73.38,72.78,69.29518492672713
hyundai,5.86,9.44,11.08,10.89,9.84,9.76,66.55290102389077
sao,20.52,39.66,37.84,35.41,34.9,33.73,64.37621832358673
seo,4.88,10.39,11.08,7.26,8.05,7.99,63.72950819672132
byte,4.88,3.78,3.69,8.17,8.05,7.99,63.72950819672132
wellness,4.88,4.72,5.54,8.17,8.95,7.99,63.72950819672132
frames,632.08,916.05,1039.24,1035.91,1029.04,1023.41,61.911466902923664
