Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1270577.74,1271696.5,1274093.36,1274302.81,1275176.41,1275640.69
of,568166.13,567474.3,565612.12,564774.99,564834.77,564204.52
and,492937.99,493825.36,494623.41,495696.41,496503.71,496915.24
to,395498.92,396781.92,397550.14,398532.09,398952.14,398893.12
a,348713.96,349164.52,349711.16,350015.09,350384.1,350677.04
in,433473.22,433907.53,434319.91,434779.84,435518.56,435649.16
for,135183.77,135499.56,135820.5,136160.04,136353.48,136439.15
is,89981.85,89041.71,88102.87,87598.06,86939.67,86642.7
on,143811.36,143619.46,143987.13,144154.8,144102.38,144270.5
that,136921.32,136683.71,136244.95,136455.31,136690.54,136969.7
by,125122.07,125293.9,125545.67,125616.86,125943.93,125949.99
this,43909.3,43672.03,43308.35,43214.26,43237.08,43156.43
with,123155.53,123897.4,124240.06,124646.27,124820.22,125128.51
i,19808.77,19499.51,19131.49,18908.19,18660.34,18511.08
you,6056.63,5954.95,5815.72,5726.61,5698.71,5689.43
it,80294.35,80409.52,80439.84,80694.42,80789.66,80929.03
not,41979.99,41920.4,41806.34,41811.73,41764.94,41782.42
or,34454.51,34406.98,34274.64,34247.19,34278.64,34214.37
be,47599.12,47580.21,47467.88,47425.31,47231.75,47167.39
are,40365.3,40184.97,39796.64,39617.4,39437.37,39323.64
from,91335.91,91603.17,91823.29,91870.24,91875.6,92048.53
at,93198.19,93196.44,93380.4,93454.43,93447.2,93412.39
as,141267.7,141870.22,142177.33,142779.38,143220.23,143445.08
your,1326.75,1292.73,1270.43,1253.16,1250.46,1251.66
all,21593.49,21470.09,21350.49,21260.53,21184.0,21135.06
have,36421.05,36486.74,36338.87,36334.26,36411.25,36429.59
new,30273.2,29988.31,29846.01,29848.14,29756.51,29697.11
more,24039.72,24152.73,24125.27,24200.54,24248.78,24302.56
an,63917.26,64028.16,64028.02,64140.89,64280.12,64271.76
was,211851.59,212325.44,212896.36,213499.81,213710.05,213866.34
we,5138.2,5064.74,5035.99,4962.48,4855.78,4816.65
will,5847.5,5703.6,5587.08,5539.76,5459.41,5417.67
home,6873.9,6870.96,6902.65,6910.57,6905.97,6935.45
can,11153.87,11101.87,10978.93,10913.43,10892.68,10945.28
us,6751.03,6792.97,6829.95,6822.91,6841.18,6810.85
about,18865.52,18852.84,18746.9,18764.01,18776.86,18739.42
if,8810.03,8716.17,8697.78,8669.5,8633.89,8686.09
page,1557.6,1462.49,1382.99,1352.36,1379.49,1353.15
my,3753.74,3655.63,3582.65,3554.19,3514.94,3520.44
has,25104.59,24818.59,24655.25,24501.58,24400.54,24390.51
search,1234.29,1209.35,1194.22,1186.27,1178.85,1164.27
free,2829.11,2832.61,2887.34,2897.33,2901.08,2882.21
but,44617.97,44832.19,44978.02,45188.3,45295.23,45314.14
our,2129.13,2102.56,2105.85,2066.31,2025.18,2026.9
one,35236.41,35281.0,35159.31,35212.0,35276.74,35222.47
other,26684.53,26679.4,26719.48,26793.95,26766.76,26813.21
do,5043.26,5022.75,4944.53,4908.27,4895.0,4873.03
no,17866.43,17692.09,17474.71,17366.67,17287.67,17271.26
information,1972.75,1939.39,1911.21,1911.75,1909.8,1909.07
time,25543.94,25584.63,25657.76,25607.11,25565.74,25520.39
they,34963.98,35342.18,35420.78,35645.68,35790.56,35844.35
site,3493.11,3548.26,3579.13,3637.81,3647.38,3654.63
he,92670.1,92212.65,91918.85,91851.79,91673.82,91554.07
up,15962.56,15998.64,15987.37,15986.06,15909.32,15862.85
may,19298.05,19317.75,19194.22,19140.59,19054.8,19037.68
what,7475.22,7388.65,7334.72,7271.0,7246.44,7260.21
which,54773.37,55071.44,55292.72,55466.2,55585.42,55709.15
their,39535.62,40359.53,40687.17,40997.43,41215.87,41292.47
news,2568.48,2532.67,2493.96,2454.43,2468.53,2483.59
out,15647.94,15659.11,15597.5,15534.5,15461.99,15447.89
use,8153.48,8161.29,8168.98,8174.69,8183.15,8165.69
any,8813.76,8677.18,8654.99,8637.78,8582.16,8553.59
there,17283.72,17287.77,17212.07,17136.57,17190.48,17191.2
see,4886.88,4682.62,4513.05,4356.95,4269.77,4251.14
only,20323.21,20282.94,20210.8,20127.32,20104.06,20063.25
so,11308.39,11263.84,11172.98,11156.22,11101.28,11048.46
his,103735.85,103254.53,103095.35,103036.84,102856.95,102651.02
when,26497.74,26396.26,26289.75,26250.12,26161.99,26158.63
contact,1169.13,1177.55,1180.73,1156.86,1145.31,1143.41
here,1568.77,1551.27,1510.21,1495.95,1480.66,1474.93
business,2036.66,2001.18,2000.91,2001.14,1985.4,1976.73
who,31115.3,31125.07,31109.99,31210.88,31237.17,31210.95
web,213.47,204.56,207.54,198.38,206.9,197.33
also,32533.89,32624.75,32430.84,32286.42,32323.94,32255.69
now,6849.7,6738.99,6636.49,6565.7,6488.77,6487.79
help,2753.41,2745.62,2728.46,2725.47,2691.34,2665.7
get,2283.65,2269.32,2234.24,2238.16,2225.26,2214.09
pm,441.22,435.51,449.66,434.83,427.43,426.24
view,2990.46,3019.77,3011.04,3038.04,3052.27,3058.12
online,929.59,932.8,919.85,916.95,906.59,877.29
c,6057.87,5896.16,5734.23,5618.19,5463.96,5472.36
e,4013.14,3972.97,3823.6,3808.51,3779.24,3752.73
first,38100.89,38336.15,38598.32,38563.77,38606.38,38605.34
am,1219.39,1210.55,1191.87,1176.46,1163.5,1157.51
been,34564.97,34736.91,34747.75,34682.02,34693.57,34779.88
would,26759.61,26874.96,27026.68,27089.22,27008.89,26972.77
how,3932.46,3918.38,3925.61,3967.1,3992.39,4033.51
were,76927.22,77707.69,78188.01,78579.67,78828.14,78906.07
me,2925.92,2884.79,2824.02,2769.3,2792.51,2802.15
s,158968.44,159316.36,160052.46,160624.71,161313.89,161678.76
services,1599.79,1593.87,1589.36,1586.5,1593.77,1586.57
some,18105.96,18141.39,18093.22,18150.4,18172.66,18133.33
these,15364.97,15425.16,15303.78,15274.99,15276.7,15259.01
click,81.29,82.18,77.39,74.39,72.75,70.48
its,37398.42,37611.51,37822.69,37999.18,38012.98,38065.77
like,8970.14,9053.3,9037.82,9078.95,9152.83,9195.21
service,5458.41,5401.87,5387.16,5414.04,5444.64,5450.37
x,1821.33,1777.43,1754.1,1754.31,1727.35,1688.05
than,20737.12,20809.03,20797.06,20785.34,20755.44,20823.27
find,2166.36,2125.35,2108.2,2100.91,2075.77,2066.94
price,1116.38,1167.95,1203.6,1219.14,1231.14,1245.46
date,2242.07,2227.93,2210.21,2219.71,2229.24,2224.8
back,7894.09,7948.33,7883.47,7903.64,7876.22,7838.68
top,4839.72,4858.38,4880.63,4878.86,4844.41,4830.18
people,8756.66,8804.35,8751.72,8761.77,8801.0,8793.78
had,67500.97,68016.12,68361.67,68639.13,68799.98,68775.49
list,2637.98,2640.05,2610.04,2585.34,2572.55,2570.98
name,7494.45,7452.24,7415.63,7358.09,7353.87,7332.38
just,5666.3,5622.02,5573.59,5511.5,5475.33,5468.98
over,19946.53,20044.79,20075.37,20030.44,20033.58,20023.22
state,10527.73,10414.41,10480.02,10443.42,10487.42,10453.08
year,15623.12,15689.71,15744.07,15833.81,15981.5,16021.28
day,10644.4,10630.37,10562.68,10612.39,10632.93,10612.64
into,23037.52,23138.34,23245.29,23217.85,23201.23,23227.37
email,28.55,31.79,35.18,32.87,31.83,32.14
two,33650.89,33783.11,33843.15,33864.84,33910.89,33933.03
health,1878.42,1886.6,1895.39,1893.3,1898.43,1884.26
n,1466.99,1422.3,1320.85,1298.72,1313.56,1278.16
world,12833.72,12828.91,12854.38,12800.96,12752.46,12679.57
re,3535.31,3456.47,3440.19,3415.78,3452.99,3431.36
next,6121.16,6208.7,6227.28,6294.08,6295.52,6311.31
used,13837.78,13804.9,13781.85,13806.14,13758.52,13739.54
go,2624.33,2581.26,2554.34,2555.92,2535.03,2532.08
b,5295.2,5264.5,5135.07,5089.93,5013.79,5011.16
work,11520.0,11531.38,11518.29,11565.09,11611.13,11635.95
last,6770.27,6753.38,6699.8,6674.12,6649.63,6636.07
most,20184.82,20173.17,20076.54,20039.09,19959.12,19923.99
products,566.57,560.28,554.6,569.78,580.33,577.91
music,9263.66,9223.66,9224.83,9261.76,9280.15,9307.41
