Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1728711.0,1731375.42,1735660.23,1741512.77,1742601.94,1742302.91
of,1080645.74,1079482.79,1079046.69,1080076.27,1077581.46,1075003.81
and,717656.48,717358.99,717475.29,718484.09,719378.28,719868.37
to,490509.76,492536.52,494379.31,496754.68,499221.14,500371.28
a,665460.65,666189.83,665581.75,665125.58,664148.45,663871.42
in,667078.83,667909.06,669014.59,671206.18,672348.14,672839.79
for,272660.34,273370.63,274718.45,275685.23,276072.3,277069.03
is,431070.67,431452.55,431093.84,430604.09,428734.13,426969.11
on,179097.47,179975.09,180519.18,180762.53,181541.95,182003.09
that,205915.37,207023.58,207822.46,208718.08,208913.05,209031.83
by,188967.86,189039.66,189104.7,189431.53,189768.0,190103.68
this,105670.3,105882.17,106035.4,105853.47,106040.23,106253.62
with,181606.6,182223.66,182876.84,183503.05,184243.69,184515.27
i,31535.18,31009.27,30656.39,30092.04,29684.06,29517.06
you,4445.17,4225.45,4113.94,3964.25,3747.3,3742.24
it,112720.93,112824.64,113055.98,113028.04,112871.48,113256.49
not,57719.78,57664.26,58053.07,58378.69,58467.54,58424.52
or,87696.98,87565.64,87659.33,87971.84,88147.21,88293.03
be,134253.27,134778.71,135233.91,135357.13,135379.43,135323.78
are,136406.02,136964.04,136826.19,137021.58,136917.01,136490.93
from,122271.06,122795.67,122969.54,123193.69,123674.07,123704.39
at,142885.95,142594.85,142133.77,141784.49,141611.02,141586.88
as,201407.59,202414.0,203457.94,204328.78,205554.54,206144.34
your,1598.91,1517.79,1480.65,1402.7,1337.69,1299.48
all,44206.08,44156.41,44321.7,44405.39,44367.94,44162.79
have,48477.87,48941.66,48996.01,49264.5,49525.42,49312.98
new,32305.74,32175.72,32096.04,31910.85,31790.54,31827.49
more,33935.96,33990.97,34198.57,34259.87,34391.25,34411.26
an,135955.72,136476.85,136751.02,136891.82,136774.24,136870.57
was,167618.53,167921.78,169432.49,170733.34,171675.08,172600.84
we,24744.62,24481.37,24444.47,24467.82,24126.81,23991.56
will,18823.34,18775.61,18471.74,18353.66,18266.44,18118.96
home,2853.48,2876.3,2820.08,2841.19,2848.91,2841.93
can,77773.61,78482.33,78953.08,79166.38,79490.64,79754.21
us,6200.6,6375.65,6389.6,6337.87,6462.22,6423.64
about,17188.31,17194.58,17036.64,17020.31,17018.8,16958.32
if,54801.28,54759.85,54740.95,54828.32,54581.86,54328.66
page,4861.75,4787.59,4742.65,4583.94,4494.12,4425.61
my,1541.12,1499.05,1537.6,1465.34,1478.27,1466.52
has,67517.93,67670.43,67465.48,67396.68,67378.91,67182.45
search,5699.74,5780.71,5742.66,5720.42,5590.2,5599.26
free,10301.43,10305.97,10273.47,10179.08,10000.85,9912.06
but,35780.48,35780.47,36068.76,36434.39,36466.98,36598.03
our,3120.77,3033.24,3011.42,2968.71,2941.17,2907.02
one,61803.75,62189.52,62032.61,62181.86,62329.06,62283.91
other,38638.78,38874.6,39232.8,39389.68,39612.43,39578.81
do,9143.18,9134.84,9232.45,9185.78,9254.03,9183.13
no,24600.14,24551.64,24250.85,23910.77,23768.77,23668.32
information,19904.53,20211.42,20027.57,19937.57,19799.62,19626.7
time,39782.58,39539.8,39471.98,39564.18,39684.91,39721.99
they,31499.06,31777.53,31941.15,32360.52,32642.8,32725.63
site,3140.03,3124.58,3036.48,3006.74,2952.15,2909.19
he,117939.06,117251.53,117058.31,116882.66,116700.05,116708.03
up,15155.96,15126.36,15259.86,15239.53,15204.46,15164.21
may,29264.43,29149.51,29260.02,29443.26,29609.38,29647.23
what,8016.23,8022.26,7975.04,8009.03,7991.02,7903.18
which,85799.48,85919.03,86089.84,86569.15,86631.59,86568.34
their,34470.53,34991.12,35469.66,35743.11,36236.34,36276.96
news,3111.14,3028.55,2781.35,2630.9,2583.13,2544.72
out,12466.22,12378.88,12473.95,12559.42,12524.68,12500.17
use,21910.4,22139.1,22346.5,22449.9,22488.19,22657.37
any,25724.67,25821.15,25884.13,26185.96,26202.54,26046.0
