Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
daisy,33.71,32.79,31.89,31.32,202.08,197.42,485.6422426579649
daddy,2.41,2.34,2.28,6.71,10.98,10.85,350.207468879668
moms,2.41,11.71,11.39,11.19,10.98,10.85,350.207468879668
tba,4.82,11.71,11.39,11.19,10.98,21.69,350.0
cry,36.12,37.48,132.12,140.94,136.19,134.5,272.3698781838317
marriott,7.22,11.71,11.39,11.19,26.36,26.03,260.5263157894737
eval,16.86,39.82,63.78,62.64,61.5,60.74,260.26097271648877
collectibles,2.41,2.34,6.83,6.71,6.59,8.68,260.1659751037344
mattress,4.82,4.68,6.83,6.71,6.59,17.36,260.1659751037344
amber,219.13,248.28,261.96,270.7,278.96,698.55,218.78337060192575
highs,4.82,4.68,4.56,13.42,13.18,15.19,215.14522821576762
shopper,4.82,11.71,11.39,13.42,15.38,15.19,215.14522821576762
skirts,9.63,14.05,13.67,15.66,15.38,28.2,192.8348909657321
malpractice,7.22,11.71,20.5,20.13,19.77,19.52,170.36011080332412
andorra,4.82,4.68,9.11,13.42,13.18,13.02,170.1244813278008
pokemon,2.41,2.34,2.28,2.24,2.2,6.51,170.1244813278008
nightlife,2.41,4.68,4.56,4.47,6.59,6.51,170.1244813278008
shit,2.41,2.34,4.56,6.71,6.59,6.51,170.1244813278008
pmid,4.82,4.68,27.34,33.56,39.54,13.02,170.1244813278008
bucks,2.41,2.34,2.28,6.71,6.59,6.51,170.1244813278008
wallpapers,4.82,7.03,6.83,13.42,15.38,13.02,170.1244813278008
interracial,2.41,4.68,4.56,4.47,4.39,6.51,170.1244813278008
racks,4.82,4.68,4.56,11.19,10.98,13.02,170.1244813278008
ton,50.57,63.24,138.95,138.7,138.38,128.0,153.114494759739
dicke,12.04,23.42,22.78,26.85,28.56,30.37,152.24252491694355
salad,7.22,7.03,9.11,8.95,13.18,17.36,140.4432132963989
tabs,67.42,77.29,93.4,109.62,114.22,160.54,138.11925244734496
pf,43.34,86.66,43.28,42.51,43.93,101.96,135.25611444393166
spyware,81.87,86.66,93.4,158.84,186.71,190.91,133.18675949676316
flashing,9.63,18.74,20.5,22.37,21.97,21.69,125.23364485981307
gtk,4.82,7.03,9.11,11.19,10.98,10.85,125.103734439834
villas,4.82,11.71,11.39,11.19,10.98,10.85,125.103734439834
pos,158.93,178.01,193.62,234.9,355.84,353.61,122.49417982759705
dubai,28.9,30.45,36.45,53.69,57.11,62.91,117.68166089965398
monroe,93.91,89.01,100.23,203.58,206.47,203.93,117.15472260675115
yes,298.59,318.55,674.27,662.2,654.57,633.47,112.15378947720957
abortion,50.57,49.19,66.06,100.67,98.84,104.13,105.91259640102825
destiny,60.2,63.24,66.06,78.3,116.42,123.66,105.41528239202655
petite,9.63,9.37,13.67,17.9,19.77,19.52,102.69989615784006
fiji,31.3,44.5,56.95,62.64,61.5,62.91,100.99041533546324
arbitration,43.34,81.98,82.01,82.77,87.86,86.78,100.23073373327178
coast,527.35,529.35,519.37,953.03,1058.73,1050.0,99.10875130368825
sunset,28.9,32.79,47.84,58.17,54.91,56.4,95.15570934256056
blonde,62.61,53.87,63.78,120.81,125.2,121.49,94.04248522600223
isbn,98.73,81.98,138.95,163.31,166.94,190.91,93.36574496100475
harassment,50.57,65.58,86.56,91.72,92.25,97.62,93.03935139410719
rl,50.57,100.72,102.51,96.2,98.84,97.62,93.03935139410719
locks,19.26,25.76,27.34,29.08,30.75,36.88,91.48494288681205
teddy,21.67,21.08,22.78,24.61,41.73,41.22,90.21688970927548
pig,79.46,72.61,86.56,136.47,155.95,149.69,88.38409262522025
edt,26.49,28.11,25.06,46.98,57.11,49.9,88.37297093242734
hip,50.57,65.58,61.5,96.2,94.45,93.28,84.45718805615978
broker,65.02,126.48,125.29,120.81,116.42,119.32,83.5127653029837
screensaver,7.22,7.03,6.83,6.71,6.59,13.02,80.33240997229917
ctrl,7.22,7.03,9.11,8.95,10.98,13.02,80.33240997229917
stranger,9.63,11.71,15.95,15.66,17.57,17.36,80.26998961578398
thumbs,9.63,9.37,13.67,13.42,15.38,17.36,80.26998961578398
hostel,9.63,11.71,18.22,17.9,17.57,17.36,80.26998961578398
toolbar,19.26,25.76,29.61,29.08,30.75,34.71,80.21806853582554
zambia,26.49,35.13,43.28,44.74,46.13,47.73,80.18120045300114
fo,40.94,37.48,47.84,80.54,81.27,73.76,80.16609672691746
tiffany,12.04,9.37,22.78,22.37,21.97,21.69,80.14950166112959
cheats,12.04,11.71,11.39,20.13,21.97,21.69,80.14950166112959
inbox,14.45,21.08,25.06,24.61,26.36,26.03,80.13840830449828
naturals,14.45,14.05,13.67,13.42,26.36,26.03,80.13840830449828
tobago,14.45,16.4,25.06,26.85,26.36,26.03,80.13840830449828
hrs,2.41,4.68,4.56,4.47,4.39,4.34,80.0829875518672
fetish,2.41,4.68,4.56,4.47,4.39,4.34,80.0829875518672
sanyo,2.41,2.34,2.28,2.24,2.2,4.34,80.0829875518672
flyer,4.82,4.68,6.83,8.95,8.79,8.68,80.0829875518672
