Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
crucial,561.06,564.49,587.71,619.69,641.39,670.35,19.47920008555236
additionally,1336.44,1377.25,1432.82,1454.15,1528.79,1572.83,17.688036874083377
valuable,462.34,459.08,480.64,492.18,500.81,503.3,8.859281048578977
enhance,406.95,409.9,412.31,402.69,421.74,442.56,8.750460744563219
significant,3720.36,3731.23,3774.53,3816.6,3903.25,3961.35,6.4775989420378615
effectively,943.94,962.67,954.45,959.74,964.28,1002.27,6.179418183359104
capabilities,1052.3,1065.73,1091.13,1085.02,1111.45,1108.57,5.347334410339255
significantly,1505.0,1508.42,1510.27,1510.08,1539.78,1570.66,4.362790697674424
are,136406.02,136964.04,136826.19,137021.58,136917.01,136490.93,0.0622479858293669
is,431070.67,431452.55,431093.84,430604.09,428734.13,426969.11,-0.9514820388963132
comprehensive,881.33,883.03,877.0,879.2,869.83,867.77,-1.53858373140595
