Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1098920.59,1100631.85,1103237.54,1107087.46,1107473.9,1107330.52
of,686500.05,685963.3,685694.02,686404.47,684452.03,682829.21
and,455116.56,455025.33,455205.96,455960.69,456636.07,456922.8
to,311736.69,313063.88,314340.12,316078.14,318055.22,318786.47
a,423962.07,424774.85,424379.4,423983.29,423269.5,423074.33
in,423325.29,423953.65,424638.39,426096.99,426824.81,427169.84
for,173340.21,173893.64,174834.37,175326.79,175570.75,176212.0
is,275045.92,275888.53,276313.94,275990.16,274641.81,273491.25
on,113867.54,114499.27,114770.61,114886.03,115327.79,115602.93
that,131280.97,132179.84,132839.7,133354.12,133440.41,133569.18
by,120833.21,120802.42,120852.14,121206.29,121582.58,121781.14
this,67497.65,67636.95,67721.92,67596.51,67620.26,67752.04
with,115693.99,116102.36,116470.39,116865.1,117336.07,117501.54
i,20147.86,19819.48,19560.81,19177.28,18900.42,18791.27
you,2833.32,2695.11,2622.54,2525.88,2381.09,2371.58
it,71727.4,71782.27,71942.34,71918.27,71771.52,72032.98
not,36728.23,36783.68,37089.25,37266.49,37311.01,37290.96
or,55861.73,55781.96,55878.72,56042.68,56154.28,56244.82
be,85858.02,86210.07,86522.72,86619.74,86607.76,86559.43
are,86894.85,87293.35,87309.62,87378.89,87255.41,86980.0
from,77400.02,77698.12,77808.74,77974.83,78245.36,78281.06
at,90123.72,89892.37,89558.53,89239.99,89014.7,88988.79
as,127876.8,128528.12,129250.51,129831.76,130657.93,130994.7
your,1011.36,960.98,945.42,893.77,853.11,829.05
all,28301.7,28279.01,28409.24,28466.14,28423.42,28288.35
have,30860.82,31135.74,31194.54,31340.38,31473.94,31357.3
new,20408.57,20313.07,20254.3,20118.24,20084.16,20116.13
more,21554.78,21606.03,21723.38,21780.88,21850.25,21864.25
an,86554.73,86865.28,87046.38,87059.68,87024.11,87083.46
was,105963.92,106006.25,106441.6,107211.23,107867.49,108490.86
we,15696.36,15573.69,15524.38,15530.02,15290.68,15211.72
will,12053.95,12028.26,11844.61,11760.62,11705.44,11607.99
home,1787.49,1801.11,1763.46,1777.83,1789.22,1785.74
can,49613.75,50077.23,50383.13,50507.94,50706.35,50862.06
us,3895.62,3996.8,4010.95,3973.41,4047.85,4037.74
about,10811.85,10818.3,10725.11,10726.67,10724.43,10691.61
if,35541.56,35757.18,35788.59,35850.88,35676.9,35494.47
page,3091.03,3044.56,3011.75,2907.54,2846.42,2798.87
my,967.91,942.05,966.65,920.14,925.22,919.07
has,42962.72,43104.31,42962.73,42919.19,42859.63,42740.9
search,3621.43,3669.2,3641.56,3634.77,3571.64,3580.89
free,6535.66,6531.75,6506.12,6443.78,6330.98,6276.3
but,22738.45,22776.67,22950.44,23214.53,23263.94,23353.04
our,1962.79,1913.22,1899.33,1868.04,1846.37,1826.05
one,39530.08,39783.1,39648.11,39741.02,39796.87,39767.35
other,24549.91,24682.62,24900.72,24999.3,25138.88,25111.91
do,5810.47,5800.82,5863.57,5828.96,5867.01,5822.14
no,15615.45,15579.52,15392.76,15176.11,15083.87,15012.86
information,12521.43,12702.4,12586.23,12529.49,12449.7,12342.98
time,25233.14,25043.71,24991.3,25054.81,25117.11,25134.75
they,19980.05,20167.47,20272.7,20540.15,20722.29,20774.53
site,1977.78,1967.1,1913.48,1893.02,1865.41,1838.14
he,74692.56,74208.01,73986.02,73920.93,73858.71,73868.44
up,9569.75,9548.64,9639.58,9637.21,9627.77,9600.55
may,18652.54,18603.69,18681.91,18802.56,18928.99,18964.6
what,5067.31,5078.63,5046.95,5058.7,5047.91,4991.75
which,54610.63,54675.37,54797.44,55086.45,55129.74,55079.85
their,21890.4,22216.1,22517.36,22739.88,23095.22,23117.9
news,1946.31,1895.75,1747.89,1658.48,1636.83,1615.1
out,7896.13,7836.35,7890.28,7957.92,7940.6,7930.36
use,13923.85,14059.42,14202.5,14289.28,14311.04,14417.61
any,16444.02,16552.15,16597.18,16786.02,16784.65,16681.7
there,23682.39,23897.82,23786.88,23789.1,23695.25,23582.81
see,7692.36,7543.69,7325.57,7198.77,7114.7,7104.0
only,18675.01,18739.1,18786.64,18859.46,18875.93,18850.39
so,14117.14,14171.54,14141.64,14119.96,14077.01,14042.73
his,46925.77,46639.55,46754.31,46968.93,47288.46,47314.77
when,20140.37,20144.17,20397.25,20623.42,20805.29,20880.68
contact,1038.33,1045.43,1047.32,1050.6,1059.93,1045.38
here,3787.74,3747.82,3689.68,3687.51,3691.37,3717.94
business,3149.46,3152.3,3109.41,3049.1,3034.19,3017.89
who,14263.97,14215.22,14271.85,14426.68,14626.7,14593.63
web,2702.96,2732.97,2717.37,2639.69,2624.64,2581.2
also,37714.12,37821.83,38142.23,38468.36,38741.03,38946.37
now,6588.1,6549.22,6424.03,6379.94,6344.59,6351.54
help,1977.78,1993.3,2001.23,2022.09,2064.07,2063.88
get,2467.73,2469.43,2472.52,2495.35,2442.32,2454.89
pm,145.34,144.15,135.87,136.01,131.98,128.99
view,2643.03,2626.68,2598.48,2577.23,2545.73,2566.42
online,2693.97,2759.18,2747.09,2707.69,2670.9,2677.94
c,16730.2,16252.2,15847.07,15295.47,14785.89,14612.45
e,20834.09,20447.03,20094.38,19754.62,19412.01,19249.46
first,26716.48,26723.97,26768.91,27020.01,26948.51,26963.49
am,531.9,524.17,510.92,499.63,497.99,490.44
been,21737.57,21958.39,22041.82,22138.95,22138.7,22123.58
would,10351.87,10452.84,10515.65,10646.18,10785.66,10788.35
how,6469.73,6543.4,6508.95,6542.31,6507.86,6515.47
were,22766.92,22603.41,22716.92,22924.47,23156.45,23193.14
me,693.72,712.0,682.17,650.9,619.08,612.71
s,85919.45,85640.76,85774.03,86125.66,86102.96,86027.34
services,2554.63,2600.47,2578.67,2577.23,2544.37,2593.29
some,18495.22,18621.17,18822.02,18924.69,18997.02,18986.1
these,20140.37,20125.24,20064.65,20141.83,20207.98,20304.25
click,152.83,142.69,152.85,162.38,168.72,173.33
its,28493.48,28778.43,28815.43,29011.57,29057.47,29138.9
like,6974.66,6956.91,6978.83,7061.37,7076.6,7151.03
service,5022.36,5048.06,5017.23,5160.02,5164.93,5166.42
x,18074.19,17332.58,16464.14,15867.26,15149.18,14840.87
than,16677.76,16662.8,16761.35,16811.0,16810.5,16791.88
find,3973.53,3958.95,3991.14,4019.21,4011.12,3992.05
price,1502.81,1485.15,1460.59,1462.79,1495.33,1496.85
date,1218.13,1202.68,1195.93,1185.22,1201.43,1191.84
back,2972.66,3013.98,3018.83,2956.12,2970.24,2964.14
top,4321.14,4309.85,4262.87,4242.65,4249.23,4254.07
people,5073.3,5053.88,4990.33,5033.72,5037.03,5042.81
had,14617.57,14561.75,14590.29,14809.72,14976.38,15041.08
list,4764.65,4694.24,4632.26,4632.64,4656.05,4649.11
name,4996.88,5062.62,5039.87,4990.7,5031.58,4999.81
just,4845.55,4828.19,4778.04,4783.91,4752.66,4702.86
over,15153.97,15186.39,15263.97,15262.16,15304.29,15367.59
state,12888.52,12903.34,12794.28,12755.71,12774.89,12789.08
year,6734.93,6809.85,6835.88,6901.77,6913.33,6925.29
day,2810.84,2871.29,2863.14,2871.46,2918.54,2945.33
into,17247.12,17274.34,17307.66,17405.0,17509.86,17522.84
email,608.32,617.36,626.98,623.14,620.44,630.18
two,31275.85,31285.71,31188.88,31322.33,31273.93,31237.72
health,2824.33,2878.57,2940.99,2925.58,2959.36,2958.77
n,18240.5,17773.76,17193.02,16398.81,15734.25,15477.77
world,8393.57,8308.11,8258.25,8228.55,8252.18,8196.41
re,1580.72,1611.82,1614.85,1583.53,1566.08,1566.72
next,3269.33,3252.77,3209.89,3187.89,3170.25,3164.35
used,27657.42,27891.71,28158.73,28289.89,28409.81,28540.96
go,1523.79,1531.74,1515.78,1507.2,1502.13,1518.35
b,14722.46,14373.93,13939.25,13525.96,13116.41,13014.82
work,15323.28,15238.81,15282.37,15341.27,15313.82,15324.59
last,3240.86,3201.81,3195.74,3198.99,3192.02,3197.94
most,13321.53,13399.84,13510.42,13532.9,13512.35,13396.42
products,2541.14,2516.02,2492.34,2442.61,2449.12,2442.8
music,2263.96,2249.57,2179.56,2148.39,2159.31,2178.09
buy,289.18,278.1,270.32,273.41,270.76,262.02
data,20258.73,20289.78,20534.53,20502.67,20609.36,20773.19
make,4135.35,4145.32,4160.97,4192.69,4222.01,4215.1
them,7458.62,7521.85,7573.25,7659.53,7754.19,7808.09
should,4521.92,4555.92,4596.88,4635.41,4639.73,4604.77
product,5728.06,5773.16,5720.63,5663.81,5683.32,5671.64
system,19271.34,19107.48,19092.35,19048.21,18916.75,18961.92
post,2263.96,2299.07,2350.81,2349.63,2325.31,2308.43
her,16005.01,16259.48,16414.61,16665.27,17271.75,17233.95
city,2783.87,2808.68,2839.08,2868.68,2900.85,2929.21
t,13077.3,12928.09,12439.04,11975.74,11463.25,11324.48
add,1282.56,1314.79,1314.81,1318.46,1330.69,1327.55
policy,1756.03,1771.99,1754.97,1741.75,1732.07,1722.59
number,26326.92,26492.46,26504.25,26398.25,26166.15,26061.89
such,28487.49,28712.91,28894.69,28946.34,29081.96,29141.59
please,104.88,116.48,104.73,102.7,93.88,91.37
available,4865.03,4921.38,4888.43,4868.57,4819.33,4779.45
copyright,316.14,308.68,305.7,323.37,338.8,334.57
support,5256.09,5369.84,5405.02,5486.16,5623.46,5678.36
message,2232.49,2229.18,2189.46,2180.31,2137.54,2159.28
after,16075.44,16156.11,16249.02,16412.69,16534.29,16584.96
best,4520.42,4456.91,4496.4,4495.24,4483.25,4450.25
software,6892.25,6907.41,6900.98,6885.11,6865.71,6891.7
then,27618.46,27826.19,27738.39,27836.06,27749.91,27773.73
jan,928.96,905.65,885.98,867.4,831.34,807.55
good,2536.65,2517.48,2507.9,2502.29,2523.96,2504.61
video,2463.23,2568.44,2655.1,2642.46,2615.12,2624.19
well,10742.93,10813.93,10827.02,10907.09,10901.31,10844.79
d,18818.85,18105.73,17610.53,16903.98,16498.92,16345.78
where,28190.82,28322.69,28545.11,28592.44,28669.69,28753.26
info,166.31,157.25,152.85,142.95,151.03,147.8
rights,1039.83,1043.97,1037.41,1046.44,1069.45,1068.22
public,4826.08,4959.24,4939.38,4925.47,4951.31,4964.87
books,3491.08,3495.93,3457.57,3437.7,3315.84,3321.56
high,8994.39,8963.32,9040.91,9052.93,9079.44,9122.2
school,9322.52,9295.29,9306.99,9190.33,9215.5,9181.32
through,10226.01,10283.94,10290.62,10392.2,10463.19,10469.9
m,17659.16,17195.71,16451.4,15845.06,15217.21,15000.77
each,22706.98,22866.95,22933.46,22957.78,22891.13,22826.32
links,1221.13,1199.77,1201.59,1160.24,1132.04,1119.28
she,21710.6,22057.4,22231.47,22505.34,22730.57,22658.36
review,2750.91,2648.52,2640.94,2616.09,2574.3,2561.04
years,7815.22,7815.97,7893.11,7901.02,7920.19,7939.77
order,13320.03,13360.53,13276.89,13244.23,13279.68,13213.68
very,5489.83,5441.18,5409.26,5412.61,5318.68,5257.79
privacy,786.62,813.92,970.89,959.0,959.24,992.97
book,7487.09,7467.98,7430.31,7501.32,7401.79,7363.33
items,1669.12,1691.91,1715.34,1704.28,1714.39,1701.09
company,5013.37,4988.36,4964.86,5004.58,5026.14,5072.37
r,13845.94,13501.76,13063.18,12507.28,12038.79,11769.23
read,2076.67,2026.79,1994.15,1999.89,1957.94,1976.54
group,16659.78,16585.64,16430.17,16294.72,16168.29,16146.92
sex,332.63,339.25,342.5,338.63,344.24,349.36
need,3112.0,3146.48,3102.33,3096.29,3129.43,3122.7
many,13107.27,13108.64,13177.82,13251.17,13144.98,13110.22
user,3537.52,3606.59,3645.8,3638.94,3607.01,3649.42
said,3519.54,3552.71,3558.05,3637.55,3657.36,3669.57
de,12230.76,11664.25,11320.95,11236.01,11391.14,11319.1
does,6110.13,6153.18,6174.94,6210.62,6272.47,6264.2
set,21205.67,21205.62,21307.28,21447.8,21492.41,21422.18
under,11608.95,11553.6,11633.73,11670.41,11702.72,11683.24
general,9742.05,9739.38,9662.23,9635.83,9668.59,9640.86
research,22705.48,22657.28,22605.11,22417.9,22405.38,22319.76
university,46548.19,46186.72,45518.76,45038.43,44659.74,44560.24
january,4228.25,4290.92,4295.42,4349.51,4412.5,4454.28
mail,482.46,439.72,424.59,510.73,504.79,518.66
full,4316.65,4404.49,4386.0,4388.37,4348.55,4345.44
map,4087.41,4142.4,4152.48,4213.51,4182.56,4181.51
reviews,999.38,1062.9,1129.41,1124.16,1129.32,1143.47
program,5296.55,5334.89,5332.84,5327.95,5443.85,5444.56
life,4165.32,4108.92,4068.98,4074.72,4090.03,4056.55
know,1417.41,1415.26,1412.47,1411.44,1360.62,1330.24
games,2945.69,2970.3,3048.55,3050.49,2997.45,2883.52
