Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
daisy,20.98,20.38,19.81,19.43,125.18,122.27,482.79313632030505
collectibles,1.5,1.46,4.25,5.55,5.44,8.06,437.33333333333337
tvs,52.44,253.35,271.74,278.96,272.12,270.08,415.02669717772693
daddy,1.5,1.46,1.42,4.16,6.8,6.72,348.0
tba,3.0,7.28,7.08,6.94,6.8,13.44,348.0
moms,1.5,7.28,7.08,6.94,6.8,6.72,348.0
cry,23.97,26.21,84.92,90.21,88.44,88.68,269.96245306633296
marriott,4.49,7.28,7.08,6.94,16.33,16.12,259.0200445434299
mattress,3.0,2.91,4.25,4.16,4.08,10.75,258.33333333333337
eval,11.99,26.21,41.04,40.25,39.46,38.97,225.02085070892406
highs,3.0,2.91,2.83,8.33,8.16,9.41,213.66666666666669
shopper,3.0,7.28,7.08,8.33,9.52,9.41,213.66666666666669
amber,139.34,155.8,164.17,169.32,175.52,435.35,212.43720396153293
skirts,5.99,8.74,8.49,9.71,9.52,17.47,191.65275459098496
malpractice,4.49,7.28,12.74,12.49,12.25,12.09,169.26503340757236
nightlife,1.5,2.91,2.83,2.78,4.08,4.03,168.66666666666669
racks,3.0,2.91,2.83,6.94,6.8,8.06,168.66666666666669
andorra,3.0,2.91,5.66,8.33,8.16,8.06,168.66666666666669
bucks,1.5,1.46,1.42,4.16,4.08,4.03,168.66666666666669
shit,1.5,1.46,2.83,4.16,4.08,4.03,168.66666666666669
pokemon,1.5,1.46,1.42,1.39,1.36,4.03,168.66666666666669
wallpapers,3.0,4.37,4.25,8.33,9.52,8.06,168.66666666666669
pmid,3.0,4.37,16.98,20.82,24.49,8.06,168.66666666666669
interracial,1.5,2.91,2.83,2.78,2.72,4.03,168.66666666666669
dicke,7.49,14.56,14.15,16.65,17.69,18.81,151.13484646194922
tabs,41.95,48.05,62.27,72.17,74.83,103.46,146.62693682955896
pf,26.97,53.87,26.89,26.37,27.21,63.15,134.14905450500555
spyware,50.94,53.87,58.03,98.54,115.65,118.24,132.1162151550844
pos,98.89,113.57,121.72,149.89,224.5,223.05,125.5536454646577
flashing,5.99,11.65,12.74,13.88,13.61,13.44,124.37395659432386
gtk,3.0,4.37,5.66,6.94,6.8,6.72,124.0
yes,185.79,198.02,418.93,410.8,405.47,392.35,111.17928844394211
abortion,31.46,30.58,41.04,62.45,61.23,64.5,105.02225047679592
dubai,19.48,18.93,22.64,33.31,35.38,38.97,100.05133470225871
fiji,19.48,27.66,35.38,38.86,38.1,38.97,100.05133470225871
monroe,67.42,64.07,70.76,134.62,136.06,134.37,99.30287748442599
arbitration,26.97,50.96,50.95,51.35,54.42,53.75,99.2955135335558
coast,335.62,339.25,332.59,600.94,669.43,665.12,98.17650914724987
destiny,41.95,43.68,45.29,52.74,77.56,81.96,95.37544696066743
bahamas,8.99,10.19,11.32,11.1,16.33,17.47,94.32703003337039
isbn,61.43,50.96,86.33,101.31,103.41,118.24,92.47924466872863
harassment,31.46,40.77,53.78,56.9,57.15,60.47,92.21233312142402
locks,11.99,16.02,16.98,18.04,19.05,22.84,90.49207673060884
teddy,13.48,13.1,14.15,15.27,25.85,25.53,89.39169139465875
blonde,40.45,34.94,41.04,76.33,78.92,76.59,89.34487021013597
pig,49.44,45.14,53.78,84.66,96.6,92.71,87.52022653721683
