Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,1827516.87,1832909.37,1837786.31,1841646.43,1845031.69,1845713.73
of,1069055.48,1067775.36,1067012.08,1067202.7,1065797.46,1064885.72
and,758038.82,758304.72,758985.37,759647.81,759082.6,759491.42
to,519710.02,521953.24,525124.41,526415.26,527446.06,527912.21
a,599219.29,598841.86,598145.95,598872.27,598985.86,599037.53
in,692713.43,694382.43,695092.06,696725.17,697958.39,699665.5
for,252378.52,253128.48,253583.09,253985.89,254385.94,254619.58
is,353977.42,353319.56,352174.65,351186.54,349979.12,347904.15
on,177027.83,177526.73,178177.97,178471.24,178811.74,179118.87
that,170566.39,171545.95,172351.22,172979.11,173871.27,173807.91
by,181879.5,182886.87,183245.45,183329.82,183954.23,184286.67
this,98958.42,99342.58,99295.84,99315.25,99476.58,99527.06
with,180868.93,181947.21,182503.09,182856.21,183678.74,183951.96
i,20321.12,20058.18,19897.66,19554.79,19355.76,19185.19
you,3031.73,2881.89,2857.33,2770.99,2724.3,2695.81
it,102115.36,102395.9,102815.16,102811.18,103215.09,103035.44
not,47830.31,47935.21,48141.0,48101.8,48298.6,48316.83
or,84669.47,84813.79,84911.92,84968.0,84765.38,84761.63
be,119874.26,120125.57,120098.71,120311.62,120244.49,119996.64
are,125687.33,125815.56,125984.68,126335.51,125848.17,125341.87
from,134916.68,135073.18,135931.4,136299.85,136441.29,136725.96
at,162186.64,161973.67,162133.79,161913.85,162282.3,162187.92
as,203973.61,205360.36,206311.34,207651.79,207936.19,208395.68
your,923.38,907.1,900.98,859.96,844.84,834.75
all,27404.11,27523.31,27625.77,27711.97,27663.33,27490.37
have,49089.07,49445.6,49699.74,49674.24,49753.59,49615.33
new,35819.64,35556.99,35387.72,35314.53,35315.85,35198.72
more,33400.51,33560.51,33687.28,33906.19,33950.64,34029.26
an,119883.21,120362.11,120244.65,120390.55,120603.64,120647.9
was,189789.74,191756.04,193418.46,194852.06,196114.59,197505.6
we,12287.92,12191.59,12059.57,11985.46,11907.31,11787.35
will,23372.98,23302.47,23040.51,22959.33,22631.04,22344.74
home,3145.76,3196.55,3193.61,3171.89,3126.31,3151.49
can,72439.69,72908.66,73182.28,73368.9,73604.96,73534.81
us,7628.52,8085.77,7998.83,7991.0,8062.69,8055.16
about,20777.22,20728.74,20627.33,20514.46,20412.83,20326.42
if,22404.88,22419.24,22401.79,22487.8,22567.78,22368.94
page,3597.39,3478.66,3335.31,3252.9,3236.5,3320.86
my,1160.38,1178.36,1224.57,1215.16,1216.24,1191.64
has,65953.65,65847.17,65720.66,65317.66,65215.76,65017.92
search,2745.55,2732.15,2654.29,2723.21,2675.32,2679.68
free,9672.04,9567.95,9426.43,9517.75,9497.28,9438.35
but,36132.65,36407.67,36639.78,36679.26,36860.64,36848.06
our,3387.23,3400.54,3371.27,3279.9,3193.65,3145.44
one,51260.02,51385.66,51173.87,51063.89,51084.11,51069.09
other,37554.61,37590.37,37750.14,37763.56,37795.26,37767.5
do,7427.3,7363.13,7385.48,7369.92,7364.78,7331.3
no,21291.45,20871.97,20447.55,20267.27,20237.33,20084.46
information,11125.3,10991.53,10830.77,10695.52,10546.19,10454.57
time,39206.86,39213.6,39270.81,39379.62,39407.39,39525.72
they,34766.58,35118.64,35246.02,35156.67,35150.55,35206.78
site,6188.67,6241.19,6213.79,6185.91,6215.88,6256.61
he,130422.73,129105.42,128884.31,128286.0,128509.2,128565.95
up,19359.73,19335.54,19595.22,19477.94,19455.76,19398.92
may,27652.28,27568.88,27661.73,27830.37,27781.69,27847.25
what,6515.1,6516.79,6484.51,6426.87,6401.58,6321.13
which,85986.35,86430.51,86726.56,86997.43,87199.9,87112.64
their,35001.34,35457.17,35781.1,35773.6,35903.56,35964.92
news,3172.59,3118.43,2846.75,2675.44,2601.86,2568.78
out,15558.88,15553.07,15686.75,15516.71,15525.42,15444.93
use,21213.2,21214.84,21318.92,21432.58,21263.79,21268.03
any,14749.52,14724.09,14675.79,14671.29,14660.18,14590.02
there,27446.59,27416.97,27511.56,27468.94,27349.07,27280.67
see,9580.37,9437.74,9009.78,8882.12,8774.88,8716.51
only,23502.65,23365.41,23448.7,23441.24,23522.81,23441.62
so,17003.2,17065.62,17184.15,17124.46,17017.15,16914.82
his,78992.79,78490.14,78488.74,78065.46,78514.81,78789.32
when,31721.43,32028.42,32208.92,32113.56,32185.46,32135.94
contact,4341.91,4353.21,4308.2,4295.66,4234.39,4147.55
here,4317.32,4335.85,4371.65,4341.36,4324.18,4302.8
business,2886.41,2814.61,2747.35,2750.22,2736.54,2760.33
