Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
samba,2.24,2.17,10.57,14.54,14.28,14.11,529.9107142857142
ent,6.71,8.68,8.46,24.93,30.61,34.28,410.8792846497765
pmid,6.71,4.34,8.46,16.62,26.53,34.28,410.8792846497765
usr,2.24,2.17,2.11,2.08,10.2,10.08,349.99999999999994
browsing,2.24,2.17,4.23,6.23,10.2,10.08,349.99999999999994
warranty,6.71,15.19,27.49,31.16,26.53,26.21,290.6110283159463
cayman,6.71,8.68,8.46,8.31,10.2,26.21,290.6110283159463
spice,46.95,45.57,46.53,41.54,40.81,171.39,265.0479233226837
adidas,2.24,4.34,6.34,6.23,4.08,8.07,260.2678571428571
ctrl,4.47,4.34,4.23,14.54,14.28,14.11,215.6599552572707
naughty,6.71,15.19,16.92,18.69,18.37,20.16,200.44709388971685
sublime,4.47,6.51,6.34,8.31,10.2,12.1,170.69351230425056
slideshow,2.24,2.17,4.23,4.15,6.12,6.05,170.08928571428567
hwy,2.24,2.17,4.23,6.23,6.12,6.05,170.08928571428567
xhtml,2.24,4.34,4.23,4.15,4.08,6.05,170.08928571428567
lingerie,2.24,2.17,6.34,6.23,6.12,6.05,170.08928571428567
nightlife,2.24,2.17,2.11,2.08,4.08,6.05,170.08928571428567
nudity,2.24,6.51,6.34,6.23,6.12,6.05,170.08928571428567
wan,67.07,73.78,109.98,114.25,138.77,171.39,155.53898911584912
subscribe,13.41,17.36,14.8,16.62,34.69,32.26,140.56674123788216
shopper,6.71,13.02,12.69,14.54,16.33,16.13,140.3874813710879
tba,4.47,8.68,16.92,68.55,6.12,10.08,125.503355704698
payday,4.47,4.34,8.46,8.31,8.16,10.08,125.503355704698
patio,4.47,4.34,4.23,10.39,10.2,10.08,125.503355704698
redeem,4.47,8.68,8.46,10.39,10.2,10.08,125.503355704698
isbn,55.89,52.08,69.79,105.94,99.99,120.98,116.46090534979425
