Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,944091.44,952211.88,957833.46,962377.27,967372.29,969693.77
of,552820.01,555160.53,556576.88,558022.24,558861.8,559573.59
and,392000.16,394335.06,396058.66,397380.91,398478.61,399499.04
to,268455.33,271125.63,273659.59,275128.14,276885.93,277697.79
a,311520.42,313006.01,313655.4,314783.85,315826.53,316475.03
in,357689.97,360560.35,362140.07,363988.48,365835.88,367508.86
for,130500.62,131576.42,132239.38,132717.14,133344.64,133743.02
is,182698.6,183488.11,183853.63,183857.13,183850.4,183127.89
on,91390.16,92186.44,92854.32,93205.31,93653.68,94054.54
that,88123.39,89119.13,89835.19,90276.69,91025.8,91205.47
by,94294.84,95342.33,95872.36,96276.73,97065.5,97434.56
this,51176.4,51652.57,51770.19,51896.65,52145.03,52279.65
with,93462.82,94508.51,95130.57,95562.7,96345.57,96694.76
i,10518.82,10441.03,10391.51,10246.97,10167.27,10110.97
you,1558.47,1490.47,1482.49,1438.73,1416.78,1404.79
it,52536.23,52984.69,53379.38,53481.39,53854.62,53862.12
not,24692.62,24868.45,25060.47,25097.88,25270.19,25330.93
or,43614.47,43937.8,44144.41,44268.18,44274.0,44356.92
be,61915.43,62367.11,62578.61,62835.28,62990.25,62981.84
are,64984.7,65435.53,65777.49,66074.02,66011.68,65880.78
from,69595.41,70078.57,70772.91,71159.67,71465.78,71766.98
at,83681.8,84018.76,84367.63,84438.63,84867.51,85013.79
as,105391.42,106729.02,107561.18,108554.98,109106.08,109565.43
your,469.92,463.97,463.48,443.34,436.58,432.24
all,14188.55,14333.3,14428.56,14503.48,14520.47,14459.38
have,25378.21,25706.7,25932.2,25977.1,26070.94,26059.3
new,18481.44,18464.75,18452.61,18446.67,18534.69,18513.74
more,17251.01,17436.04,17559.22,17699.6,17774.88,17854.98
an,61949.48,62517.71,62693.4,62913.08,63243.18,63389.14
was,98020.19,99484.86,100367.48,101368.78,102368.48,103310.37
we,6379.17,6391.52,6343.63,6309.11,6271.63,6221.81
will,12061.4,12095.38,12005.03,11975.58,11841.17,11713.18
home,1628.85,1662.1,1665.5,1656.14,1636.12,1652.08
can,37469.13,37920.56,38202.54,38371.51,38599.52,38630.73
us,3998.9,4253.26,4216.81,4160.6,4210.47,4224.77
about,10720.87,10759.94,10753.19,10712.69,10693.05,10674.13
if,11542.67,11608.15,11639.01,11701.69,11774.01,11693.44
page,1844.51,1793.88,1730.47,1691.31,1686.5,1734.17
my,600.46,617.89,642.16,636.24,637.03,625.51
has,34097.93,34230.93,34309.51,34170.41,34231.62,34208.55
search,1412.04,1416.28,1381.78,1429.14,1419.93,1425.57
free,5012.53,5002.92,4947.77,5002.52,5001.78,4974.96
but,18695.97,18955.3,19131.59,19224.65,19395.26,19424.98
our,1753.7,1783.91,1775.96,1724.35,1676.0,1654.16
one,26660.86,26863.86,26835.34,26853.13,26950.4,26988.21
other,19352.05,19487.92,19636.22,19707.43,19784.61,19804.24
do,3861.56,3852.41,3875.7,3872.85,3883.04,3875.65
no,10945.62,10787.62,10607.0,10535.78,10545.08,10485.02
information,5696.99,5655.14,5593.18,5537.52,5476.14,5440.45
time,20264.66,20370.47,20460.31,20565.34,20653.57,20752.89
they,17966.11,18267.64,18396.3,18397.65,18459.13,18530.37
site,3181.64,3230.09,3225.96,3217.43,3241.81,3271.96
he,67507.99,67203.93,67341.2,67268.7,67649.9,67824.84
up,9995.55,10042.39,10210.66,10169.17,10200.85,10195.13
may,27994.58,27698.78,27512.15,27423.29,27243.2,27184.59
what,3372.33,3393.97,3387.31,3363.44,3356.21,3318.72
which,44424.92,44883.46,45192.65,45450.07,45699.18,45760.67
their,18106.86,18468.07,18689.77,18754.67,18900.96,18973.0
news,1634.52,1613.38,1481.41,1397.17,1362.21,1346.6
out,8040.94,8080.2,8174.81,8114.45,8147.04,8126.39
use,10972.86,11035.66,11128.96,11209.32,11150.62,11175.99
any,7615.28,7641.69,7642.02,7659.38,7677.92,7658.82
there,14159.04,14224.78,14317.02,14312.72,14300.08,14295.21
see,4973.94,4928.73,4717.11,4663.62,4613.47,4591.55
only,12113.62,12104.24,12188.04,12220.69,12297.69,12282.58
so,8817.33,8899.62,8982.65,8974.49,8957.23,8920.22
his,41128.64,41046.56,41172.93,41234.05,41818.24,42036.73
when,16383.8,16628.79,16777.37,16779.88,16874.43,16882.44
contact,2224.76,2241.24,2223.19,2223.11,2200.74,2161.22
here,2240.66,2265.6,2289.25,2277.46,2284.7,2278.63
business,1496.04,1481.61,1463.0,1458.98,1467.16,1481.68
who,10697.03,10883.96,10995.76,11182.68,11437.13,11467.96
web,1121.46,1107.33,1090.48,1004.98,995.95,970.47
also,30936.72,31289.86,31593.6,31915.33,32117.99,32263.45
now,4846.81,4881.12,4849.22,4853.32,4858.0,4855.47
help,1971.64,2027.52,2044.51,2061.12,2093.69,2082.25
get,1583.44,1582.38,1581.03,1544.24,1539.57,1522.2
pm,202.04,204.86,197.09,202.49,213.04,208.85
view,1615.22,1616.7,1622.18,1628.43,1626.68,1637.54
online,1354.16,1334.33,1317.89,1293.79,1297.15,1296.73
c,12885.47,12453.05,12127.39,11848.76,11672.21,11678.89
e,14120.45,13789.6,13635.87,13500.63,13392.29,13329.93
