Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
samba,1.14,1.11,5.41,7.46,7.35,7.27,537.719298245614
pmid,3.41,2.21,4.33,8.53,13.64,17.66,417.88856304985336
ent,3.41,4.43,4.33,12.79,15.74,17.66,417.88856304985336
cayman,3.41,4.43,4.33,4.26,7.35,15.59,357.18475073313783
browsing,1.14,1.11,2.17,3.2,5.25,5.2,356.14035087719304
usr,1.14,1.11,1.08,1.07,5.25,5.2,356.14035087719304
warranty,3.41,7.75,14.08,15.99,13.64,13.51,296.1876832844574
spice,23.84,23.25,23.82,21.31,20.99,88.32,270.46979865771806
adidas,1.14,2.21,3.25,3.2,2.1,4.16,264.91228070175447
ctrl,2.27,2.21,2.17,7.46,7.35,7.27,220.26431718061673
naughty,3.41,7.75,8.66,9.59,9.45,10.39,204.69208211143695
sublime,2.27,3.32,3.25,4.26,5.25,6.23,174.44933920704847
hwy,1.14,1.11,2.17,3.2,3.15,3.12,173.6842105263158
nightlife,1.14,1.11,1.08,1.07,2.1,3.12,173.6842105263158
slideshow,1.14,1.11,2.17,2.13,3.15,3.12,173.6842105263158
xhtml,1.14,2.21,2.17,2.13,2.1,3.12,173.6842105263158
nudity,1.14,3.32,3.25,3.2,3.15,3.12,173.6842105263158
lingerie,1.14,1.11,3.25,3.2,3.15,3.12,173.6842105263158
wan,34.05,37.65,56.31,58.61,71.36,88.32,159.38325991189427
subscribe,6.81,8.86,7.58,8.53,17.84,16.62,144.05286343612337
shopper,3.41,6.64,6.5,7.46,8.4,8.31,143.6950146627566
patio,2.27,2.21,2.17,5.33,5.25,5.2,129.07488986784142
tba,2.27,4.43,8.66,35.17,3.15,5.2,129.07488986784142
dash,43.13,42.08,94.21,94.85,96.55,96.63,124.04358914908413
isbn,28.38,26.58,35.74,54.35,51.42,62.34,119.661733615222
sunglasses,14.76,32.11,34.65,34.1,31.48,32.21,118.2249322493225
marker,125.99,136.2,136.45,142.81,272.86,274.31,117.72362885943328
remix,18.16,17.72,38.98,39.43,38.83,39.48,117.40088105726872
clicks,9.08,8.86,8.66,21.31,20.99,19.74,117.40088105726872
stats,6.81,7.75,11.91,12.79,14.69,14.55,113.65638766519825
redeem,3.41,5.54,5.41,5.33,7.35,7.27,113.19648093841641
lil,27.24,26.58,33.57,53.29,52.47,54.03,98.34801762114539
choir,20.43,18.82,19.49,24.51,37.78,40.52,98.33578071463536
asn,15.89,15.5,16.24,15.99,31.48,31.17,96.16110761485211
motel,7.95,7.75,9.75,9.59,10.49,15.59,96.1006289308176
shame,10.22,14.4,14.08,15.99,16.79,19.74,93.15068493150682
chicks,2.27,2.21,2.17,4.26,4.2,4.16,83.25991189427313
airfare,2.27,1.11,1.08,4.26,4.2,4.16,83.25991189427313
aud,2.27,3.32,3.25,3.2,3.15,4.16,83.25991189427313
favorites,2.27,2.21,2.17,2.13,2.1,4.16,83.25991189427313
scratch,91.94,89.69,162.43,174.78,168.96,168.33,83.08679573634981
spirituality,11.35,12.18,14.08,17.05,17.84,20.78,83.08370044052865
puppy,11.35,11.07,12.99,21.31,20.99,20.78,83.08370044052865
minolta,4.54,5.54,5.41,6.39,6.3,8.31,83.03964757709252
edt,5.68,6.64,6.5,9.59,10.49,10.39,82.92253521126763
latina,5.68,6.64,9.75,10.66,10.49,10.39,82.92253521126763
payday,3.41,3.32,5.41,5.33,5.25,6.23,82.69794721407625
screensaver,1.14,1.11,1.08,1.07,1.05,2.08,82.45614035087722
mariah,1.14,1.11,1.08,1.07,2.1,2.08,82.45614035087722
ciao,1.14,1.11,1.08,1.07,2.1,2.08,82.45614035087722
wy,1.14,1.11,2.17,2.13,2.1,2.08,82.45614035087722
techrepublic,1.14,1.11,1.08,2.13,2.1,2.08,82.45614035087722
epson,1.14,1.11,1.08,1.07,1.05,2.08,82.45614035087722
warranties,1.14,1.11,3.25,4.26,3.15,2.08,82.45614035087722
bool,1.14,1.11,2.17,2.13,2.1,2.08,82.45614035087722
fragrances,1.14,2.21,2.17,2.13,2.1,2.08,82.45614035087722
cheque,1.14,1.11,1.08,1.07,1.05,2.08,82.45614035087722
allah,1.14,1.11,1.08,1.07,1.05,2.08,82.45614035087722
rentals,1.14,1.11,2.17,2.13,3.15,2.08,82.45614035087722
firewire,1.14,1.11,1.08,1.07,1.05,2.08,82.45614035087722
fonts,1.14,1.11,3.25,1.07,1.05,2.08,82.45614035087722
meetup,1.14,2.21,2.17,2.13,2.1,2.08,82.45614035087722
disability,15.89,19.93,21.66,27.71,28.34,28.05,76.52611705475142
hey,21.57,19.93,37.9,37.3,37.78,37.41,73.43532684283726
copied,72.65,105.2,114.79,123.62,125.94,125.72,73.04886441844458
wendy,56.75,95.23,96.38,98.05,96.55,97.67,72.1057268722467
idol,24.97,26.58,28.16,28.77,41.98,42.6,70.60472567080498
acne,7.95,7.75,10.83,11.72,11.54,13.51,69.937106918239
cab,47.67,62.01,61.73,62.88,78.71,80.01,67.84140969162996
anxiety,46.54,46.51,49.81,66.08,64.02,77.93,67.4473571121616
inkjet,22.7,23.25,20.58,37.3,37.78,37.41,64.80176211453742
revenge,68.11,75.3,93.13,99.11,111.24,112.22,64.76288357069447
ave,11.35,14.4,15.16,15.99,18.89,18.7,64.75770925110133
gst,5.68,5.54,5.41,5.33,7.35,9.35,64.61267605633803
freeware,5.68,6.64,6.5,6.39,8.4,9.35,64.61267605633803
brutal,20.43,21.04,21.66,25.58,31.48,33.25,62.75085658345571
cow,20.43,33.22,38.98,38.37,33.58,33.25,62.75085658345571
memories,143.02,148.38,179.76,207.82,226.69,231.71,62.01230597119284
kazakhstan,96.48,97.45,96.38,166.25,157.42,155.86,61.5464344941957
homework,4.54,5.54,6.5,7.46,7.35,7.27,60.13215859030836
gig,4.54,4.43,5.41,5.33,6.3,7.27,60.13215859030836
sunny,30.65,42.08,45.48,46.89,46.18,48.84,59.34747145187603
