Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
additionally,761.64,790.63,811.09,841.92,883.65,924.75,21.415629431227355
crucial,402.95,408.61,413.67,419.9,442.88,455.1,12.942052363816858
valuable,299.66,306.73,311.88,312.26,332.68,335.61,11.996929853834342
enhance,364.36,369.85,373.6,380.46,385.16,401.07,10.075200351300904
significant,2543.72,2602.23,2630.36,2653.66,2718.13,2760.75,8.531992514899448
significantly,1138.49,1147.2,1159.79,1184.02,1216.34,1231.27,8.149390859823097
effectively,568.68,578.03,582.6,593.61,598.2,594.33,4.510445241612171
comprehensive,617.49,622.32,619.42,618.12,622.34,628.62,1.8024583394063052
are,64984.7,65435.53,65777.49,66074.02,66011.68,65880.78,1.378909189393814
capabilities,528.95,530.41,528.46,537.13,541.53,531.99,0.5747235088382575
is,182698.6,183488.11,183853.63,183857.13,183850.4,183127.89,0.2349716965537821
