Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,2054119.4,2058174.02,2057932.8,2054833.32,2053440.33,2057113.42
of,958984.02,956816.5,953637.0,949482.6,947178.84,945705.31
and,888571.93,892180.05,893934.31,895988.24,899144.47,899867.75
to,518988.42,520209.99,521763.37,522619.72,524604.34,524623.64
a,558011.99,557914.59,558638.18,559201.28,559910.56,558670.76
in,794948.74,795103.89,796790.72,800218.39,801911.66,802564.79
for,208148.87,208191.99,208663.22,208504.5,208383.44,207784.22
is,195382.08,191506.4,188362.99,186833.76,185216.93,184636.25
on,195771.48,195893.79,195340.37,195322.65,194862.18,195191.62
that,120909.09,119188.63,118773.48,118675.57,118314.21,118948.48
by,226200.4,226835.05,225975.03,226405.28,226100.51,225571.74
this,39691.11,39270.56,38875.87,38232.54,38696.13,38567.22
with,170529.93,172336.86,172815.28,173534.92,173678.45,174195.47
i,20081.98,20006.52,19944.78,19915.76,19635.89,19493.7
you,2767.53,2983.43,2975.26,2807.97,2929.39,2852.12
it,156414.14,155921.25,154937.38,155205.14,155334.57,156013.24
not,36228.22,35436.65,35321.35,34800.58,34641.03,34530.96
or,55350.61,55240.67,53975.98,53832.35,53701.27,53770.01
be,47910.26,46911.37,46432.5,46435.44,45910.88,45748.43
are,62067.78,61234.53,60992.85,61034.27,61670.75,61027.62
from,144857.26,144365.53,144365.99,144935.26,145459.06,145254.14
at,114956.81,115854.21,116535.45,116790.6,117175.71,117611.55
as,252999.55,252349.43,252120.46,252417.97,252669.72,253303.46
your,445.03,418.49,447.61,377.0,422.14,420.18
all,28940.86,29091.8,29028.54,28963.65,28922.96,28890.4
have,54335.38,53985.2,53567.86,53468.36,53637.31,53540.82
new,43459.96,43725.45,43417.75,43120.48,43198.95,43252.83
more,31082.56,31049.25,31121.76,31251.62,31161.57,31513.32
an,110353.53,110602.84,110479.61,110719.67,110843.61,110799.58
was,389248.27,388480.16,388179.42,387824.34,386833.34,386805.37
we,1112.57,1025.98,1079.52,1052.99,1023.37,1031.35
will,4102.62,4036.4,3765.15,3561.96,3837.63,3794.33
home,10013.17,9908.76,9860.49,9710.88,9670.83,9867.81
can,12154.88,12136.21,11993.2,11764.86,11717.57,11841.37
us,11250.91,11474.72,11413.94,11322.86,11410.56,11395.73
about,23169.37,22733.45,22709.4,22619.73,22667.62,22384.01
if,4227.78,4333.4,4225.92,4250.95,4246.98,4329.1
page,1474.16,1228.47,1119.01,1039.99,946.62,904.02
my,1418.53,1444.47,1408.64,1364.98,1381.55,1413.32
has,56838.68,56779.63,56490.47,56224.32,56336.44,56163.75
search,1696.68,1646.96,1606.11,1572.98,1547.85,1515.19
free,3379.45,3347.92,3449.2,3444.96,3479.45,3437.82
but,58201.58,58804.59,59083.95,59266.29,59726.35,59767.09
our,862.25,836.98,908.38,870.99,844.28,827.62
one,60927.39,60492.05,60058.15,60007.28,59943.82,59767.09
other,40817.6,40863.52,40653.12,40702.51,40371.89,40617.17
