Word,Original,Revised,Growth Rate (%)
the,2057932.8,1944648.71,-5.504751661473109
of,953637.0,833362.67,-12.612171088160375
and,893934.31,807356.16,-9.685068469963975
to,521763.37,564157.94,8.125248424395899
a,558638.18,572238.3,2.4345131584096156
in,796790.72,796437.5,-0.04433033557418591
for,208663.22,221469.54,6.137315431056804
is,188362.99,155427.94,-17.484883840503908
on,195340.37,176545.5,-9.621600491490824
that,118773.48,126420.16,6.438036504445274
by,225975.03,215847.25,-4.4818137649987255
this,38875.87,77354.09,98.97712900058569
with,172815.28,189623.45,9.726090192950538
i,19944.78,21117.56,5.880135052881017
you,2975.26,2946.95,-0.9515134811747679
it,154937.38,133604.2,-13.768904572931328
not,35321.35,28695.43,-18.75896589456518
or,53975.98,44991.94,-16.644514837896413
be,46432.5,31886.83,-31.32648468206536
are,60992.85,46485.79,-23.78485347052974
from,144365.99,169279.98,17.257520278841312
at,116535.45,111685.4,-4.161866625134243
as,252120.46,309334.88,22.69328716915716
your,447.61,488.9,9.224548155760587
all,29028.54,25653.42,-11.626902351961215
have,53567.86,42764.75,-20.167148734334358
new,43417.75,41012.88,-5.538909777683097
more,31121.76,23304.01,-25.119883965431264
an,110479.61,100997.61,-8.582579174564428
was,388179.42,283328.37,-27.010976006919684
we,1079.52,1113.59,3.1560323106565824
will,3765.15,2335.83,-37.96183418987292
home,9860.49,9968.03,1.0906151722683242
can,11993.2,17803.93,48.45020511623253
us,11413.94,7509.97,-34.20352656488469
about,22709.4,13295.23,-41.454948171241874
if,4225.92,3082.76,-27.05115099197334
page,1119.01,692.6,-38.10600441461649
my,1408.64,1358.04,-3.592117219445716
has,56490.47,47042.59,-16.724732507978786
search,1606.11,1588.91,-1.0709104606782736
free,3449.2,3218.56,-6.686767946190417
but,59083.95,33516.48,-43.27312239618373
our,908.38,1303.72,43.52143376120126
one,60058.15,54308.11,-9.57412108098568
other,40653.12,31737.45,-21.93108425626373
do,3291.22,2159.29,-34.39241375538554
no,18996.91,15250.82,-19.719470166463914
information,1961.57,1982.74,1.0792375495139135
time,35216.03,32484.37,-7.756865268458711
they,38704.72,38038.77,-1.7205911837109384
site,6213.82,6355.64,2.2823319632689816
he,157715.17,157274.88,-0.27916781879638347
up,19826.3,12235.96,-38.28419826190464
may,25868.97,26033.67,0.6366701109475834
what,6898.39,5214.88,-24.404390009842878
which,84518.48,82609.71,-2.2584054990103817
their,52488.34,69884.86,33.143589604853204
news,2066.88,1521.01,-26.410338287660633
out,14191.73,8895.18,-37.321383650900906
use,12572.45,7088.98,-43.61496764751501
any,8570.33,7387.75,-13.798535178925432
there,16126.97,10891.5,-32.4640648553324
see,3633.5,1846.94,-49.169120682537496
only,27580.41,24811.43,-10.03966220951755
so,7477.65,2064.22,-72.3948031801435
his,170195.47,191551.87,12.548160065599863
when,36111.24,26780.59,-25.838630852886798
contact,1119.01,760.5,-32.038140856650074
here,947.87,1480.27,56.168039921086226
business,3264.89,2865.47,-12.233796544447136
who,43444.08,42058.57,-3.1891802059106835
web,263.3,162.97,-38.10482339536651
also,49355.11,49473.48,0.23983332222337791
now,9952.64,9995.19,0.4275247572503486
help,2962.1,1738.29,-41.315620674521455
get,855.72,339.51,-60.32463890057495
pm,105.32,190.13,80.52601595138626
view,2369.68,1575.33,-33.521403733837474
online,1276.99,1167.92,-8.5411788659269
c,7122.2,6545.76,-8.093566594591552
e,3988.96,3598.81,-9.780744855802014
first,81345.74,70074.98,-13.855378290246064
am,421.28,488.9,16.05108241549563
been,54239.27,38378.28,-29.242631768458534
would,14389.21,10714.95,-25.534827832799706
how,2540.82,1534.59,-39.60256924929748
were,97867.66,72505.88,-25.91436231335254
me,1408.64,1385.2,-1.6640163562017303
s,221077.7,233148.71,5.460075801403751
services,2448.67,2322.25,-5.162802664303482
some,25052.75,22584.24,-9.85324964325273
these,17588.27,27527.52,56.51067444381966
click,105.32,108.64,3.152297759210034
its,94708.09,116180.52,22.672223671705353
like,9175.92,14273.02,55.54865343202644
service,13678.3,12276.7,-10.246887405598638
x,3554.52,3761.78,5.830885745473375
than,26803.68,18360.73,-31.49921951015682
find,1724.6,1303.72,-24.40449959410877
price,1606.11,1466.69,-8.680600955102694
date,3080.58,3476.59,12.855046776905654
back,8609.83,8623.57,0.1595850324570843
top,7780.44,7605.04,-2.2543712180802067
people,12954.23,6151.93,-52.51026112706042
had,59781.68,38894.33,-34.93938276742975
list,3528.19,3259.3,-7.621188201315684
name,13981.09,12928.56,-7.528239929790886
just,4739.35,10524.83,122.07328009115173
over,34412.98,38541.24,11.996229329747074
state,22235.47,18781.73,-15.532570258240558
year,26474.56,27486.78,3.8233685470126697
day,13020.06,11801.39,-9.359941505645903
into,38191.29,43104.26,12.864111162518997
email,13.16,13.58,3.191489361702127
two,50987.55,49364.84,-3.182561233085344
health,3515.02,3884.0,10.497237569060774
n,1342.82,1317.3,-1.9004780983303782
world,41811.63,38663.47,-7.529388354388472
re,5581.91,4590.18,-17.766857581007212
next,6411.29,4400.06,-31.370129880258098
used,19773.64,6803.79,-65.59161590885643
go,1408.64,977.79,-30.58623920945026
b,5766.21,5554.39,-3.6734700956087223
work,18509.81,13634.74,-26.337763596708996
last,12138.01,8745.79,-27.947085230610284
most,44984.37,39070.88,-13.145654812993945
products,908.38,801.24,-11.794623395495275
music,19023.24,17844.68,-6.195369453363366
buy,342.29,95.06,-72.22822752636652
data,1198.0,1167.92,-2.5108514190317135
make,5292.28,2009.9,-62.02203965020746
them,13941.6,11991.51,-13.987562403167498
should,1948.4,1385.2,-28.905768835967976
product,868.88,692.6,-20.288187091428043
system,13981.09,13498.94,-3.4485866266507093
post,4778.85,3965.48,-17.02020360546994
her,57714.8,67698.41,17.298180016217675
city,21919.51,20153.35,-8.05747938708484
t,3712.49,4291.41,15.593846717432239
add,302.79,244.45,-19.267479110934982
policy,2053.72,1697.55,-17.342675729895014
number,15495.05,10647.05,-31.28741114097728
such,23091.19,21647.19,-6.253467231441949
please,78.99,122.22,54.72844663881504
available,2725.13,3612.39,32.558446752998925
copyright,289.63,271.61,-6.221731174256805
support,8056.9,10321.12,28.102868348868686
message,816.22,733.34,-10.15412511332729
after,77936.04,65987.28,-15.331494902743321
best,17206.49,13512.52,-21.468469164832577
software,658.24,706.18,7.283057851239661
then,16890.53,9126.04,-45.969487043923415
jan,368.62,339.51,-7.897021322771422
good,3041.09,1683.97,-44.62610445596809
video,10242.27,9275.43,-9.439704284304163
well,20273.9,20818.79,2.687642732774648
d,6490.28,6246.99,-3.7485285688753023
where,19720.98,28899.14,46.540080665362474
info,13.16,13.58,3.191489361702127
rights,4410.23,4766.73,8.08347863943604
public,11137.48,11421.14,2.54689570710789
books,4541.88,3177.82,-30.03293790236642
high,14204.9,12548.31,-11.662102513921253
school,7938.42,7251.95,-8.647438659078258
through,21682.54,23697.84,9.294575266550872
m,7030.04,6572.92,-6.5023812097797435
each,10031.63,8922.34,-11.057923787061517
links,487.1,366.67,-24.723876000821186
she,45405.64,43253.65,-4.739477298414906
review,1395.48,1222.24,-12.414366382893341
years,37322.41,36748.63,-1.5373605295049437
order,6477.12,6056.87,-6.488223160911022
very,5437.09,1588.91,-70.77646314480724
privacy,39.49,54.32,37.55381109141554
book,8780.97,7143.3,-18.65021745889121
items,776.73,869.15,11.898600543303331
company,9175.92,8745.79,-4.687595358285591
r,3607.17,3517.33,-2.4905951202743464
read,974.2,556.8,-42.8454116197906
group,12453.97,11842.13,-4.9128109349869975
sex,1448.14,1113.59,-23.102048144516424
need,1119.01,977.79,-12.620083824094516
many,27172.3,21715.1,-20.08368816772964
user,39.49,67.9,71.94226386426945
said,2790.95,461.73,-83.45617083788673
de,8320.2,8093.93,-2.719525972933348
does,1803.59,1507.43,-16.42058339201259
set,9136.42,8827.28,-3.383601016590737
under,20603.02,20452.12,-0.7324168981052362
general,12638.28,11882.87,-5.977158284196899
research,4212.76,5581.55,32.491525745591964
university,8886.29,8555.67,-3.7205627995485266
january,11150.65,11108.79,-0.37540412442322885
mail,592.42,611.12,3.1565443435400637
full,4278.58,3897.58,-8.904823562957803
map,500.27,448.15,-10.418374077997882
reviews,5239.62,5934.64,13.264702402082602
program,4146.93,4630.92,11.67104339836939
life,15323.91,14870.56,-2.958448594386161
know,631.91,488.9,-22.6313873811144
games,12309.16,10117.42,-17.805764162623603
way,5213.29,4101.29,-21.330100569889648
days,8175.39,7849.48,-3.986476486137062
management,1750.93,2009.9,14.790425659506663
p,11032.16,6165.51,-44.11330147496047
part,24960.6,20968.17,-15.994928006538306
could,8228.05,7387.75,-10.212626320938732
great,10281.77,8161.83,-20.618434374626162
united,37980.66,34032.54,-10.395080022306095
hotel,1119.01,1045.69,-6.5522202661280895
real,2303.85,2037.06,-11.580181001367276
f,3515.02,3435.85,-2.2523342683683185
item,184.31,122.22,-33.68780858336498
international,10663.55,11312.49,6.085590633513235
center,4146.93,5391.43,30.01015208841239
ebay,39.49,40.74,3.165358318561661
must,2093.21,1724.71,-17.604540394895878
store,697.74,665.44,-4.629231518903883
travel,1790.42,1765.46,-1.3940863037723012
comments,302.79,135.8,-55.15043429439545
made,22103.82,17111.33,-22.58654838846859
development,8320.2,9098.88,9.358909641595135
report,1566.62,1249.4,-20.248688258799184
off,8675.65,7211.2,-16.880003227423877
member,10005.3,8637.15,-13.674252646097566
details,1158.51,1127.18,-2.7043357415991167
line,9465.54,8338.38,-11.908036942424856
terms,2922.6,2906.21,-0.5608020255936451
before,28409.79,26495.41,-6.738451780178598
hotels,105.32,81.48,-22.63577668059247
did,10057.96,8800.11,-12.506015136270165
send,381.78,380.25,-0.40075436115039365
right,3909.97,3544.49,-9.347386297081563
type,4067.95,3367.94,-17.207930284295525
because,10242.27,1344.46,-86.87341770916018
local,7253.84,8243.32,13.640775092916297
those,7912.09,8093.93,2.2982549490716124
using,5463.42,4875.37,-10.763404607370477
results,1119.01,1032.11,-7.765792977721387
office,5832.04,5065.5,-13.143599838135541
education,3278.05,4182.77,27.599334970485508
national,21458.74,21470.65,0.0555018607802688
car,1513.96,1344.46,-11.195804380564876
design,8794.13,9859.39,12.113307399367537
take,4476.06,3327.2,-25.66676943561973
posted,1474.47,380.25,-74.21107245315265
internet,342.29,244.45,-28.58394928277193
address,763.56,1779.04,132.992823091833
community,3133.24,3992.64,27.428476592919797
within,11440.27,21837.32,90.88115927333881
states,32253.94,28437.41,-11.832755936173996
area,12862.08,12833.5,-0.22220356272080355
want,368.62,230.87,-37.36910639683143
phone,276.46,285.19,3.1577805107429713
dvd,829.39,692.6,-16.492844138463205
shipping,1184.84,1181.5,-0.28189460180276815
reserved,223.8,298.77,33.49865951742626
subject,3580.85,1697.55,-52.593657930379656
between,33109.65,29809.03,-9.96875533265982
forum,210.64,203.71,-3.2899734143562376
family,16429.76,17097.75,4.065731940089214
l,2962.1,2865.47,-3.2622126194254113
long,15942.66,11149.53,-30.06480725299291
based,12085.35,9058.14,-25.048591890181097
w,1724.6,1575.33,-8.655340368781166
code,737.23,556.8,-24.474044735021643
show,7819.93,6233.41,-20.288161147222553
o,3304.38,3272.88,-0.9532801917455014
even,5252.78,5527.23,5.2248523638911175
black,10505.57,10742.11,2.2515675018109524
check,78.99,27.16,-65.61590074693
special,4239.09,4033.39,-4.85245654138035
prices,526.59,665.44,26.367762395791793
website,539.76,420.99,-22.00422409959982
index,342.29,312.35,-8.746968944462298
being,17772.58,19148.4,7.741250848216745
women,7135.36,7034.66,-1.4112812808323592
much,11453.44,7998.87,-30.161855302860978
sign,789.89,651.86,-17.474585068807045
file,157.98,122.22,-22.635776680592475
link,1053.19,977.79,-7.1592020433160295
open,5147.46,4522.28,-12.145407637941826
today,4568.21,6029.71,31.992837457122153
technology,1671.94,1846.94,10.466882782874983
south,23407.14,21103.98,-9.839561774740528
case,3383.37,2743.25,-18.91959791568761
project,6029.51,6871.69,13.967635844372086
same,9004.77,8447.02,-6.193939434322031
pages,368.62,380.25,3.155010580001084
uk,4344.41,4875.37,12.221682575999964
version,5634.57,5730.94,1.7103345951864986
section,3212.23,3150.66,-1.9167369708893873
own,8307.03,7265.53,-12.537573597302535
found,15231.76,13879.19,-8.879932456918961
sports,2185.37,2240.77,2.5350398330717496
house,12006.36,10484.09,-12.678863535659438
related,5700.39,6233.41,9.350588293081692
security,1303.32,1276.56,-2.053217935733357
both,23209.67,33842.41,45.81168107948112
g,2277.52,2009.9,-11.750500544451855
county,7819.93,7496.39,-4.137377188798364
american,33478.27,33217.72,-0.7782660215118513
photo,144.81,81.48,-43.733167598922726
game,33794.23,27731.22,-17.94096211098759
members,8741.48,8963.08,2.5350398330717496
power,8820.46,8379.12,-5.00359391687053
while,27303.94,55883.44,104.67170672071505
care,1132.18,1317.3,16.35075694677524
network,3646.67,3829.68,5.018551171342616
down,6872.06,5364.27,-21.940873624502697
computer,1895.74,1833.36,-3.290535621973483
systems,2435.5,2783.99,14.308766167111466
three,30437.18,30555.95,0.39021354803566044
total,4555.05,6274.16,37.740749278273555
place,11190.14,10579.15,-5.46007467288166
end,14323.38,10402.6,-27.373287589940357
following,21840.52,39804.22,82.24941530696155
download,381.78,325.93,-14.62884383676462
h,3936.3,4033.39,2.4665294820008556
him,22090.66,24634.89,11.517220399933725
without,5818.87,5921.06,1.7561829014911918
per,2501.33,2118.55,-15.303058772732895
access,1434.97,2145.71,49.52995533007659
think,315.96,162.97,-48.42068616280542
north,22064.33,20520.02,-6.9991248317986585
resources,1198.0,1534.59,28.095993322203668
current,2646.14,3001.27,13.420680689608266
posts,750.4,271.61,-63.804637526652456
big,2632.97,2376.57,-9.73805246546674
media,4607.71,4807.47,4.335342284996239
law,6266.48,5988.97,-4.428482976088639
control,7543.47,8474.18,12.337955874418537
