id,translated_spainish,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Ahora tenemos ratones de 4 meses de edad que no tienen diabetes y que antes tenían diabetes"", añadió.","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.",43.71558062518197,"""Ahora tenemos ratones de 4 meses que son no diabéticos y que solían ser diabéticos,"" agregó.",47.5444936614081
1,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie de Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación todavía está en sus primeros días.","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.",58.41689293486011,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas.",85.80789569266322
2,"Al igual que algunos otros expertos, es escéptico sobre si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.",50.8945337897551,"Como algunos otros expertos, es escéptico sobre si la diabetes se puede curar, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.",92.09951663383346
3,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de contactar directamente a Bob Dylan sobre la obtención del Premio Nobel de Literatura de 2016, había abandonado sus esfuerzos para llegar a él.","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.",67.27767075271852,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de comunicarse directamente con Bob Dylan sobre su premiación con el Nobel de Literatura en 2016, había abandonado sus esfuerzos para contactarlo.",84.59335455845547
4,"Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibí respuestas muy amistosas.","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».",48.65657305051427,"Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, eso es ciertamente suficiente.""",73.59010883530985
5,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.",41.902599964804516,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta no era audible desde su taller en el garaje.",73.279755118869
6,Dijo que construyó una campana de puerta Wi-Fi.,Él dijo que construyó un timbre wifi.,52.279468272094306,"Él construyó un timbre de puerta WiFi, dijo.",50.59748892383888
7,Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank donde el panel del programa rechazó financiar la startup.,"Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.",52.5925001072257,"Siminoff dijo que las ventas aumentaron después de su aparición en un episodio de Shark Tank en 2013, donde el panel del programa rechazó financiar la startup.",94.73516255490327
8,"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.",53.309746761991526,"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.",100.0
9,"Ring también resolvió una demanda con la compañía de seguridad competidora, la ADT Corporation.","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.",58.01965605616468,"Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation.",85.47981564816533
