id,translated_portu,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Agora temos ratos de 4 meses de idade que não são diabéticos e que costumavam ser diabéticos"", acrescentou.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",76.08968100337637,"""Agora temos camundongos de 4 meses que são não diabéticos, mas que costumavam ser diabéticos"", acrescentou ele.",70.61832833023189
1,"O Dr. Ehud Ur, professor de medicina da Universidade Dalhousie, em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está nos primeiros dias.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",68.66744442979575,"O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está em seus estágios iniciais.",86.72103019923789
2,"Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que essas descobertas não têm relevância para pessoas que já têm diabetes tipo 1.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.",86.64296960002503,"Como alguns outros especialistas, ele é cético quanto à possibilidade de cura do diabetes, observando que esses achados não têm relevância para pessoas que já possuem diabetes tipo 1.",72.35728476961255
3,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio na Suécia que o comitê, incapaz de contactar Bob Dylan diretamente sobre a vencedora do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.",86.4692746646689,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio, na Suécia, que o comitê, incapaz de contatar Bob Dylan diretamente sobre a vitória do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.",94.08528590393016
4,"Danius disse: ""No momento não estamos fazendo nada. Liguei e enviei e-mails ao seu colaborador mais próximo e recebi respostas muito amigáveis.","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",57.374397656957754,"Danius disse: ""Neste momento, não estamos fazendo nada. Eu liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso é certamente suficiente.""",67.41694003410646
5,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando seu sino não era ouvido de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",73.99900082891389,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando o seu campainha não era audível a partir de sua loja na garagem.",74.41701312667074
6,"Ele construiu um sino de porta Wi-Fi, disse ele.","Ele montou uma campainha sem fio, disse.",24.34382505920442,"Ele construiu um campainha de WiFi, disse ele.",61.620634899407136
7,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio de Shark Tank, onde o painel do show recusou financiar a startup.","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",60.531221629293086,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do programa recusou o financiamento da startup.",81.59930859707755
8,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",71.32880211793314,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.",100.0
9,"Ring também resolveu um processo com a empresa de segurança concorrente, a ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",63.11951092947163,"A Ring também resolveu uma ação judicial com a empresa de segurança concorrente, a ADT Corporation.",81.29516812751184
