id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:""现在我们有4个月的小鼠,它们不是糖尿病患者,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,0.8207264542579651,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,0.8774175047874451
1,"哈利法克斯大学医学教授,加拿大糖尿病协会临床和科学部门主席埃胡德·乌尔博士警告说,研究仍处于早期阶段.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,0.8893257975578308,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,0.8892355561256409
2,"他也怀疑糖尿病是否可以治愈,他指出这些发现对已经患有1型糖尿病的人没有任何意义.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,0.8926783204078674,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,0.8836393356323242
3,"瑞典文学奖委员会常任秘书萨拉·丹尼乌斯周一在瑞典斯威尔德广播电台的一次电台节目中公开宣布,委员会无法直接联系布勃·迪伦获奖,2016年诺贝尔文学奖,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,0.7635974884033203,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,0.768298864364624
4,"丹尼斯说:""目前我们没有做任何事情.我已经打电话给他最亲密的合作伙伴,",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,0.6910843849182129,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,0.7360535264015198
5,"之前,环球公司首席执行官Jamie Siminoff表示,公司成立时,",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,0.5067707896232605,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,0.5493074655532837
6,他说他建造了一个WiFi门钟.,他称，他制作了一个 WiFi 门铃。,0.9151960015296936,他说他做了一个WiFi门铃。,0.9439473748207092
7,"辛诺夫表示,他在2013年在""鱼坦克""一集中出现在之后,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,0.456101655960083,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,0.4011908173561096
8,"2017年底,Siminoff出现在购物电视频道QVC上.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,0.8300241827964783,在2017年末，Siminoff出现在购物电视台QVC上。,0.930316686630249
9,环球公司还与竞争对手的安全公司ADT公司达成了诉讼.,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,0.8034183382987976,Ring还与竞争对手安全公司ADT公司达成了和解。,0.9080618619918823
