id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,« Nous avons maintenant des souris âgées de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétique,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",37.094871232464214,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",65.75674242608527
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",25.655002698070017,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",21.04787688612456
2,"l'instar de certains autres experts, il est sceptique quant à la question de savoir si le diabète peut être guéri et","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",9.050165317624877,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",24.32783193387589
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature de l'Académie suédoise, a annoncé publiquement","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",9.723595469043309,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",10.826297305919221
4,"Danius a dit : « En ce moment, nous ne faisons rien, j'ai téléphoné et envoyé des courriels","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",22.16618733617148,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",20.392867078072914
5,"Auparavant, le président-directeur général de Ring, Jamie Siminoff, a fait remarquer que l'entreprise avait commencé lorsque sa porte n","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",27.14527114494413,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",44.742610323848446
6,"Il a construit une porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,6.27465531099474,Il a dit qu'il avait construit une sonnette WiFi.,13.650604313545333
7,Siminoff a déclaré que les ventes ont augmenté après sa présentation en 2013 dans un épisode Shark Tank où le groupe d'experts a,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,38.239406708963166,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,34.3785540404806
8,"la fin de 2017, Siminoff a apparu sur la chaîne de télévision commerciale QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",33.64932442330151,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",41.69392927528885
9,"Ring a également réglé une poursuite auprès d'une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",32.22538601891173,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",43.819512537676886
10,"Même si un vaccin expérimental semble être capable de réduire la mortalité en Ebola, jusqu'à présent, aucun médicament n'a été clairement","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",23.991948732789485,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",36.682901223737765
11,"Un cocktail d'anticorps, ZMapp, a d'abord été prometteur sur le terrain, mais des études officielles ont indiqué qu'il","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",15.068543169442801,"Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",25.698516502742546
12,"Lors de l'essai sur le PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",56.53256752790207,"Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",55.44199909219694
13,USA Gymnastics soutient la lettre du Comité olympique des États-Unis et accepte le besoin absolu de la famille olympique de promouvoir,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,38.953894276849915,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,36.44334207150753
14,Nous sommes d'accord avec l'affirmation de l'USOC selon laquelle les intérêts de nos athlètes et clubs,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",3.248831536890006,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",9.633577525284137
15,USA Gymnastics soutient une enquête indépendante qui pourrait mettre en lumière comment l'abus de la proportion décrite de façon si courageuse par les survivants,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,21.238332884466743,La gymnastique américaine soutient une enquête indépendante qui pourrait éclairer comment les abus de la proportion décrite si courageusement par les survivants de Larry Nassar ont pu rester non détectés pendant si longtemps et adopte tous les changements nécessaires et appropriés.,17.197027222848103
16,"USA Gymnastics et l’USOC ont le même objectif : rendre le sport de gymnastique, et d’autres, aussi sûr que possible","USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.",16.03014539639712,"La Fédération américaine de gymnastique et le Comité olympique et paralympique des États-Unis ont le même objectif : rendre le sport de la gymnastique, ainsi que d'autres sports, aussi sûr que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et épanouissant.",15.578912896056739
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy à titre de conseiller, puis pour l'administration Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",74.42144493671196,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",74.42144493671196
18,"Au cours des sélections de 1976, il conseillait Carter sur la politique étrangère, puis a été conseiller en sécurité nationale (NSA) de 1977 à 1981, succé","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",52.42981607805153,"Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",52.42981607805153
19,"En tant que NSA, il a aidé Carter à gérer diplomatiquement les affaires mondiales, comme les Accords de Camp David de 1978, à","Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.",5.228575697702174,"En tant que conseiller à la sécurité nationale, il a aidé Carter à gérer diplomatiquement les affaires mondiales, telles que les Accords de Camp David en 1978 ; la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970 ; la Révolution iranienne, qui a conduit à la crise des otages en Iran en 1979 ; et l'invasion soviétique en Afghanistan en 1979.",10.91048610828378
