id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,« Nous avons maintenant des souris âgées de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétique,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",0.6736164689064026,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",0.8083757758140564
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",0.6049259901046753,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",0.5956379771232605
2,"l'instar de certains autres experts, il est sceptique quant à la question de savoir si le diabète peut être guéri et","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",0.6291137337684631,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",0.632906973361969
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature de l'Académie suédoise, a annoncé publiquement","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",0.5288912057876587,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",0.5189259052276611
4,"Danius a dit : « En ce moment, nous ne faisons rien, j'ai téléphoné et envoyé des courriels","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",0.7567890286445618,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",0.7537376284599304
5,"Auparavant, le président-directeur général de Ring, Jamie Siminoff, a fait remarquer que l'entreprise avait commencé lorsque sa porte n","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",0.5192171335220337,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",0.5259471535682678
6,"Il a construit une porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,0.7064875364303589,Il a dit qu'il avait construit une sonnette WiFi.,0.7635114789009094
7,Siminoff a déclaré que les ventes ont augmenté après sa présentation en 2013 dans un épisode Shark Tank où le groupe d'experts a,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,0.721270740032196,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,0.7183176875114441
8,"la fin de 2017, Siminoff a apparu sur la chaîne de télévision commerciale QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",0.8628425598144531,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",0.8721469044685364
9,"Ring a également réglé une poursuite auprès d'une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",0.9170769453048706,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",0.91677325963974
10,"Même si un vaccin expérimental semble être capable de réduire la mortalité en Ebola, jusqu'à présent, aucun médicament n'a été clairement","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",0.6012831330299377,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",0.6102532148361206
11,"Un cocktail d'anticorps, ZMapp, a d'abord été prometteur sur le terrain, mais des études officielles ont indiqué qu'il","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",0.7073377966880798,"Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",0.7331846952438354
12,"Lors de l'essai sur le PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",0.8080906271934509,"Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",0.784338653087616
13,USA Gymnastics soutient la lettre du Comité olympique des États-Unis et accepte le besoin absolu de la famille olympique de promouvoir,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,0.6934142708778381,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,0.6811618208885193
14,Nous sommes d'accord avec l'affirmation de l'USOC selon laquelle les intérêts de nos athlètes et clubs,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",0.4998845160007477,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",0.5500834584236145
