id,translated_spainish,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos"", agregó.","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.",15.256934988952949,"""Ahora tenemos ratones de 4 meses que son no diabéticos y que solían ser diabéticos,"" agregó.",54.36764532768825
1,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes advirtió que la investigación todavía está en sus primeros días.","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.",28.561660313755727,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas.",72.3714247009789
2,"Al igual que otros expertos, es escéptico acerca de si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.",34.997656442650005,"Como algunos otros expertos, es escéptico sobre si la diabetes se puede curar, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.",68.09354000776102
3,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia, el comité, incapaz de llegar a Bob Dylan directamente sobre ganar el Premio Nobel de Literatura 2016, había abandonado sus esfuerzos para llegar a él.","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.",34.06665714123087,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de comunicarse directamente con Bob Dylan sobre su premiación con el Nobel de Literatura en 2016, había abandonado sus esfuerzos para contactarlo.",69.95166573223979
4,"Danio dijo, ""Ahora mismo no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibido respuestas muy amistosas. Por ahora, eso es sin duda suficiente.""","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».",26.499592152584416,"Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, eso es ciertamente suficiente.""",61.231473562302895
5,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.",21.79767552423444,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta no era audible desde su taller en el garaje.",56.265231385667626
6,"Él construyó una campana de la puerta WiFi, dijo.",Él dijo que construyó un timbre wifi.,5.300156689756295,"Él construyó un timbre de puerta WiFi, dijo.",41.72261448611506
7,"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del show declinó financiar la startup.","Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.",22.736414820339935,"Siminoff dijo que las ventas aumentaron después de su aparición en un episodio de Shark Tank en 2013, donde el panel del programa rechazó financiar la startup.",72.38519520063488
8,"A finales de 2017, Siminoff apareció en el canal de televisión QVC.","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.",21.534425306569787,"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.",77.21195504586709
9,"Ring también resolvió una demanda con la compañía de seguridad competidora, la Corporación ADT.","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.",21.569535960898794,"Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation.",55.33409598501604
10,"Aunque una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora no se ha demostrado claramente que ningún medicamento sea adecuado para tratar la infección existente.","Al día de hoy no se ha demostrado a ciencia cierta que algún fármaco sea adecuado para tratar la infección existente causada por ébola, aun cuando existe una vacuna experimental que pareciera ser capaz de disminuir la mortalidad causada por esa enfermedad.",24.895718537513062,"Mientras que una vacuna experimental parece poder reducir la mortalidad por ébola, hasta ahora no se han demostrado claramente medicamentos adecuados para tratar la infección existente.",53.90394134204332
11,"Un cocktail de anticuerpos, ZMapp, inicialmente mostró promesa en el campo, pero los estudios formales indicaron que tenía menos beneficio de lo que se buscaba para prevenir la muerte.","Zmapp, un combinado de anticuerpos, tuvo un prometedor resultado de campo al principio, pero estudios los formales demostraron que era menos beneficioso de lo que se esperaba para prevenir la muerte.",23.443117029264428,"Un cóctel de anticuerpos, ZMapp, mostró inicialmente promesas en el campo, pero estudios formales indicaron que tenía menos beneficios de los esperados en la prevención de la muerte.",40.98845889492086
12,"En el ensayo PALM, ZMapp sirvió como un control, lo que significa que los científicos lo usaron como base y compararon los otros tres tratamientos con él.","En el ensayo PALM, la función de Zmapp fue de control, es decir, que los científicos lo utilizaron como base y compararon con él los otros tres tratamientos.",36.263388767581816,"En el ensayo PALM, ZMapp sirvió como control, lo que significa que los científicos lo utilizaron como referencia y compararon los otros tres tratamientos con él.",75.27181138460024
13,La Gimnasia de los Estados Unidos apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un entorno seguro para todos nuestros atletas.,USA Gymnastics respalda la nota del Comité Olímpico de los Estados Unidos y reconoce que resulta imperioso que la familia olímpica fomente un entorno seguro para todos nuestros deportistas.,36.94352717886157,La gimnasia de EE. UU. apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un ambiente seguro para todos nuestros atletas.,73.5310889478822
14,"Estamos de acuerdo con la declaración de la USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor servidos al avanzar con cambios significativos dentro de nuestra organización, en lugar de la decertificación.","Coincidimos con la declaración de la USOC de que los intereses de los atletas, los clubes y sus deportes, pueden ser atendidos más apropiadamente si se avanza con cambios significativos dentro de nuestra organización, en lugar del retiro de las certificaciones.",46.728940748794436,"Estamos de acuerdo con la declaración del USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor atendidos al avanzar con un cambio significativo dentro de nuestra organización, en lugar de la descalificación.",71.99292939028123
15,La Gimnasia de EE.UU. apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita tan valientemente por los sobrevivientes de Larry Nassar podría haber sido indetectado durante tanto tiempo y abarca cualquier cambio necesario y apropiado.,USA Gymnastics respalda a una investigación independiente que puede esclarecer de qué modo el abuso de la proporción que los sobrevivientes de Larry Nassa describieron con tanto coraje pudo haber pasado sin ser visto por tanto tiempo y acepta cualquier cambio necesario y adecuado.,28.653528640783257,La Federación de Gimnasia de EE. UU. apoya una investigación independiente que podría arrojar luz sobre cómo el abuso de la magnitud descrita tan valientemente por los sobrevivientes de Larry Nassar pudo haber permanecido indetectado durante tanto tiempo y abraza cualquier cambio necesario y apropiado.,67.95620590967863
16,"La gimnasia estadounidense y la USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas sigan sus sueños en un entorno seguro, positivo y empoderado.","La meta de USA Gymnastics y USOC es la misma: lograr que la gimnasia y otros deportes sean lo más seguro posible para que los atletas persigan sus sueños en un entorno protegido, positivo y potenciado.",31.564319743746452,"La gimnasia de EE. UU. y el USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas puedan seguir sus sueños en un entorno seguro, positivo y empoderado.",74.76008295111886
17,"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego la administración de Lyndon B. Johnson.","Durante los años 60, Brzezinski trabajó para John F. Kennedy en el puesto de asesor y, posteriormente, para el gobierno de Lyndon B. Johnson.",40.543534607408404,"A lo largo de la década de 1960, Brzezinski trabajó como asesor de John F. Kennedy y luego en la administración de Lyndon B. Johnson.",69.75361478903604
18,"Durante las selecciones de 1976 asesoró a Carter en política exterior, luego sirvió como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger.","Asesoró a Carter en materia de política exterior en las elecciones de 1976. Posteriormente, trabajó como asesor de seguridad nacional (ASN) entre 1977 y 1981, luego de Henry Kissinger.",10.754853070343328,"Durante las elecciones de 1976, asesoró a Carter sobre política exterior y luego se desempeñó como Asesor de Seguridad Nacional (NSA) desde 1977 hasta 1981, sucediendo a Henry Kissinger.",46.65131282959587
19,"Como NSA, ayudó a Carter en la gestión diplomática de los asuntos mundiales, como los Acuerdos de Camp David, 1978; normalizar las relaciones entre Estados Unidos y China pensó a finales de la década de 1970; la Revolución iraní, que llevó a la crisis de rehenes de Irán, 1979; y la invasión soviética en Afganistán, 1979.","Como consejero de seguridad nacional, asistió a Carter en el manejo diplomático de asuntos internacionales, como los Acuerdos de Camp David de 1978, la normalización de las relaciones entre Estados Unidos y China a fines de la década de 1970, la Revolución iraní de 1979, la que llevó a una crisis de rehenes en Irán, y la invasión soviética en Afganistán, en 1979.",38.82648387566685,"Como Asesor de Seguridad Nacional, ayudó a Carter a manejar diplomáticamente los asuntos mundiales, como los Acuerdos de Camp David, 1978; la normalización de las relaciones entre Estados Unidos y China a finales de los años 70; la Revolución Iraní, que condujo a la crisis de rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979.",58.62647511374942
20,"La película, con Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales.","El filme, protagonizado por Tyan Gosling y Emma Stone, fue nominado en todas las categorías más importantes.",31.688916239214326,"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales.",79.4069318995806
21,Gosling y Stone recibieron nominaciones para Mejor Actor y Actriz respectivamente.,"Gosling y Stone fueron nominados como Mejor Actor y Mejor Actriz, respectivamente.",20.999869922442727,"Gosling y Stone recibieron nominaciones a Mejor Actor y Mejor Actriz, respectivamente.",40.39323667732871
22,"Las otras nominaciones incluyen Mejor Imagen, Director, Cinematografía, Diseño de Trajes, Edición de Películas, Original Score, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original.","Entre las demás nominaciones se encuentran Mejor película, Mejor director, Mejor cinematografía, Mejor diseño de vestuario, Mejor edición de películas, Mejor partitura original, Mejor diseño de producción, Mejor edición de sonido, Mejor mezcla de sonido y Mejor guion original.",1.5029338450962553,"Las otras nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Montaje de Película, Banda Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guion Original.",52.559067087390204
23,"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones para la mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio.","Fueron dos las nominadas a mejor canción original: Audición (Los tontos que sueñan) y Ciudad de estrellas. El estudio Lionsgate fue nominado 26 veces, superando a cualquier otro estudio.",16.9254664595508,"Dos canciones de la película, Audition (Los tontos que sueñan) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que ningún otro estudio.",68.32021189398208
24,"A finales del domingo, el presidente de los Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria.","El domingo por la noche, en un anuncio realizado mediante el secretario de prensa, el presidente de los Estados Unidos de América, Donald Trump, comunicó que las tropas estadounidenses se retirarían de Siria.",37.776451246511336,"Tarde el domingo, el presidente de Estados Unidos, Donald Trump, en una declaración entregada a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria.",68.49211373191339
25,El anuncio se hizo después de que Trump tuvo una conversación telefónica con el presidente turco Recep Tayyip Erdoğan.,"El anuncio se hizo tras la conversación telefónica que Trump mantuvo con con el presidente de Turquía, Recep Tayyip Erdoğan.",30.990193767973174,El anuncio se hizo después de que Trump tuviera una conversación telefónica con el presidente turco Recep Tayyip Erdoğan.,85.78928092681438
26,"Turquía también se haría cargo de la vigilancia de los combatientes capturados por el ISIS que, según la declaración, las naciones europeas se han negado a repatriarse.","Turquía asumiría, además, la vigilancia de los militantes del ISIS que fueron capturados, a quienes las naciones europeas, conforme indica el comunicado, les denegó su repatriación.",13.532713716527189,"Turquía también se haría cargo de custodiar a los combatientes del ISIS capturados, que, según el comunicado, las naciones europeas se han negado a repatriar.",46.35164799875345
27,"Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya extendida, sino que proporciona detalles fósiles generalmente no pueden, como el color y la disposición tridimensional.","Además de confirmar que al menos algunos dinosaurios eran plumíferos, una teoría ya generalizada, también ofrece datos específicos que los fósiles por lo general no ofrecen, como su color y su estructura tridimensional.",20.59515104338172,"Esto no solo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya bastante extendida, sino que también proporciona detalles que generalmente los fósiles no pueden ofrecer, como el color y la disposición tridimensional.",59.47561139799478
28,Los científicos dicen que el plumaje de este animal era castaño en la parte superior con una parte inferior de color pálido o carotenoides.,"Según los especialistas, este animal tiene un plumaje de color castaño en la zona superior y una tonalidad pálida o carotenoide en la parte de abajo.",11.438762471968369,Los científicos dicen que el plumaje de este animal era de color castaño en la parte superior con un lado inferior pálido o de color carotenoide.,56.37830009935067
29,El hallazgo también proporciona una visión de la evolución de las plumas en las aves.,"Asimismo, el hallazgo permite comprender mejor la evolución de las plumas de las aves.",32.37722713145643,El hallazgo también brinda información sobre la evolución de las plumas en las aves.,60.26080978557135
30,"Debido a que las plumas de dinosaurio no tienen un pozo bien desarrollado, llamado raquis, pero sí tienen otras características de plumas — púas y púas — los investigadores indujeron que el raquis era probablemente un desarrollo evolutivo posterior que estas otras características.","Dado que el plumaje de los dinosaurios no tiene un eje bien desarrollado, denominado raquis, pero sí presenta otros rasgos de las plumas (cerdas y bárbulas), los investigadores llegaron a la conclusión de que es probable que el raquis sea el resultado de un desarrollo evolutivo posterior de estas otras características.",18.041807353627803,"Debido a que las plumas de dinosaurio no tienen un tallo bien desarrollado, llamado raquis, pero sí tienen otras características de las plumas —ganchos y microganchos—, los investigadores inferieron que el raquis fue probablemente un desarrollo evolutivo posterior a estas otras características.",60.35934997738672
31,"La estructura de las plumas sugiere que no se utilizaron en vuelo, sino para la regulación o visualización de la temperatura.Los investigadores sugirieron que, a pesar de que esta es la cola de un dinosaurio joven, la muestra muestra muestra plumaje adulto y no un polluelo caído.","La estructura que presenta el plumaje sugiere que su función no estaba relacionada con el vuelo, sino que las usaban para regular la temperatura o como indicador de la misma. Los investigadores sostienen que, aunque se trata de la cola de un dinosaurio joven, la muestra analizada presenta rasgos del plumaje de un adulto y no de un polluelo.",23.359786563405624,"La estructura de las plumas sugiere que no se utilizaban para volar, sino más bien para la regulación de la temperatura o para el exhibicionismo. Los investigadores sugirieron que, aunque esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de un polluelo.",57.84017245619307
32,"Los investigadores sugirieron que, aunque esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no un polluelo caído.","Las apreciaciones de los expertos fueron que, aun cuando se trata de la cola de un dinosaurio de corta edad, la muestra ilustra más el plumaje de un adulto que el de un polluelo.",14.897545707029492,"Los investigadores sugirieron que, a pesar de que esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de un polluelo.",65.52661146997202
33,"Un coche bomba detonó en el cuartel general de la policía en Gaziantep, Turquía, ayer por la mañana, mató a dos agentes de policía e hirió a más de otras veinte personas.","En la mañana de ayer, en Gaziantep, Turquía, un coche bomba mató a dos oficiales de policía e hirió a más de otras veinte personas.",45.546651167239176,,
34,La oficina del gobernador dijo que diecinueve de los heridos eran policías.,Desde el gobierno informaron que diecinueve de las personas heridas eran policías.,19.338531381761715,La oficina del gobernador dijo que diecinueve de los heridos eran oficiales de policía.,72.22450583670035
35,La policía dijo que sospechan de un presunto militante del Daesh (EIIL) de la responsabilidad del ataque.,La policía informó que el sospechoso por el ataque es un supuesto militante de Daish (ELIL).,5.7259987315337755,La policía dijo que sospechan de un presunto militante del Daesh (EI) como responsable del ataque.,64.87066897882097
36,"Encontraron que el Sol operaba sobre los mismos principios básicos que otras estrellas: La actividad de todas las estrellas en el sistema se encontró impulsada por su luminosidad, su rotación, y nada más.",Se descubrió que el sol se regía por los mismos principios básicos que otras estrellas: los únicos factores que impulsaban su actividad dentro del sistema eran su luminosidad y su rotación.,24.80418809568415,"Encontraron que el Sol operaba bajo los mismos principios básicos que otras estrellas: se descubrió que la actividad de todas las estrellas en el sistema estaba impulsada por su luminosidad, su rotación y nada más.",65.90780396918714
37,"La luminosidad y la rotación se utilizan juntos para determinar el número Rossby de una estrella, que está relacionado con el flujo plasmático.","La intensidad de la luz y la rotación se combinan para calcular el número de Rossby de una estrella, vinculado al flujo de plasma.",26.66066053854725,"La luminosidad y la rotación se utilizan juntas para determinar el número de Rossby de una estrella, que está relacionado con el flujo de plasma.",68.28372311187135
38,"Cuanto más pequeño es el número Rossby, menos activa es la estrella con respecto a las reversiones magnéticas.","A menor número de Rossby, menor es la actividad de la estrella en relación con sus inversiones magnéticas.",7.887272990342094,"Cuanto más pequeño es el número de Rossby, menos activa es la estrella con respecto a las inversiones magnéticas.",74.38089938902128
39,"Durante su viaje, Iwasaki tuvo problemas en muchas ocasiones.",Iwasaki debió enfrentarse con numerosos problemas durante su viaje.,9.425159511373677,"Durante su viaje, Iwasaki se encontró con problemas en muchas ocasiones.",58.50343668259105
40,"Fue robado por piratas, atacado en el Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en la India.","Lo asaltaron piratas, lo mordió un perro con rabia en el Tíbet, escapó del matrimonio en Nepal y lo detuvo la policía en India.",32.6439245561628,"Fue robado por piratas, atacado en Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en India.",79.75219547461045
41,El estándar 802.11n funciona tanto en las frecuencias 2.4Ghz como 5.0Ghz.,El 802.11n estándar funciona tanto en frecuencias de 2.4Ghz como 5.0Ghz.,34.32945239845197,El estándar 802.11n opera en las frecuencias de 2.4Ghz y 5.0Ghz.,24.808415001701803
