id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""У нас есть 4-месячные мыши, которые не диабетичны, которые раньше были диабетиками"", добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",10.923922468748797,"«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",20.58122617930426
1,"Доктор Эхуд Ур, профессор медицины Далхаузийского университета в Галифаксе, Новая Шотландия, и председатель клинического и научного отделения Канадской ассоциации диабета предупредили, что исследования все еще проводятся в первые дни.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",6.596811583816856,"Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",48.210213075042134
2,"Как и некоторые другие эксперты, он скептически относится к вопросу о том, можно ли вылечить диабет, отмечая, что эти выводы не имеют никакого отношения к людям, уже страдающим диабетом первого типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",31.054626134604007,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",57.06486538598155
3,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе Шведской академии, публично объявила во время радиопередачи на радио Sveriges Radio в Швеции о том, что комитет, не имея возможности напрямую связаться с Бобом Диланом по поводу получения Нобелевской премии 2016 года в области литературы, отказался от своих усилий, направленных на то, чтобы связаться с ним.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",31.153607008049065,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",42.997302935092044
4,"Даниус сказал: ""Теперь мы ничего не делаем. Я позвонил и отправил письма его близкому коллеге и получил очень дружеские ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",17.615740461184803,"Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",24.814529480806033
5,"Ранее генеральный директор ""Ринга"", Джейми Симинофф, заметил, что компания началась, когда его дверной звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",8.68955537012653,"Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",63.410668421757386
6,"Он сказал, что построил колокол WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.",24.936514388871338,"Он построил дверной звонок с WiFi, сказал он.",6.731190445080104
7,"Siminoff сказал, что продажи возросли после того, как он появился в 2013 году в эпизоде Shark Tank, где шоу-группа отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",16.74797984820479,"Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",29.452884374019476
8,В конце 2017 года Симинофф появился на телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,71.0866788975034,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,57.89300674674101
9,"""Кольцо"" также урегулировало иск с конкурирующими охранными компаниями ""ADT Corporation"".","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",6.250381527944883,Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,8.225964699966553
