id,translated_arabian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""لدينا الآن فئران عمرها 4 أشهر غير مصابة بالداء السكري التي كانت في السابق مصابة بالسكري"" أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",13.897158881271357,"قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",18.204978472688985
1,وحذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوسي في هاليفاكس، نوفا سكوشيا ورئيس القسم السريري والعلمي للرابطة الكندية لمرضى السكري، من أن البحث لا يزال في أيامه الأولى.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,33.85463794109317,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,48.876684192545945
2,وهو، شأنه شأن بعض الخبراء الآخرين، متشكك فيما إذا كان من الممكن علاج مرض السكري، مشيراً إلى أن هذه النتائج لا صلة لها بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع 1.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,14.645066834461023,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,43.3118482455109
3,يوم الاثنين، سارا دانيوس، الأمينة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، التي أعلنت في برنامج إذاعي على إذاعة Sveriges في السويد، أن اللجنة، التي لم تتمكن من الوصول إلى بوب ديلان مباشرة بشأن الفوز بجائزة نوبل في الأدب لعام 2016، قد تخلت عن جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,42.83106888794791,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,43.451294688485895
4,"قال دانيوس: ""الآن نحن لا نفعل شيئا. لقد اتصلت وأرسلت بريدا الكترونيا لأقرب متعاون له واستلمت ردودا ودية جدا. في الوقت الحاضر، هذا يكفي بالتأكيد.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",4.760807232723413,"قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",25.228710497069333
5,سابقاً، المدير التنفيذي لـ(رينج)، (جيمي سيمينوف)، لاحظ أن الشركة بدأت عندما كان جرس بابه غير مسموع من متجره في مرآبه.,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,14.772199911861211,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,9.727570367275343
6,قال انه بنى باب واي فاي,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,9.911450612811139,قال إنه صنع جرس باب يعمل بالواي فاي.,6.4790667469036025
7,Siminoff قال أن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك حيث رفض فريق العرض تمويل بدء التشغيل.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,46.76957554114678,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",12.331070916300376
8,وفي أواخر عام 2017، ظهر سيمينوف على قناة تليفزيونية تسوقية (QVC).,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",19.69434741959044,في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,22.718709780542323
9,وسوّت الشركة أيضاً دعوى قضائية مع شركة أمن منافسة، وهي شركة ADT Corporation.,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,21.97281387499715,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,19.04774674355918
10,وفي حين يبدو أن أحد اللقاحات التجريبية قادر على الحد من الوفيات الناجمة عن فيروس إيبولا، فإنه حتى الآن، لم تظهر بوضوح أي عقاقير مناسبة لمعالجة العدوى القائمة.,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,12.439699158241057,بينما يبدو أن لقاحاً تجريبياً واحداً قادر على تقليل معدل وفيات الإيبولا، وحتى الآن، لم يتم إثبات فعالية أي أدوية لعلاج العدوى الحالية بشكل واضح.,4.932818758845598
