id,translated_german,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",33.232177395586454,"„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",43.937095446369234
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in ihren Anfängen ist.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",48.22878915759472,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",83.08804006105507
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, und stellt fest, dass diese Befunde für Menschen, die bereits an Typ-1-Diabetes leiden, keine Relevanz haben.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",26.417139098511612,"Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",53.08752592992659
3,"Am Montag hatte Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, während eines Radioprogramms auf Sveriges Radio in Schweden öffentlich angekündigt, dass das Komitee Bob Dylan nicht direkt über den Preis für Literatur 2016 erreichen könne, seine Bemühungen aufgegeben, ihn zu erreichen.","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",20.436480360346177,"Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",45.65296587212874
4,"Danius sagte: ""Im Moment tun wir nichts. Ich habe angerufen und E-Mails an seinen engsten Mitarbeiter geschickt und erhielt sehr freundliche Antworten. Für den Moment, das ist sicherlich genug.""",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,22.685225961067914,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,33.75804740497264
5,"Zuvor bemerkte Rings CEO, Jamie Siminoff, dass das Unternehmen begann, als seine Türklingel von seinem Laden in seiner Garage nicht hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",7.149566508316829,"Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",33.9499783771075
6,"Er hat eine WiFi-Türglocke gebaut, sagte er.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.",6.939515136192131,"Er hat eine WLAN-Türklingel gebaut, sagte er.",59.694917920196445
7,"Siminoff sagte, dass der Umsatz nach seinem Auftritt 2013 in einem Shark Tank Episode, wo die Show-Panel lehnte die Finanzierung des Startups.","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",8.947976482419886,"Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",20.149693771504253
8,Ende 2017 erschien Siminoff auf dem Einkaufskanal QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,12.549310621989482,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,5.708765135015525
9,"Ring ordnete auch eine Klage mit konkurrierenden Sicherheitsunternehmen, der ADT Corporation.",Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,8.73716785171588,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",48.0584206351694
