id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",58.94159589207008,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",100.00000000000004
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a mis en garde contre le fait que la recherche en est encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",71.87606741821628,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",74.22304768280831
2,"Comme d'autres experts, il est sceptique quant à savoir si le diabète peut être guéri, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",23.871360075006187,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",63.963348137882996
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement, lors d'une émission de radio sur Sveriges Radio en Suède, que le comité, incapable de joindre directement Bob Dylan à propos de la victoire du Prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",56.818832079255664,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",68.62541293931773
4,"Danius a dit, ""En ce moment nous ne faisons rien. J'ai appelé et envoyé des emails à son plus proche collaborateur et a reçu des réponses très amicales. Pour l'instant, cela suffit certainement.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",57.44683942187205,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",53.94094599894767
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a remarqué que l'entreprise avait commencé quand sa sonnette n'était pas audible de sa boutique dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",42.770069940962806,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",59.637311924377556
6,"Il a construit une cloche de porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,8.91376552139813,Il a dit qu'il avait construit une sonnette WiFi.,11.016798394984653
7,Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel du spectacle a refusé de financer la startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,74.2545464929484,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,72.03362668653467
8,"Fin 2017, Siminoff est apparu sur la chaîne de télévision d'achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",72.72454093000138,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",80.91067115702207
9,"Ring a également réglé un procès avec une société de sécurité concurrente, ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",64.1386525898168,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",81.53551038173119
10,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité par Ebola, jusqu'à présent, aucun médicament n'a été clairement démontré pour traiter l'infection existante.","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",23.301482433033083,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",56.31272158394646
11,"Un cocktail d'anticorps, ZMapp, s'est montré initialement prometteur sur le terrain, mais des études formelles ont indiqué qu'il avait moins d'avantages que recherché pour prévenir la mort.","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",23.218544798293884,"Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",44.86369641877122
12,"Dans l'essai PALM, ZMapp a servi de témoin, c'est-à-dire que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à lui.","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",53.09613260579701,"Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",77.72105684320921
13,USA Gymnastique soutient la lettre du Comité olympique des États-Unis et accepte le besoin absolu de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,68.52259554649181,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,65.91859831189355
14,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, et de leur sport, pourraient être mieux servis par des changements significatifs au sein de notre organisation, plutôt que par une décertification.","Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",47.445435294695855,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",67.09804146765578
