id,translated_korean,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,칸에서 KC proper 트레이너 하나 3000 신뢰할 수있는 값 투명 한 확고 하 게 체인점 값 심장 college makers 기록.,"""그는 """"현재 4개월 된 당뇨병에서 치료된 생쥐가 있다""""고 덧붙였다.""",0.3216274678707123,"그는 ""우리는 이제 4개월 된 비당뇨 쥐를 보유하고 있으며, 이 쥐는 이전에 당뇨병을 앓고 있었습니다.""라고 덧붙였다.",0.3291456997394562
1,"alive. togetherICE called, does-4 CBS Email upon, Symantec end does well end는 값이 잘 될 때까지 잘 dy을합니다. 인기있는 upon882을 자극합니다.",노바스코샤주 핼리팩스의 댈하우지대학교 의과 교수이자 캐나다 당뇨 협회 임상과학부 의장인 Ehud Ur 박사는 이 연구가 아직 초기 단계라고 경고했습니다.,0.23748508095741272,다르하우지 대학교의 의학 교수인 에후드 우르 박사는 캐나다 당뇨병 협회의 임상 및 과학 부서 위원장으로서 이 연구가 아직 초기 단계에 있음을 경고했습니다.,0.22113314270973206
2,"Rentalsweightthrough, makers popular、 Inflatable worship、 Greece college。, Finally Now는 텐션、 적절한 요리、 하트 트루 포트폴리오、 적절한 인터 캔。을 중시합니다.","다른 전문가들과 마찬가지로, 그는 당뇨병의 치료 여부에 회의적이며, 이러한 결과는 제1형 당뇨병 환자에게는 관련이 없음을 지적합니다.",0.2840043306350708,"다른 일부 전문가들처럼, 그는 당뇨병이 치료될 수 있는지에 대해 회의적이며, 이러한 발견이 이미 제1형 당뇨병을 앓고 있는 사람들과는 관련이 없다고 지적했습니다.",0.2710660696029663
3,"잠금 장치,  UFOtext, 는 잘한다. Janssen #  - 4 well536,  중국  Num success days enterprise Ignating Taksim  well,  heart Furnace  Inflatable  well unique  upon, 866 882  heartrator.",월요일 스웨덴 한림원 노벨상 문학위원회 사무총장 사라 다니우스는 스웨덴 스베리예스 라디오의 라디오 프로그램에서 위원회는 2016년 노벨 문학상 수상 소식을 밥 딜런에게 직접 전달하는 것이 불가능하여 그에게 연락을 취하려는 노력을 포기했다고 공개적으로 발표했습니다.,0.18647992610931396,"다음 텍스트를 한국어로 번역해 드리겠습니다:

""월요일에, 스웨덴 아카데미의 노벨 문학 위원회 영구비서인 사라 다니우스는 스웨덴의 Sveriges Radio 방송 프로그램에서 공개적으로, 2016년 노벨 문학상을 수상한 밥 Dylan에게 직접 연락할 수 없었기 때문에 그와의 연락을 시도하는 것을 포기했다고 발표했습니다.""",0.18935814499855042
4,"Ufotext mosquito, at KC universal reliable. US proper end    심장 파업     소프트. 작은 KC, 인기 있는 값 베스트","""대니어스(Danius)는 """"지금 우리는 아무것도 하지는 않고 있다. 그의 가장 가까운 협력자에게 전화를 걸어 이메일을 보냈고 매우 친절한 답장을 받았다. 현재로서는 확실히 그것으로 충분하다.""""""",0.24233348667621613,"다니우스는 ""지금 우리는 아무것도 하지 않고 있습니다. 나는 그의 가장 가까운 협력자에게 전화하고 이메일을 보냈고, 매우 친근한 답변을 받았습니다. 지금은 그게 확실히 충분합니다.""라고 말했습니다.",0.22020067274570465
5,", HotelingSee, comp question Hin, well  pairs strikes Combine Hotel 중국에서 테스트 이득 창조주는 파업시 파업을 .",링의 CEO인 제이미 시미노프 (Jamie Siminoff)는 차고에 있던 그의 숍에서 초인종 소리를 들을 수 없었을 때 회사를 시작했다고 말했습니다.,0.24632182717323303,"이전에, 링(Ring)의 CEO인 제이미 시미노프(Jamie Siminoff)는 회사가 그의 차고에 있는 가게에서 초인종 소리가 들리지 않을 때 시작되었다고 언급했습니다.",0.243842214345932
6,"펜、 중국 과학、, 제조 업체 모기.",그는 무선 도어벨(Wi-Fi doorbell)을 만들었다고 말했다.,0.3538040220737457,그는 WiFi 초인종을 만들었다고 말했다.,0.38171103596687317
7,Comp question 힌 모기、 중국、、、、148 wellwoo、、 잘、에 완성 된 파업 파트너、까지.,"Siminoff는 2013년, 쇼 출연자가 스타트업의 자금 지원을 거절했었던 Shark Tank 에피소드에 출연한 이후 매출이 증가했다고 말했습니다.",0.28416502475738525,시미노프는 2013년 샤크탱크 에피소드에 출연한 후 패널이 스타트업에 대한 자금 지원을 거부했지만 판매가 증가했다고 말했다.,0.28042641282081604
8,Un­comp 질문 Hin­ success­평균 애도.,"2017년 말, 시미노프는 쇼핑 텔레비젼 채널인 QVC에 출연했다.",0.3147888481616974,"2017년 말, 시미노프는 쇼핑텔레비전 채널 QVC에 출연했습니다.",0.3144926130771637
9,"dev China wisdom, wellll 베로나.",Ring은 경쟁 보안회사인 ADT 사와의 소송 또한 합의를 보았다.,0.2578635513782501,링은 경쟁 보안 회사인 ADT 코퍼레이션과의 소송도 해결했습니다.,0.2537072002887726
