Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07570271,0.07584634,0.07584147,0.07584776,0.07585174,0.07576354,0.07577453
of,0.0502134,0.0501936,0.05018092,0.05018611,0.05013514,0.05003759,0.0502035
and,0.03853955,0.03867988,0.03883695,0.03891566,0.03906169,0.0391614,0.03860972
to,0.02337426,0.02342412,0.02351098,0.02354677,0.02360195,0.02363275,0.02339919
a,0.03017209,0.03011373,0.03012672,0.03010887,0.03013344,0.03014724,0.03014291
in,0.03321086,0.0332474,0.03331553,0.03335965,0.03335683,0.03333387,0.03322913
for,0.00952227,0.00950496,0.00949837,0.00948837,0.00950663,0.00951776,0.00951361
is,0.02504505,0.02502098,0.02499531,0.02496106,0.02493799,0.02487199,0.02503301
on,0.00630288,0.0063,0.00629004,0.00628282,0.00625595,0.00624512,0.00630144
that,0.00884138,0.00886856,0.00887132,0.00889114,0.00890226,0.00890217,0.00885497
by,0.00977285,0.00980186,0.00982101,0.00984457,0.00985991,0.00986921,0.00978736
this,0.00381639,0.00378839,0.00377832,0.00376563,0.00376706,0.00375572,0.00380239
with,0.00719029,0.00724677,0.00727769,0.00729809,0.00732998,0.00738068,0.00721853
i,0.00067779,0.00067327,0.00067117,0.00066956,0.00066725,0.00066339,0.00067553
you,6.619e-05,6.07e-05,5.838e-05,6.162e-05,6.07e-05,5.654e-05,6.344e-05
it,0.00798629,0.00800745,0.00800504,0.00803037,0.00804723,0.00805935,0.00799687
not,0.0023674,0.00235974,0.00234535,0.00234172,0.00232513,0.00231106,0.00236357
or,0.00845091,0.00852354,0.00856164,0.00860531,0.00862125,0.00864917,0.00848723
be,0.00491254,0.00490689,0.00490754,0.00490087,0.00486751,0.00485373,0.00490972
are,0.00901249,0.00904714,0.00903878,0.00906531,0.00907781,0.00906415,0.00902982
from,0.00645849,0.0064724,0.00645091,0.00645065,0.00644743,0.00644158,0.00646545
at,0.00414046,0.00415504,0.00414244,0.00412467,0.00411707,0.00411415,0.00414775
as,0.0117345,0.01183159,0.01192493,0.01201933,0.01208613,0.01212504,0.01178304
your,3.232e-05,2.936e-05,2.875e-05,3.016e-05,2.751e-05,2.641e-05,3.084e-05
all,0.00130002,0.00131673,0.0013116,0.00131377,0.00130132,0.00129775,0.00130838
have,0.00322604,0.00327317,0.00328801,0.00329711,0.00329544,0.00331302,0.00324961
new,0.00142044,0.00140679,0.00138447,0.00136731,0.00134171,0.00133726,0.00141362
more,0.00172812,0.00174806,0.00174266,0.0017458,0.00175132,0.00175201,0.00173809
an,0.00653242,0.00657946,0.00659555,0.0066058,0.00662495,0.00662888,0.00655594
was,0.00640559,0.00647262,0.00649635,0.00651992,0.00652516,0.0065754,0.00643911
we,0.00012573,0.00012317,0.00012137,0.0001156,0.00010917,0.00010631,0.00012445
will,0.0006727,0.00066775,0.00065909,0.00064509,0.00062293,0.00061013,0.00067022
home,0.00016513,0.00016048,0.00015934,0.00015974,0.00015852,0.00015564,0.00016281
can,0.00328359,0.00332505,0.00334836,0.00337228,0.00340221,0.00342391,0.00330432
