Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07554015,0.07571551,0.07571676,0.07572137,0.07571203,0.07570701,0.07562783
of,0.04649515,0.04643926,0.04643283,0.04642874,0.04639333,0.04635699,0.0464672
and,0.03623625,0.03630667,0.03637725,0.03642918,0.03650443,0.03656734,0.03627146
to,0.02683976,0.02697803,0.02706575,0.02713084,0.02721512,0.02725403,0.0269089
a,0.0255967,0.02555874,0.02552792,0.02550723,0.02550343,0.02547177,0.02557772
in,0.03161529,0.03167335,0.031715,0.0317958,0.03184214,0.03189081,0.03164432
for,0.01009725,0.01011125,0.01013303,0.01014156,0.01016058,0.01017223,0.01010425
is,0.01694363,0.01691237,0.01685685,0.01681294,0.01675694,0.01669998,0.016928
on,0.00676629,0.006785,0.00679675,0.00679285,0.00678187,0.00677886,0.00677565
that,0.01063936,0.01067357,0.01069591,0.01070577,0.01070972,0.0107114,0.01065647
by,0.00866639,0.00869149,0.00869424,0.00871212,0.00872658,0.00874691,0.00867894
this,0.00475606,0.00476597,0.00475673,0.0047632,0.00477382,0.00477714,0.00476102
with,0.00832634,0.0083702,0.00840359,0.00845427,0.00849818,0.00853466,0.00834827
i,0.00079873,0.00078079,0.00078227,0.00077595,0.00077098,0.00076564,0.00078976
you,0.00015811,0.00015013,0.00014592,0.00014153,0.00013758,0.00013176,0.00015412
it,0.00582693,0.00582521,0.00580765,0.00579812,0.00580016,0.0057988,0.00582607
not,0.00320249,0.00319937,0.00320044,0.00319079,0.00318187,0.00317023,0.00320093
or,0.00648171,0.00646954,0.00647294,0.00646887,0.00646491,0.00644805,0.00647563
be,0.00590929,0.00591948,0.00592333,0.00592916,0.00591651,0.00590413,0.00591439
are,0.00861732,0.00863055,0.00864764,0.00865829,0.00864521,0.00862896,0.00862393
from,0.00613239,0.00614909,0.00615669,0.00615414,0.00615359,0.00616533,0.00614074
at,0.00413963,0.00414648,0.00414804,0.00414835,0.00414255,0.00414277,0.00414305
as,0.01084473,0.01090496,0.0109566,0.0110096,0.01104238,0.0110729,0.01087485
your,6.226e-05,5.942e-05,5.659e-05,5.472e-05,5.314e-05,5.098e-05,6.084e-05
all,0.00147391,0.00147318,0.00146712,0.00146029,0.00144793,0.00144413,0.00147354
have,0.00396837,0.0039932,0.00400579,0.00402515,0.00402989,0.00403888,0.00398078
new,0.0015243,0.00151462,0.00150398,0.0014968,0.00148645,0.00147699,0.00151946
more,0.00218645,0.00219574,0.00219641,0.00220006,0.00220294,0.00220361,0.00219109
an,0.00518936,0.00520201,0.005207,0.00521955,0.00523196,0.00522511,0.00519569
was,0.00609317,0.00615555,0.00618711,0.00622185,0.00623955,0.00627613,0.00612436
we,0.0002711,0.00026553,0.00026196,0.00025826,0.00025203,0.0002476,0.00026831
will,0.00104622,0.00103599,0.00101682,0.00100519,0.00098569,0.0009721,0.00104111
home,0.0002046,0.00020358,0.00020291,0.00020197,0.00019971,0.00020035,0.00020409
can,0.00368298,0.00372112,0.00375285,0.00377881,0.00380477,0.0038262,0.00370205
us,0.00031682,0.0003177,0.00031874,0.00031775,0.00031731,0.0003183,0.00031726
about,0.00110687,0.00110118,0.00109694,0.00108884,0.00108455,0.00107911,0.00110403
if,0.00098274,0.00097657,0.00097289,0.00096674,0.00096197,0.00095293,0.00097965
page,0.00012998,0.00012192,0.00011607,0.00011122,0.00010816,0.00010625,0.00012595
my,6.798e-05,6.556e-05,6.643e-05,6.443e-05,6.449e-05,6.416e-05,6.677e-05
has,0.00346841,0.00346589,0.00346295,0.00346071,0.00344739,0.0034425,0.00346715
search,0.00013182,0.00012825,0.00012084,0.00011939,0.00011939,0.00011891,0.00013003
free,0.00029958,0.00029651,0.00029424,0.00029286,0.00029225,0.00029126,0.00029804
but,0.00225221,0.00225188,0.00225507,0.00224867,0.00224277,0.00223713,0.00225205
our,0.00015901,0.00015709,0.00015217,0.00014916,0.00014609,0.00014456,0.00015805
one,0.00233165,0.00232334,0.00232256,0.00231116,0.00229633,0.00228566,0.0023275
other,0.00265124,0.00265989,0.00266401,0.0026731,0.00267997,0.00268343,0.00265556
do,0.00056592,0.00056182,0.00055872,0.00055434,0.00054907,0.00054439,0.00056387
no,0.00103119,0.00101546,0.00101433,0.00100712,0.00099452,0.00099152,0.00102332
information,0.00051396,0.00051308,0.0005102,0.00051027,0.00050985,0.00050776,0.00051352
time,0.00123904,0.00123911,0.00124086,0.0012397,0.00123737,0.00123203,0.00123908
they,0.00252177,0.00252979,0.00253027,0.00252931,0.00253057,0.00252573,0.00252578
site,0.00035077,0.00035259,0.00035183,0.00035151,0.00035142,0.00035188,0.00035168
he,0.00268927,0.00267034,0.00266271,0.00262897,0.00262932,0.00261858,0.00267981
up,0.00088856,0.00088758,0.00088523,0.00087889,0.00087244,0.00086694,0.00088807
may,0.00246788,0.00245783,0.00245819,0.00246121,0.00246594,0.00245905,0.00246285
what,0.00042451,0.00042112,0.00041908,0.0004143,0.00041015,0.00040623,0.00042281
which,0.00447975,0.0045095,0.00451727,0.0045328,0.00452936,0.00453796,0.00449463
their,0.00268178,0.00269877,0.00271472,0.00272567,0.00274242,0.00275506,0.00269027
news,0.00011438,0.00010956,0.00010025,9.322e-05,8.997e-05,8.746e-05,0.00011197
out,0.00075832,0.00074896,0.00074323,0.00073456,0.00072617,0.00072195,0.00075364
use,0.00127292,0.00127961,0.00128513,0.00129054,0.0012987,0.00129575,0.00127626
any,0.00067196,0.00066539,0.00065958,0.00065567,0.00065276,0.00064749,0.00066867
there,0.00157967,0.0015818,0.00158012,0.00158641,0.00158624,0.00158449,0.00158073
see,0.00039102,0.0003818,0.0003702,0.00036275,0.00035665,0.00034627,0.00038641
only,0.00126619,0.00126366,0.00126041,0.00125814,0.00125419,0.00124888,0.00126493
so,0.00073261,0.000725,0.0007214,0.0007131,0.00070783,0.00069873,0.0007288
his,0.00237528,0.00235251,0.00234512,0.00232338,0.00232013,0.00231085,0.00236389
when,0.0018212,0.00182068,0.00181801,0.00181338,0.00181116,0.0018056,0.00182094
contact,0.00017278,0.00017413,0.00017394,0.0001747,0.00017341,0.00017354,0.00017345
here,0.0001073,0.00010482,0.00010347,0.00010288,0.00010292,0.000102,0.00010606
business,9.247e-05,9.143e-05,9.017e-05,9.048e-05,9.011e-05,8.955e-05,9.195e-05
who,0.0012826,0.00129425,0.0013109,0.00130499,0.00130736,0.0013089,0.00128843
web,0.0001045,0.00010051,9.594e-05,9e-05,8.786e-05,8.469e-05,0.0001025
also,0.00337205,0.00339868,0.00340599,0.00342494,0.00342949,0.00343025,0.00338536
now,0.00041338,0.00041041,0.00042364,0.00041097,0.00040933,0.00040513,0.0004119
help,0.00029517,0.00029757,0.00029909,0.000301,0.0003052,0.00030516,0.00029637
get,0.00013481,0.00013262,0.00012974,0.00012743,0.00012533,0.00012287,0.00013371
pm,1.129e-05,1.098e-05,1.105e-05,1.088e-05,1.035e-05,1.025e-05,1.114e-05
view,0.00016493,0.00016289,0.00016271,0.00016272,0.00016054,0.00015898,0.00016391
online,0.00011744,0.0001129,0.00011207,0.00010991,0.00010907,0.00010793,0.00011517
c,0.00098216,0.00095036,0.0009343,0.0009224,0.00091491,0.00089923,0.00096626
e,0.00113608,0.00111032,0.00109886,0.00109611,0.00108592,0.00106781,0.0011232
first,0.00164402,0.00165261,0.00165712,0.00165472,0.00165793,0.0016609,0.00164832
am,4.8e-05,4.469e-05,4.378e-05,4.265e-05,4.168e-05,3.958e-05,4.635e-05
been,0.00281697,0.00283645,0.00284108,0.00285034,0.00284628,0.00285132,0.00282671
would,0.00090713,0.00090689,0.00090539,0.00090568,0.00091023,0.00090823,0.00090701
how,0.00050762,0.00050918,0.00051142,0.00051149,0.00051313,0.00051465,0.0005084
were,0.00235327,0.00237461,0.00238283,0.00240072,0.00241464,0.00242668,0.00236394
me,5.846e-05,5.661e-05,5.656e-05,5.451e-05,5.768e-05,5.785e-05,5.753e-05
s,0.00550505,0.00547296,0.0054706,0.00545037,0.00544828,0.00543528,0.005489
services,0.00014006,0.00014049,0.00013942,0.00014016,0.00014279,0.00014218,0.00014028
some,0.00188324,0.001879,0.00188031,0.00188309,0.00187703,0.00187161,0.00188112
these,0.00225852,0.00226576,0.00226827,0.00227439,0.00228363,0.00230112,0.00226214
click,6.27e-06,6.18e-06,5.92e-06,6.14e-06,5.88e-06,5.94e-06,6.23e-06
its,0.0021139,0.00212322,0.00212658,0.00213837,0.00214728,0.00216064,0.00211856
like,0.00087926,0.00088695,0.00089206,0.00089343,0.00090058,0.00091321,0.0008831
service,0.00014372,0.00014433,0.00014355,0.00014439,0.00014346,0.00014242,0.00014402
x,0.00035009,0.0003515,0.00035038,0.00035235,0.00034805,0.00033932,0.00035079
than,0.00163186,0.00163339,0.00163426,0.0016346,0.00163406,0.00162896,0.00163262
find,0.00017606,0.00017469,0.00017376,0.00017354,0.00017224,0.00017004,0.00017537
