Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,revised,f_star,r
the,0.08308855,0.08317136,0.08291778,0.08275689,0.08321963,0.08306653,0.08095595,0.08312996,-0.02365994362125949
of,0.03853436,0.03860613,0.03847058,0.03832851,0.03848091,0.03844038,0.03757386,0.03857025,-0.023309240463751695
and,0.03152435,0.03166074,0.03184227,0.03186307,0.03221091,0.03235313,0.03269863,0.03159254,0.026893811276645807
to,0.01888395,0.01868611,0.01867228,0.01860356,0.01872878,0.01861065,0.02417027,0.01878503,0.29444663426212553
a,0.02635384,0.02642385,0.02633175,0.02612468,0.02604649,0.02597856,0.02710066,0.02638885,0.02920086967254351
in,0.03299098,0.03302671,0.03291881,0.03301321,0.03288501,0.03308787,0.03375428,0.03300885,0.025379714515804123
for,0.00836893,0.00838977,0.00836478,0.0084289,0.00835729,0.00832841,0.00958401,0.00837935,0.14575756923672828
is,0.02117919,0.02119107,0.02108107,0.02107637,0.02091354,0.02109398,0.0151776,0.02118513,-0.280036544634594
on,0.00825292,0.00832374,0.00832766,0.00831389,0.00829638,0.00835304,0.00844952,0.00828833,0.014633162256864434
that,0.00690229,0.00686285,0.00681804,0.00688032,0.00682228,0.00676042,0.00677188,0.00688257,-0.0067702741550357505
by,0.00749061,0.00747362,0.00740787,0.00743485,0.00739892,0.00746232,0.00796769,0.00748212,0.07557098059226189
this,0.00392345,0.00386268,0.00375755,0.00378726,0.00371164,0.00369832,0.00426637,0.00389307,0.1354127024257828
with,0.00521608,0.00515436,0.00521768,0.00521672,0.00532381,0.005254,0.00715734,0.00518522,0.37174759663298634
i,0.00072917,0.0007387,0.00076306,0.00078456,0.0008203,0.0007922,0.00078845,0.00073394,0.033273923413624125
you,0.00026101,0.00028475,0.00026398,0.00027521,0.00025177,0.00024218,0.00016645,0.00027288,-0.3694598075611788
it,0.01381288,0.01365555,0.0137227,0.01369902,0.01376232,0.0138369,0.00791951,0.01373422,-0.42288981031429673
not,0.00305342,0.00303732,0.00302749,0.0030602,0.00301317,0.00291843,0.0017302,0.00304537,-0.42850347978027997
or,0.00422589,0.00423821,0.00419064,0.00419802,0.00410149,0.00408006,0.00322387,0.00423205,-0.23069745909932604
be,0.00322328,0.00321064,0.00313061,0.00310539,0.00306596,0.00297179,0.00218575,0.00321696,-0.3018133846119445
are,0.00721302,0.00720538,0.00728,0.0072993,0.00709842,0.00718731,0.00464745,0.0072092,-0.36161401098901097
from,0.00664957,0.00666064,0.00671493,0.00678995,0.00687913,0.00681378,0.00749024,0.0066551,0.11546062282108667
at,0.00422175,0.00418869,0.00414939,0.00410765,0.00404058,0.0041211,0.00422257,0.00420522,0.017636327267381458
as,0.0077019,0.00780376,0.00773784,0.0077799,0.00782938,0.0079713,0.01571199,0.00775283,1.0305395304115876
your,8.286e-05,9.079e-05,7.837e-05,9.448e-05,9.746e-05,9.441e-05,4.818e-05,8.683e-05,-0.38522393773127467
all,0.00179808,0.00177039,0.00178597,0.00176629,0.00176242,0.00175681,0.00134912,0.00178423,-0.24460097314064622
have,0.00328543,0.0032808,0.00332859,0.00336828,0.00331368,0.00327554,0.00218575,0.00328312,-0.3433405736362844
new,0.00197208,0.00198499,0.00197983,0.00195114,0.00190861,0.0019292,0.00172144,0.00197854,-0.13051120550754358
more,0.00180636,0.00181166,0.00181072,0.00181969,0.0018477,0.00186353,0.00114325,0.00180901,-0.36862132190509855
an,0.00502136,0.00496453,0.00501557,0.00510581,0.00504767,0.00513907,0.00500226,0.00499295,-0.0026537362652699265
was,0.01916153,0.01890483,0.01888676,0.01896914,0.0190171,0.01904574,0.01196249,0.01903318,-0.3666203202666842
we,0.00024444,0.00024761,0.0002516,0.00023824,0.00023147,0.00022986,0.00017083,0.00024602,-0.3210254372019078
will,0.00059245,0.00059838,0.00059807,0.00057096,0.00057665,0.00057055,0.0002891,0.00059541,-0.5166117678532613
home,0.00047231,0.00049934,0.00046196,0.00046827,0.00043451,0.00044741,0.00053001,0.00048583,0.14730712615810906
can,0.00200523,0.00200975,0.00204582,0.00207026,0.00207105,0.00208108,0.00211128,0.00200749,0.03199694987828854
us,0.00038116,0.00037554,0.00040422,0.00039023,0.00039797,0.00039405,0.00021025,0.00037835,-0.4798624511404681
about,0.00239053,0.00235227,0.00233043,0.00235369,0.00230252,0.00233967,0.00068332,0.0023714,-0.7067837266083943
if,0.00058417,0.00059426,0.0006022,0.00060383,0.00061319,0.00055003,0.00036356,0.00058921,-0.3962803055463301
page,0.00012429,0.0001238,0.00012374,0.00012323,0.00012589,0.00011904,3.504e-05,0.00012404,-0.716825602068854
my,0.00012843,0.00012793,0.00011549,0.00012323,0.00012183,0.00012314,0.00011827,0.00012818,0.024071348168672707
has,0.0037163,0.00370173,0.00372456,0.00376261,0.00374007,0.00375989,0.00251427,0.00370901,-0.3249484502867453
search,9.529e-05,8.254e-05,9.074e-05,0.00010269,9.34e-05,7.799e-05,7.884e-05,8.892e-05,-0.13114392770553235
free,0.00022372,0.00020634,0.00021036,0.0002136,0.00021117,0.00021755,0.00018835,0.00021503,-0.10463015782468156
but,0.00254382,0.00251734,0.00255316,0.00249335,0.00247714,0.00247513,0.00112135,0.00253058,-0.5607991665230538
our,0.00016158,0.00014856,0.00014024,0.00014788,0.00013807,0.00014366,0.00027158,0.00015507,0.9365373645179692
one,0.00351329,0.00358618,0.00363794,0.00363938,0.0036954,0.00372705,0.0030837,0.00354974,-0.1523499562939466
other,0.00279655,0.00278146,0.00276764,0.00277677,0.00280607,0.0027994,0.0017302,0.002789,-0.37484643956583946
do,0.00079132,0.00077171,0.00076718,0.00077635,0.00076345,0.00075116,0.0003329,0.00078151,-0.566073151020621
no,0.00094047,0.00094916,0.00092805,0.00091601,0.00088933,0.00087019,0.00059133,0.00094481,-0.3628252788104089
information,0.00019472,0.00019396,0.00019386,0.00019306,0.00019086,0.00020113,0.00018835,0.00019434,-0.02842257299081808
time,0.00181879,0.00186118,0.00185609,0.00186487,0.00184364,0.00186353,0.00142796,0.00183999,-0.2306623062459255
they,0.00499236,0.00497278,0.00499082,0.00496205,0.00480808,0.00478606,0.00269386,0.00498257,-0.4602369951230459
site,0.00016158,0.00015269,0.00015674,0.00014788,0.00015025,0.00014366,0.00017521,0.00015714,0.11783845859384973
he,0.00930111,0.00900879,0.00896286,0.00899165,0.00896236,0.0088497,0.00632071,0.00915495,-0.2947887169943522
up,0.00114762,0.00117201,0.0011879,0.00118711,0.00118578,0.00120267,0.00059572,0.00115982,-0.49850997558717064
may,0.00144592,0.00143612,0.0014395,0.00145,0.00143755,0.00141201,0.00157689,0.00144102,0.09544286210489755
what,0.00057588,0.00057775,0.00054445,0.00052989,0.00050761,0.00050488,0.00028034,0.00057682,-0.4850950500505097
which,0.00352158,0.00349127,0.00358844,0.00355312,0.0035086,0.00346025,0.00432332,0.00350642,0.20479093979556584
their,0.00251482,0.00248433,0.00252016,0.00254264,0.00255023,0.0025408,0.00386339,0.00249957,0.5329939368928956
news,0.00012015,0.0001238,0.00012374,0.00011091,0.00010964,0.00010672,7.008e-05,0.00012197,-0.4336512041377081
out,0.00084104,0.00086663,0.00082905,0.00083385,0.00082842,0.00082915,0.00040298,0.00085384,-0.5139255774681865
use,0.00078718,0.00077171,0.00075069,0.0007517,0.00077157,0.00076347,0.00041174,0.00077944,-0.4515179368314484
any,0.00066703,0.00066029,0.00065582,0.00066133,0.00068629,0.00063623,0.00060448,0.00066366,-0.07828367539873743
there,0.00228281,0.0022945,0.00231805,0.00228796,0.00228221,0.00224526,0.00090233,0.00228866,-0.6107374733073057
see,0.00042259,0.00041681,0.00042484,0.0004313,0.00043045,0.00041868,0.00011389,0.0004197,-0.7319226061576123
only,0.00156607,0.00158469,0.00161686,0.0016636,0.00164466,0.0016665,0.00115639,0.00157538,-0.28479274643444696
so,0.00098604,0.0009698,0.00093217,0.00092422,0.0009137,0.00091534,0.00017521,0.00097792,-0.8120407221858674
his,0.00533623,0.00530293,0.00521768,0.00517154,0.00527914,0.00521706,0.00719677,0.00531958,0.37930459514573533
when,0.00221652,0.0021418,0.00210357,0.00210723,0.00208729,0.00209749,0.00120457,0.00217916,-0.42736871128605175
contact,1.657e-05,1.651e-05,1.65e-05,2.054e-05,2.03e-05,2.463e-05,2.628e-05,1.654e-05,0.5927272727272725
here,0.00010358,9.904e-05,9.487e-05,9.448e-05,8.934e-05,9.03e-05,0.00017521,0.00010131,0.8468430483819963
business,8.7e-05,9.492e-05,9.899e-05,0.0001068,0.00010558,0.00010672,7.446e-05,9.096e-05,-0.24780280836448124
who,0.00207152,0.00205102,0.00208295,0.00206204,0.00212384,0.00205645,0.00191855,0.00206127,-0.07892652248013639
web,0.00012015,0.00013206,0.00013199,0.00013966,0.00012183,0.00011493,0.00010075,0.0001261,-0.23668459731797858
also,0.00376602,0.00377189,0.00387304,0.00390638,0.00386596,0.00392408,0.00293915,0.00376896,-0.24112583397021456
now,0.00063388,0.00062727,0.00062282,0.00060383,0.00061319,0.0006157,0.00046431,0.00063057,-0.2545037089367714
help,0.00027344,0.00028888,0.00028873,0.00028343,0.00028832,0.00028733,7.446e-05,0.00028116,-0.7421120077581131
get,0.00040602,0.00040855,0.00041246,0.00043541,0.00041015,0.00041047,1.314e-05,0.00040728,-0.9681423653202734
pm,8.29e-06,8.25e-06,4.12e-06,4.11e-06,0.0,0.0,1.752e-05,8.27e-06,3.2524271844660193
view,0.000116,0.00011968,0.00011961,0.0001068,0.00010964,0.00011083,0.00010513,0.00011784,-0.12106011203076664
online,8.286e-05,7.428e-05,7.837e-05,8.626e-05,7.716e-05,7.388e-05,6.132e-05,7.857e-05,-0.21755773893071323
c,0.00043502,0.00044157,0.00044959,0.00043541,0.00041827,0.00041047,0.00037232,0.0004383,-0.1718677016837563
