Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.06546214,0.0654353,0.06558341,0.06567343,0.06565848,0.0656601,0.06544872
of,0.03640033,0.03639346,0.03641224,0.0364019,0.03634452,0.03630172,0.03639689
and,0.03645654,0.03661285,0.03678017,0.0368628,0.0370056,0.03708146,0.0365347
to,0.02274005,0.0227596,0.02276294,0.02279635,0.02280911,0.02283885,0.02274983
a,0.03088034,0.03086902,0.03091245,0.03093989,0.03095545,0.03101173,0.03087468
in,0.02713177,0.02719616,0.02729434,0.02739731,0.02747629,0.02749618,0.02716396
for,0.01333757,0.01334215,0.01336895,0.01336984,0.01337979,0.01337557,0.01333986
is,0.02140119,0.02129752,0.02121443,0.02120078,0.0211132,0.02106104,0.02134936
on,0.00876753,0.00876199,0.008765,0.00875975,0.00871886,0.00870494,0.00876476
that,0.00749608,0.00747337,0.00747072,0.00748393,0.00748526,0.00749069,0.00748472
by,0.0103388,0.01040222,0.01045862,0.01051535,0.01054936,0.01059328,0.01037051
this,0.00287771,0.00284197,0.00281289,0.00279359,0.00278607,0.00279116,0.00285984
with,0.00716383,0.00718241,0.00720282,0.00724548,0.00724382,0.00725142,0.00717312
i,0.00062405,0.00061528,0.00061033,0.0006051,0.00060681,0.00059749,0.00061966
you,0.00017287,0.00017118,0.00016362,0.00015257,0.00014725,0.00014249,0.00017202
it,0.00805893,0.00810396,0.00815725,0.00822088,0.00826157,0.00830987,0.00808144
not,0.0020017,0.00197561,0.00197382,0.00198598,0.00197683,0.00195806,0.00198865
or,0.00599693,0.00603025,0.00605335,0.00608508,0.00611966,0.00609312,0.00601359
be,0.00475276,0.00472449,0.00471536,0.00472384,0.00471016,0.00471574,0.00473862
are,0.00502804,0.00502501,0.00500254,0.00502212,0.00499581,0.00499277,0.00502653
from,0.00477185,0.00478226,0.00479247,0.0047919,0.00480071,0.00481343,0.00477706
at,0.00438566,0.00435515,0.00433529,0.00429811,0.00428062,0.00426349,0.00437041
as,0.01074135,0.01081873,0.01087102,0.01094215,0.0109943,0.01102948,0.01078004
your,0.00010363,0.00010007,9.502e-05,8.831e-05,8.612e-05,8.241e-05,0.00010185
all,0.00149143,0.00148618,0.00147657,0.00147376,0.00147093,0.00145536,0.0014888
have,0.00174445,0.00174166,0.00173612,0.00174114,0.00173905,0.00173423,0.00174305
new,0.00151612,0.00150893,0.00150222,0.00149401,0.00146757,0.00146239,0.00151252
more,0.00162279,0.00161567,0.00161363,0.00162055,0.00161207,0.00161299,0.00161923
an,0.00700551,0.00702943,0.00704891,0.00706246,0.007067,0.0070788,0.00701747
was,0.00943627,0.00956134,0.00975145,0.00986701,0.01001312,0.01011397,0.0094988
we,0.00019893,0.00018922,0.00017379,0.00017099,0.00016523,0.00016084,0.00019407
will,0.00067269,0.00065106,0.000629,0.00061636,0.00060575,0.00059658,0.00066187
home,0.0003474,0.00034842,0.00035852,0.00035401,0.00035333,0.00034997,0.00034791
can,0.00314573,0.0031581,0.00316761,0.00318232,0.00317949,0.00318791,0.00315191
us,0.00032604,0.00032765,0.00031981,0.00030696,0.00030409,0.0003041,0.00032684
about,0.00073208,0.00071959,0.00070565,0.00069554,0.00069065,0.0006877,0.00072583
if,0.00083389,0.0008236,0.0008122,0.00080106,0.00080207,0.00079487,0.00082874
page,0.0003415,0.00033341,0.0003233,0.00031503,0.00031156,0.00031006,0.00033746
my,4.485e-05,4.473e-05,4.387e-05,4.416e-05,4.68e-05,4.327e-05,4.479e-05
has,0.0032183,0.00319798,0.00317171,0.00315735,0.00315174,0.00313975,0.00320814
search,0.00054042,0.00053825,0.0005355,0.00053764,0.00053182,0.00052961,0.00053933
free,0.00084086,0.00083482,0.00082693,0.00082953,0.00082692,0.00082591,0.00083784
but,0.00155249,0.00154395,0.00155216,0.00156116,0.00155705,0.00154648,0.00154822
our,6.606e-05,6.247e-05,5.859e-05,5.816e-05,5.472e-05,5.397e-05,6.427e-05
one,0.00243395,0.00242714,0.00242705,0.00242602,0.00241461,0.00241184,0.00243055
other,0.00227714,0.00228583,0.00229074,0.00229721,0.00230166,0.00229213,0.00228148
do,0.00033983,0.0003372,0.00033362,0.00033605,0.00033092,0.00032841,0.00033852
no,0.0007439,0.00074279,0.00074253,0.00074198,0.00073638,0.0007328,0.00074335
information,0.00198155,0.00198062,0.00197852,0.00198324,0.00197729,0.00197228,0.00198109
time,0.00174399,0.00174591,0.0017387,0.00173733,0.00174316,0.00174814,0.00174495
they,0.00118963,0.0011837,0.00118074,0.00119695,0.00119778,0.00119835,0.00118666
site,0.00044104,0.00043545,0.00042591,0.00041933,0.00041247,0.00040776,0.00043824
he,0.00252425,0.0025122,0.00251554,0.00248967,0.00249387,0.00246749,0.00251822
up,0.00077117,0.00076265,0.00075969,0.00074807,0.00074446,0.00074182,0.00076691
may,0.00151461,0.00151105,0.00149827,0.00150817,0.00151193,0.00151239,0.00151283
what,0.00033225,0.00032886,0.00031905,0.00031686,0.00031446,0.00030991,0.00033056
which,0.00404901,0.00402552,0.00403749,0.00403926,0.00404284,0.00404715,0.00403726
their,0.00163597,0.00164857,0.00164566,0.0016446,0.00165338,0.00164769,0.00164227
news,0.00046285,0.00044319,0.00041969,0.0004067,0.00039982,0.0003943,0.00045302
out,0.00049421,0.00049171,0.00048511,0.00048466,0.00048091,0.00047839,0.00049296
use,0.00165627,0.00166813,0.00167252,0.0016816,0.00167244,0.00166818,0.0016622
any,0.0008804,0.00087333,0.00086366,0.00085755,0.00085207,0.00085251,0.00087687
there,0.00083222,0.00082193,0.00081478,0.00081126,0.00080207,0.00079839,0.00082708
see,0.0003115,0.00030263,0.00029052,0.00028732,0.00028001,0.00027505,0.00030707
only,0.00104782,0.00104573,0.0010455,0.00104225,0.00103453,0.00102987,0.00104678
so,0.00055088,0.00054098,0.00053049,0.00052759,0.00052008,0.00051493,0.00054593
his,0.0014634,0.00145025,0.00144712,0.00143052,0.00143724,0.0014257,0.00145682
when,0.00107539,0.00107256,0.00107403,0.00108321,0.0010798,0.00107543,0.00107398
contact,6.818e-05,7.02e-05,6.876e-05,6.7e-05,6.57e-05,6.406e-05,6.919e-05
here,7.878e-05,7.717e-05,7.483e-05,7.522e-05,7.362e-05,7.293e-05,7.797e-05
business,0.00065572,0.0006506,0.00064266,0.00063997,0.0006405,0.00063617,0.00065316
who,0.00089177,0.00090002,0.00090768,0.00091252,0.00091182,0.0009204,0.00089589
web,0.00121993,0.00121099,0.00119592,0.00116939,0.00115845,0.0011482,0.00121546
also,0.00321769,0.00321784,0.00323394,0.00323104,0.00322933,0.0032272,0.00321777
now,0.00048209,0.00047518,0.00046902,0.00046715,0.0004585,0.00044705,0.00047864
help,0.00021605,0.00021151,0.00020916,0.00020754,0.00020837,0.0002061,0.00021378
get,0.00010969,0.00010644,0.00010534,0.00010126,0.0001003,9.739e-05,0.00010807
pm,1.454e-05,1.547e-05,1.487e-05,1.477e-05,1.418e-05,1.33e-05,1.5e-05
view,0.00021105,0.00020787,0.00020081,0.00019931,0.0001977,0.00019983,0.00020946
online,0.00106403,0.00107605,0.0010757,0.00107042,0.00106897,0.00107283,0.00107004
c,0.00077708,0.00076189,0.00075498,0.00075036,0.00073973,0.00073708,0.00076948
e,0.00101464,0.00100994,0.00101043,0.00100844,0.00099947,0.00098904,0.00101229
first,0.00208564,0.00209418,0.00210405,0.00210292,0.00210198,0.00209857,0.00208991
am,3.045e-05,2.972e-05,2.854e-05,2.771e-05,2.82e-05,2.844e-05,3.009e-05
been,0.00168096,0.00168223,0.00167222,0.0016813,0.0016799,0.00168882,0.0016816
would,0.00060572,0.00060451,0.00060228,0.00059977,0.00059233,0.00059444,0.00060512
how,0.00038392,0.00037844,0.00037582,0.00037548,0.00037345,0.00037504,0.00038118
were,0.00153037,0.00153425,0.001564,0.00158248,0.00159333,0.00160519,0.00153231
me,4.151e-05,4.139e-05,4.113e-05,3.944e-05,4.055e-05,3.838e-05,4.145e-05
s,0.00528136,0.005282,0.00531067,0.00528691,0.00527354,0.00528923,0.00528168
services,0.00088086,0.00088789,0.00088597,0.00087719,0.00087478,0.0008808,0.00088437
some,0.00125705,0.00124465,0.00124889,0.00124628,0.00124686,0.00124544,0.00125085
these,0.00099615,0.00100054,0.00099146,0.00099048,0.00099261,0.00099363,0.00099834
click,4.182e-05,4.018e-05,3.992e-05,3.746e-05,3.689e-05,3.639e-05,4.1e-05
its,0.00303513,0.00307941,0.00309809,0.0031374,0.00316348,0.00319479,0.00305727
like,0.00076996,0.00076963,0.0007697,0.0007735,0.0007757,0.0007776,0.00076979
service,0.0011513,0.00115717,0.00115979,0.00115644,0.00115753,0.00115829,0.00115423
x,0.00057951,0.00056145,0.00055842,0.00054937,0.00054935,0.00053909,0.00057048
than,0.00112509,0.00112032,0.00112655,0.0011199,0.00111425,0.00111227,0.0011227
find,0.00018044,0.00017573,0.00017501,0.00017495,0.00017331,0.00017384,0.00017809
price,0.00010999,0.00010811,0.00010504,0.000104,0.00010319,0.00010366,0.00010905
date,0.00011318,0.0001125,0.00011293,0.00011024,0.00010944,0.00010794,0.00011284
back,0.00021726,0.00021894,0.00021948,0.00021606,0.00021492,0.00021405,0.0002181
top,0.00037013,0.0003651,0.00036838,0.00035843,0.000355,0.00035119,0.00036761
people,0.00044694,0.0004441,0.00044048,0.00043761,0.00042786,0.00042503,0.00044552
had,0.00083525,0.00083846,0.00084438,0.00084933,0.00085085,0.00085817,0.00083685
list,0.00041634,0.00041938,0.00041286,0.00040898,0.0004053,0.0004021,0.00041786
name,0.00080056,0.00080101,0.00079809,0.00079512,0.00079201,0.00078708,0.00080079
just,0.00018984,0.00018831,0.000187,0.00018866,0.00018581,0.00018377,0.00018908
over,0.00121645,0.00120826,0.00121261,0.00120547,0.00120768,0.00121532,0.00121236
state,0.00061133,0.00060951,0.00061306,0.00061728,0.00061809,0.00061615,0.00061042
year,0.00038922,0.00039088,0.00040891,0.00040959,0.00041476,0.00041586,0.00039005
day,0.00020211,0.00019953,0.00019899,0.0002019,0.00019755,0.000196,0.00020082
into,0.00125629,0.00125587,0.00126149,0.00126775,0.00126423,0.00127036,0.00125608
email,0.0001915,0.00018831,0.00018928,0.00018972,0.00019236,0.00019035,0.0001899
two,0.00134841,0.00134533,0.00134785,0.00134449,0.00133527,0.0013436,0.00134687
health,0.00017696,0.00017633,0.0001782,0.00017921,0.00017743,0.00017659,0.00017665
n,0.00036089,0.00034206,0.00033302,0.00031701,0.00030745,0.00030807,0.00035147
world,0.00096616,0.00096112,0.00095427,0.00095302,0.00094917,0.00094134,0.00096364
re,0.0001765,0.00017649,0.0001744,0.00017617,0.0001759,0.00017582,0.0001765
