Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07256708,0.07261142,0.07262669,0.07269761,0.07269448,0.07264324,0.07258925
of,0.04826537,0.04826537,0.04827225,0.04830028,0.04827642,0.04815144,0.04826537
and,0.03717881,0.03726672,0.03739979,0.03749596,0.03759674,0.03765949,0.03722277
to,0.02232936,0.02243802,0.02250888,0.02257624,0.02260608,0.02264385,0.02238369
a,0.03286263,0.03280649,0.03282498,0.03285474,0.03289167,0.03288369,0.03283456
in,0.03380079,0.03372792,0.03376165,0.03384073,0.03387263,0.03389074,0.03376435
for,0.01028004,0.01027454,0.01029424,0.01028819,0.01031157,0.01028113,0.01027729
is,0.02914147,0.0291706,0.02914824,0.02922384,0.02923182,0.0291876,0.02915604
on,0.00539266,0.00537319,0.00535667,0.00531594,0.00529035,0.00528161,0.00538293
that,0.00730578,0.00733794,0.00737416,0.00737611,0.0074034,0.00739953,0.00732186
by,0.00909573,0.00914319,0.00917383,0.00918098,0.00922252,0.0092443,0.00911946
this,0.003938,0.00390962,0.00389042,0.00388165,0.00386751,0.00386344,0.00392381
with,0.00849245,0.00852109,0.00853711,0.00856637,0.00853688,0.00855725,0.00850677
i,0.00073451,0.00071879,0.00071254,0.00071091,0.00070884,0.00070293,0.00072665
you,4.86e-05,4.588e-05,4.096e-05,3.817e-05,3.53e-05,3.494e-05,4.724e-05
it,0.00967755,0.00970286,0.00973906,0.00978808,0.00987563,0.00996073,0.00969021
not,0.00213172,0.0021351,0.0021266,0.00211396,0.00210373,0.00209648,0.00213341
or,0.00856585,0.00864555,0.00870294,0.00877105,0.00882149,0.00884827,0.0086057
be,0.0052138,0.00524519,0.00524146,0.00525128,0.00521935,0.00520717,0.0052295
are,0.00863589,0.0086806,0.00870648,0.00874494,0.00875088,0.00873591,0.00865825
from,0.00633909,0.00634346,0.00632937,0.00633891,0.00632764,0.0063093,0.00634128
at,0.00495546,0.00492971,0.00489661,0.00487199,0.00482824,0.00480022,0.00494259
as,0.01286313,0.01293307,0.01302368,0.01314194,0.01323719,0.01329434,0.0128981
your,1.751e-05,1.713e-05,1.654e-05,1.562e-05,1.428e-05,1.568e-05,1.732e-05
all,0.00109597,0.00109098,0.00108654,0.00108447,0.00107279,0.00106442,0.00109348
have,0.0024552,0.00246732,0.00247538,0.00247584,0.00248433,0.00248219,0.00246126
new,0.00120733,0.00119142,0.00116138,0.00113746,0.00111503,0.00109797,0.00119937
more,0.00166461,0.00167113,0.00167244,0.00167831,0.00168009,0.00167822,0.00166787
an,0.0071586,0.00722392,0.00723039,0.00726873,0.00730166,0.00734792,0.00719126
was,0.00716844,0.00722235,0.00727372,0.00727882,0.00732288,0.0073763,0.0071954
we,8.323e-05,8.35e-05,8.193e-05,7.772e-05,7.616e-05,7.266e-05,8.336e-05
will,0.00061036,0.00060319,0.00059575,0.00058712,0.00057318,0.00056298,0.00060677
home,0.00012986,0.00012978,0.00012919,0.00012834,0.00012436,0.00012208,0.00012982
can,0.00352047,0.00356401,0.00358122,0.00360994,0.00363268,0.0036423,0.00354224
us,0.00034827,0.00030878,0.00029916,0.00029228,0.00028957,0.00029161,0.00032852
about,0.00080259,0.00073395,0.00072515,0.00070874,0.00069853,0.00069757,0.00076827
if,0.00058635,0.00057936,0.00057704,0.00057763,0.00056545,0.00056258,0.00058285
page,0.00018673,0.0001792,0.0001743,0.0001667,0.00016085,0.00015563,0.00018296
my,1.299e-05,1.319e-05,1.221e-05,1.246e-05,1.289e-05,1.251e-05,1.309e-05
has,0.00366607,0.00366543,0.00367418,0.00367876,0.00371439,0.00370959,0.00366575
search,4.703e-05,4.628e-05,4.372e-05,4.232e-05,4.205e-05,4.248e-05,4.665e-05
free,0.00038998,0.00038736,0.00038266,0.00038502,0.00038695,0.00038412,0.00038867
but,0.00186314,0.00187791,0.00188692,0.00189861,0.00190718,0.00190373,0.00187053
our,4.939e-05,4.785e-05,4.431e-05,4.133e-05,3.828e-05,3.97e-05,4.862e-05
one,0.00223089,0.00224301,0.0022359,0.00222648,0.00221896,0.00220924,0.00223695
other,0.00269308,0.00270068,0.00270541,0.00271275,0.00272273,0.00273728,0.00269688
do,0.00028885,0.00028653,0.00028281,0.00027586,0.00027211,0.00027176,0.00028769
