Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.087847,0.08796604,0.08792476,0.087927,0.08806761,0.08810847,0.08790652
of,0.04486718,0.04473917,0.04461364,0.0443418,0.04417867,0.04403137,0.04480318
and,0.04175161,0.04199294,0.04212227,0.04221556,0.04241461,0.04248371,0.04187228
to,0.02185493,0.02193414,0.02194532,0.02208162,0.02232406,0.02235869,0.02189453
a,0.02452404,0.02471799,0.02473111,0.02478038,0.02479412,0.02472957,0.02462101
in,0.03450113,0.03462701,0.03471523,0.0349937,0.0348834,0.03507655,0.03456407
for,0.00895964,0.0089911,0.00899838,0.00895599,0.00893952,0.0088542,0.00897537
is,0.01140649,0.01124263,0.01103136,0.01093864,0.01094748,0.01093421,0.01132456
on,0.00786938,0.00796408,0.00795674,0.00788274,0.00785761,0.00789378,0.00791673
that,0.00538996,0.00531942,0.00530698,0.00529443,0.0052812,0.00532533,0.00535469
by,0.009157,0.00911148,0.00904497,0.00902594,0.00903121,0.00900238,0.00913424
this,0.00173215,0.00168724,0.0016547,0.00163472,0.00167788,0.00165376,0.0017097
with,0.00799776,0.00806001,0.008035,0.00809629,0.00813818,0.00819746,0.00802888
i,0.0006783,0.00066963,0.0006876,0.00068297,0.00069866,0.00069334,0.00067397
you,0.00014562,0.00016553,0.00018448,0.00018409,0.00019804,0.00019026,0.00015558
it,0.00655686,0.00656463,0.00654055,0.00660884,0.00672252,0.0067431,0.00656074
not,0.00156736,0.00151231,0.00147954,0.00145431,0.00144683,0.00144521,0.00153984
or,0.00344705,0.00347418,0.00338394,0.00329153,0.00325857,0.00327825,0.00346062
be,0.00237404,0.00232678,0.0023069,0.00234531,0.00228852,0.00228673,0.00235041
are,0.00411193,0.00405916,0.00405104,0.00401501,0.00405442,0.0040283,0.00408554
from,0.00643232,0.0063991,0.00636912,0.00635295,0.0063081,0.00626197,0.00641571
at,0.00465802,0.0046291,0.0046846,0.00468141,0.00471824,0.00471066,0.00464356
