Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07698582,0.07694853,0.07696755,0.07724315,0.07733701,0.07736854,0.07696717
of,0.05451843,0.05442063,0.05431843,0.05426709,0.05426569,0.05423185,0.05446953
and,0.03982268,0.03997209,0.0400771,0.04022807,0.04047114,0.04055379,0.03989739
to,0.02206646,0.02216487,0.0222614,0.02224556,0.02226877,0.02226763,0.02211566
a,0.02966296,0.02959677,0.02960976,0.02962337,0.02968108,0.02966532,0.02962986
in,0.03213065,0.03209462,0.03211817,0.0322054,0.03219841,0.03219476,0.03211264
for,0.00882591,0.0088297,0.00878793,0.00879324,0.00881434,0.00884445,0.0088278
is,0.02084645,0.02072816,0.02067839,0.02063893,0.02054531,0.02051762,0.0207873
on,0.00730624,0.00727781,0.00726423,0.00729191,0.00727737,0.00729907,0.00729203
that,0.009284,0.0092366,0.00930341,0.00930897,0.00928913,0.00926774,0.0092603
by,0.00985903,0.00987517,0.00990301,0.00991087,0.00992517,0.00995198,0.0098671
this,0.00317062,0.00311369,0.00310175,0.0030527,0.00302685,0.0030146,0.00314215
with,0.00617263,0.00621511,0.00623354,0.00626177,0.00630937,0.00631633,0.00619387
i,0.00097909,0.00099689,0.00098184,0.00095942,0.00092618,0.00090131,0.00098799
you,0.00024327,0.00023558,0.00022364,0.0002098,0.00020596,0.00019539,0.00023942
it,0.00667614,0.00667503,0.00669754,0.00669158,0.0066871,0.00671979,0.00667558
not,0.00269295,0.00266239,0.00266752,0.00265589,0.00264017,0.00262383,0.00267767
or,0.00714232,0.00716211,0.00722922,0.00724869,0.00726869,0.00727158,0.00715221
be,0.0043212,0.0042981,0.00430749,0.00429814,0.00426157,0.00424984,0.00430965
are,0.00488344,0.00491395,0.00495125,0.0049629,0.00496416,0.0049674,0.00489869
from,0.00549737,0.00546398,0.00548005,0.00549015,0.00549972,0.00549195,0.00548067
at,0.00498211,0.00494346,0.00490004,0.00487122,0.00486237,0.00484684,0.00496278
as,0.01214792,0.01227952,0.01239679,0.01249656,0.01255956,0.01259035,0.01221372
your,7.544e-05,7.313e-05,7.08e-05,6.915e-05,7.234e-05,6.795e-05,7.428e-05
all,0.00159092,0.00158897,0.00158379,0.00157153,0.00155669,0.00153136,0.00158995
have,0.00226331,0.00227428,0.00229522,0.00229182,0.00231899,0.00232797,0.0022688
new,0.00189554,0.00188435,0.00185812,0.00184053,0.00182368,0.00180765,0.00188995
more,0.00149382,0.001502,0.00150411,0.00148693,0.00148646,0.00148245,0.00149791
an,0.00694734,0.00696728,0.00699669,0.00702475,0.00702906,0.00706324,0.00695731
was,0.0103166,0.01040404,0.01045846,0.01052717,0.01064249,0.01069783,0.01036032
we,0.00048576,0.00045444,0.00043135,0.00041724,0.00039088,0.00038681,0.0004701
will,0.00064394,0.00062603,0.00062678,0.00061892,0.00060947,0.00059911,0.00063499
home,0.00013443,0.0001332,0.00013429,0.00013122,0.00013231,0.00012823,0.00013382
can,0.00194252,0.00194416,0.00196498,0.00197358,0.0019894,0.00200621,0.00194334
us,0.00027903,0.00027371,0.00027146,0.00026349,0.00025042,0.00023927,0.00027637
about,0.00119026,0.00117684,0.00117491,0.00117393,0.0011716,0.00117099,0.00118355
if,0.00092584,0.00091488,0.00091521,0.00092013,0.00090277,0.00089338,0.00092036
page,0.00033385,0.00032098,0.00030568,0.00029283,0.00026752,0.00026386,0.00032742
my,0.00013416,0.00013372,0.00012802,0.00012494,0.00012232,0.00011369,0.00013394
has,0.00330322,0.00328633,0.00325929,0.00325098,0.00323676,0.00323061,0.00329477
search,9.188e-05,9.115e-05,8.413e-05,8.591e-05,8.549e-05,8.619e-05,9.151e-05
free,0.0003931,0.0003975,0.00038615,0.00037874,0.00039009,0.00038152,0.0003953
but,0.00192634,0.00191047,0.00192004,0.00191832,0.00191969,0.00188961,0.0019184
our,0.00032236,0.00031758,0.00029889,0.00029283,0.00027909,0.000271,0.00031997
one,0.00293988,0.00293557,0.00294185,0.00291676,0.00292321,0.00291122,0.00293773
other,0.00201221,0.00202931,0.00204623,0.00205347,0.00207094,0.0020649,0.00202076
do,0.00044765,0.0004453,0.00045251,0.00044448,0.00044191,0.00043228,0.00044647
no,0.00091044,0.00088798,0.0008674,0.00084365,0.00082885,0.00081856,0.00089921
information,0.00050638,0.00050667,0.00051731,0.00051546,0.00052425,0.00052826,0.00050652
time,0.00117616,0.00117397,0.00117387,0.00115874,0.00115318,0.00116042,0.00117507
they,0.00153585,0.00153099,0.00156916,0.00155424,0.00155538,0.00156467,0.00153342
site,8.118e-05,8.384e-05,8.125e-05,7.674e-05,7.549e-05,7.535e-05,8.251e-05
he,0.00713423,0.00709264,0.00700479,0.00698232,0.00693278,0.00688874,0.00711343
up,0.00046932,0.00046854,0.00045904,0.00045915,0.00045638,0.00044762,0.00046893
may,0.00171073,0.00171381,0.00173898,0.00173471,0.00174293,0.00174552,0.00171227
what,0.00088225,0.00087205,0.00087942,0.00086487,0.00085936,0.00083892,0.00087715
which,0.00447495,0.00448536,0.00450056,0.00450191,0.00448385,0.00447695,0.00448015
their,0.0018804,0.00190159,0.00193755,0.00193298,0.00193916,0.00194645,0.00189099
news,0.00014983,0.0001473,0.00013481,0.00012703,0.00012416,0.000124,0.00014856
out,0.00051056,0.00051085,0.00050659,0.00050394,0.00049978,0.00050023,0.0005107
use,0.00073634,0.00074199,0.000748,0.00075512,0.00075546,0.00075563,0.00073916
any,0.00074339,0.00074147,0.00074826,0.00073521,0.00073521,0.00072999,0.00074243
there,0.001131,0.00113453,0.00113337,0.00111867,0.00110794,0.00109617,0.00113276
see,0.00056328,0.00052704,0.00050268,0.0004856,0.00047269,0.00046321,0.00054516
only,0.00095899,0.00095302,0.00095153,0.0009424,0.00094196,0.00093145,0.00095601
so,0.00060583,0.00059155,0.00058733,0.00057204,0.00056055,0.00054941,0.00059869
his,0.00585523,0.0058257,0.00579696,0.00576647,0.00576277,0.0057389,0.00584046
when,0.00114954,0.00115595,0.0011595,0.001159,0.00115818,0.00114614,0.00115274
contact,4.986e-05,5.145e-05,4.938e-05,4.872e-05,4.866e-05,4.971e-05,5.065e-05
here,0.00013416,0.00012536,0.00012175,0.00011996,0.000116,0.00011501,0.00012976
business,0.00023857,0.00024576,0.00024794,0.00024621,0.00024647,0.00024351,0.00024216
who,0.00213828,0.00217817,0.00220299,0.00219019,0.00220141,0.00220582,0.00215823
web,9.997e-05,9.533e-05,9.562e-05,8.774e-05,8.286e-05,7.8e-05,9.765e-05
also,0.00336561,0.0034015,0.00341448,0.00343458,0.00344877,0.00346724,0.00338355
now,0.00038396,0.00038183,0.00037648,0.00037926,0.00036695,0.00036433,0.00038289
help,0.00013991,0.00013973,0.00014239,0.00014275,0.00014231,0.00014013,0.00013982
get,7.413e-05,6.921e-05,7.211e-05,6.758e-05,6.366e-05,6.293e-05,7.167e-05
pm,9.66e-06,8.88e-06,7.84e-06,7.6e-06,7.63e-06,6.35e-06,9.27e-06
view,0.00043721,0.00043433,0.00043422,0.00043191,0.00042797,0.00042699,0.00043577
online,0.00020595,0.00020633,0.00020771,0.00020456,0.00019807,0.00019618,0.00020614
c,0.00075931,0.00072449,0.00071038,0.00068545,0.00066208,0.00064089,0.0007419
e,0.00090104,0.00090574,0.00089039,0.00087272,0.00085989,0.00085108,0.00090339
first,0.00199681,0.00201311,0.00202455,0.00202832,0.0020428,0.00203979,0.00200496
am,8.588e-05,8.462e-05,8.204e-05,8.067e-05,7.497e-05,7.297e-05,8.525e-05
been,0.00198637,0.00200162,0.00201671,0.00201811,0.00201807,0.00203529,0.001994
would,0.00065777,0.00065972,0.00064846,0.00064171,0.00063446,0.00062978,0.00065875
how,0.00066117,0.00066494,0.0006806,0.00068309,0.00068339,0.00069429,0.00066306
were,0.0014826,0.00149704,0.0015109,0.00152648,0.00153854,0.00152819,0.00148982
me,7.544e-05,7.496e-05,7.472e-05,7.439e-05,7.418e-05,6.901e-05,7.52e-05
s,0.00707393,0.00707436,0.00709545,0.00710437,0.00709982,0.00709866,0.00707415
services,0.00010858,0.00010865,0.00010738,0.00010844,0.00010758,0.00010417,0.00010862
some,0.00147686,0.00149181,0.00149862,0.00150055,0.00149988,0.00151814,0.00148434
these,0.00107358,0.00107995,0.00107694,0.00107964,0.00109479,0.00108744,0.00107676
click,2.09e-06,2.09e-06,1.57e-06,1.31e-06,1.05e-06,1.32e-06,2.09e-06
its,0.00229881,0.00232338,0.00232997,0.0023662,0.00239765,0.00241337,0.00231109
like,0.000521,0.00052574,0.00053664,0.00053746,0.00055239,0.00057082,0.00052337
service,0.00013625,0.00013555,0.00014004,0.00013856,0.00013783,0.00013748,0.0001359
x,0.00025371,0.00023793,0.00021502,0.00020325,0.00019492,0.00019063,0.00024582
than,0.00105975,0.00105984,0.00105708,0.00105031,0.00103508,0.00102399,0.0010598
find,0.00011563,0.00011779,0.0001147,0.00011236,0.00010758,0.00010549,0.00011671
price,7.074e-05,6.973e-05,7.133e-05,7.02e-05,7.023e-05,6.716e-05,7.024e-05
date,0.00010441,0.00011048,0.00011261,0.00011341,0.00010943,0.00010893,0.00010744
back,0.00021926,0.00021442,0.00020954,0.00020849,0.00020675,0.00021098,0.00021684
top,0.00011198,0.0001157,0.00011705,0.00011786,0.00011705,0.00011607,0.00011384
people,0.00098953,0.00099611,0.00101789,0.00098745,0.00100193,0.0010002,0.00099282
had,0.00102111,0.00100995,0.00100796,0.00100107,0.0009872,0.0009838,0.00101553
list,0.00025893,0.00025516,0.00023227,0.00023337,0.00023174,0.00022738,0.00025705
name,0.00067317,0.00067356,0.0006691,0.00065428,0.00064761,0.00063877,0.00067336
just,0.00023988,0.00023349,0.00023618,0.0002339,0.00023332,0.00022791,0.00023668
over,0.00076662,0.00076889,0.0007689,0.00076926,0.0007744,0.00077361,0.00076775
state,0.0009971,0.00099141,0.00099072,0.00098509,0.00099194,0.00099782,0.00099425
year,0.00040223,0.00040325,0.00040313,0.00040257,0.00040745,0.0003995,0.00040274
day,0.00033646,0.00033952,0.00033285,0.00032216,0.00031407,0.00031833,0.00033799
into,0.0012871,0.00128235,0.00130058,0.00130542,0.00131627,0.00132249,0.00128473
email,6e-06,5.75e-06,6.01e-06,6.02e-06,5.52e-06,5.29e-06,5.88e-06
two,0.0012931,0.00128601,0.00128412,0.00128316,0.00128523,0.00127992,0.00128955
health,0.00026807,0.00027292,0.00027433,0.00028078,0.00028225,0.00027285,0.0002705
n,0.00035786,0.00034762,0.00033259,0.00030697,0.00027751,0.00026809,0.00035274
world,0.00142048,0.00143148,0.00142651,0.00142931,0.00142044,0.00142375,0.00142598
re,0.0001373,0.00013633,0.00013925,0.00014013,0.00013626,0.00013352,0.00013681
next,8.666e-05,8.749e-05,8.883e-05,8.932e-05,8.759e-05,8.884e-05,8.708e-05
used,0.00166218,0.00167803,0.00167524,0.00168206,0.00166822,0.00166197,0.00167011
go,9.579e-05,9.454e-05,9.327e-05,9.063e-05,8.812e-05,8.566e-05,9.517e-05
b,0.00045888,0.00045026,0.00042952,0.00042117,0.0004014,0.00039024,0.00045457
work,0.00174179,0.00172948,0.00171834,0.00172214,0.0017332,0.00174102,0.00173564
last,0.00025815,0.00025334,0.00025082,0.00024333,0.0002441,0.00024139,0.00025575
most,0.00143849,0.00144193,0.00145029,0.00144398,0.00144779,0.00143671,0.00144021
products,0.00010441,0.00010656,0.0001066,0.00010608,0.00010864,0.00010972,0.00010548
music,0.00028138,0.00028207,0.00029053,0.00029702,0.00030119,0.00030537,0.00028173
buy,1.54e-05,1.541e-05,1.515e-05,1.493e-05,1.526e-05,1.428e-05,1.54e-05
data,0.00033985,0.000339,0.0003467,0.00034783,0.00035458,0.0003527,0.00033942
make,0.00030226,0.00030009,0.00029863,0.00029388,0.0002954,0.000294,0.00030117
them,0.00061079,0.00061663,0.00061998,0.00061473,0.00060868,0.00060493,0.00061371
should,0.00038709,0.00038706,0.00038824,0.00038031,0.00037221,0.00037623,0.00038707
product,0.00015061,0.00014678,0.00014631,0.00014563,0.00014599,0.00014515,0.0001487
system,0.00078907,0.00080128,0.00080235,0.00080803,0.00080886,0.00080719,0.00079517
post,0.00030774,0.00031158,0.00030751,0.0003054,0.00030539,0.00030088,0.00030966
her,0.00103364,0.00101831,0.0009915,0.00097645,0.0009922,0.00097349,0.00102597
city,0.00034481,0.0003424,0.00034278,0.00033867,0.00033485,0.00033763,0.0003436
