Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.0864546,0.08646969,0.08661149,0.08671865,0.08667253,0.08665276,0.08646215
of,0.04100275,0.04090924,0.04078576,0.04073363,0.04070314,0.04062824,0.04095599
and,0.03516578,0.03527816,0.03542484,0.035488,0.03553699,0.03557191,0.03522197
to,0.0271047,0.02721892,0.02729309,0.02738771,0.02746981,0.02746315,0.02716181
a,0.02455563,0.02460937,0.0246118,0.02461025,0.02465618,0.02466585,0.0245825
in,0.03119497,0.03130518,0.03131965,0.03135963,0.03140462,0.03142423,0.03125008
for,0.00959713,0.00961806,0.00966974,0.00969574,0.00972222,0.00973973,0.0096076
is,0.00800678,0.00797754,0.00789442,0.00787004,0.0078435,0.00778223,0.00799216
on,0.00919691,0.0092044,0.009245,0.00924287,0.00924483,0.0092396,0.00920066
that,0.00958874,0.00959637,0.00959445,0.00960445,0.00967232,0.00968614,0.00959255
by,0.00865905,0.00864377,0.00865614,0.00866484,0.00867911,0.00867937,0.00865141
this,0.00320069,0.00317577,0.00312975,0.00312175,0.00313322,0.00314631,0.00318823
with,0.00869916,0.00875263,0.00877917,0.00882118,0.0088615,0.0088971,0.0087259
i,0.00140303,0.00139543,0.00137959,0.00135276,0.00133452,0.00132639,0.00139923
you,0.00043388,0.00042903,0.0004209,0.00041294,0.00041314,0.0004141,0.00043145
it,0.00560901,0.00563308,0.00563299,0.00565857,0.00569477,0.00570381,0.00562104
not,0.00306198,0.0030609,0.00304977,0.00304867,0.00305637,0.00306394,0.00306144
or,0.00319833,0.00320209,0.00318456,0.00317496,0.0031825,0.00317509,0.00320021
be,0.00370038,0.0037044,0.00370426,0.0037039,0.00369555,0.00368437,0.00370239
are,0.00383436,0.00381516,0.00378424,0.00377687,0.00377302,0.00374864,0.00382476
from,0.00610708,0.00613286,0.00614395,0.00615683,0.00615331,0.00617038,0.00611997
at,0.00578492,0.00578206,0.00579606,0.00580699,0.00580411,0.00579594,0.00578349
as,0.01062403,0.01067426,0.01068533,0.01070792,0.01073161,0.01075657,0.01064914
your,9.581e-05,9.581e-05,9.35e-05,9.202e-05,8.956e-05,9.061e-05,9.581e-05
all,0.00167938,0.00167243,0.00165323,0.00164908,0.0016411,0.00163859,0.00167591
have,0.00306413,0.00307659,0.00306631,0.00306833,0.00308332,0.00307939,0.00307036
new,0.00218756,0.00217052,0.00216679,0.00215373,0.00212392,0.00214086,0.00217904
more,0.00188626,0.00189615,0.00188536,0.00188437,0.00189327,0.00189374,0.0018912
an,0.00463276,0.00464426,0.00463904,0.00464361,0.00465976,0.00464853,0.00463851
was,0.01296083,0.01299039,0.01307177,0.01312884,0.01315033,0.01319814,0.01297561
we,0.00039958,0.00039144,0.00038044,0.00037517,0.00036703,0.00036295,0.00039551
will,0.00058033,0.0005679,0.00055569,0.00053902,0.00052719,0.00051976,0.00057412
home,0.00049054,0.0004883,0.00048652,0.00048808,0.00048538,0.00048722,0.00048942
can,0.00117238,0.0011697,0.00116753,0.00116934,0.00117898,0.0011826,0.00117104
us,0.00042904,0.00043787,0.00043275,0.00044505,0.00043886,0.00043474,0.00043346
about,0.00134497,0.00133836,0.0013329,0.00133166,0.00133442,0.00133351,0.00134167
if,0.00071861,0.00070919,0.00070628,0.00070391,0.00070743,0.00071247,0.0007139
page,0.00012247,0.00011318,0.00011284,0.00011085,0.0001081,0.000102,0.00011783
my,0.00030097,0.00029543,0.00029079,0.00028675,0.00028342,0.00028271,0.0002982
has,0.00235391,0.00233003,0.00232144,0.00230627,0.00229801,0.0022871,0.00234197
search,9.151e-05,8.896e-05,8.747e-05,8.8e-05,8.648e-05,8.563e-05,9.024e-05
free,0.00027506,0.00026721,0.00026957,0.00026998,0.00027031,0.00026959,0.00027113
but,0.00298058,0.00298436,0.00298903,0.00299309,0.00299632,0.00299428,0.00298247
our,0.00018248,0.00017856,0.0001741,0.00017096,0.00016507,0.00016607,0.00018052
