Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08486958,0.08508452,0.08523826,0.08539644,0.08556968,0.08565998,0.08497705
of,0.0311081,0.03112029,0.03112195,0.03114183,0.03113111,0.03112874,0.03111419
and,0.0299347,0.02998572,0.03001343,0.03003934,0.0300928,0.03013693,0.02996021
to,0.02381578,0.02394674,0.0240241,0.02405466,0.02412274,0.02416876,0.02388126
a,0.02546695,0.02541121,0.0253954,0.02537203,0.02544816,0.02545654,0.02543908
in,0.03498357,0.03504638,0.03517614,0.03544646,0.03553998,0.03564083,0.03501498
for,0.01114182,0.01116156,0.01116396,0.01120121,0.01122357,0.01126455,0.01115169
is,0.01039785,0.01022744,0.01005996,0.00993581,0.00982408,0.00970542,0.01031265
on,0.00900456,0.00905394,0.00910384,0.00912807,0.00914311,0.00916084,0.00902925
that,0.00641531,0.00643075,0.00643241,0.00641905,0.00643079,0.00642694,0.00642303
by,0.00775953,0.0077681,0.00778297,0.00779356,0.0077964,0.00780729,0.00776382
this,0.00292246,0.00291075,0.00288428,0.00286086,0.00285122,0.00284124,0.00291661
with,0.00845936,0.008503,0.00855158,0.00856725,0.00860556,0.00865254,0.00848118
i,0.0008614,0.00085819,0.00085449,0.00084927,0.00084681,0.00084525,0.0008598
you,0.00028581,0.00027642,0.00027262,0.00026743,0.00026445,0.00025737,0.00028111
it,0.00484756,0.00483243,0.00480995,0.0047902,0.00478061,0.00477633,0.00483999
not,0.00266259,0.00264238,0.00263557,0.00263166,0.0026292,0.00262539,0.00265248
or,0.00382415,0.0037857,0.00374782,0.00372002,0.00371381,0.00369732,0.00380492
be,0.00332416,0.00331192,0.00328837,0.00327635,0.00325732,0.00324283,0.00331804
are,0.00410916,0.00405643,0.00401656,0.00398149,0.0039363,0.00388895,0.0040828
from,0.00547504,0.00549617,0.00551577,0.00553176,0.00554923,0.00556706,0.0054856
at,0.00740809,0.00742736,0.0074517,0.00749048,0.00751841,0.00751809,0.00741773
as,0.00888029,0.0089075,0.00895612,0.00899548,0.00902983,0.00906734,0.0088939
your,0.00011839,0.00011292,0.00010948,0.00010568,0.00010324,9.856e-05,0.00011565
all,0.00214508,0.00214075,0.00213758,0.00213351,0.002126,0.00211451,0.00214292
