id,translated_portu,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Agora temos ratos de 4 meses de idade que não são diabéticos e que costumavam ser diabéticos"", acrescentou.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",69.72606648911129,"""Agora temos camundongos de 4 meses que são não diabéticos, mas que costumavam ser diabéticos"", acrescentou ele.",41.16245235860848
1,"O Dr. Ehud Ur, professor de medicina da Universidade Dalhousie, em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está nos primeiros dias.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",41.94586780383904,"O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está em seus estágios iniciais.",78.60665233564092
2,"Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que essas descobertas não têm relevância para pessoas que já têm diabetes tipo 1.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.",63.66093834247326,"Como alguns outros especialistas, ele é cético quanto à possibilidade de cura do diabetes, observando que esses achados não têm relevância para pessoas que já possuem diabetes tipo 1.",50.906631775961365
3,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio na Suécia que o comitê, incapaz de contactar Bob Dylan diretamente sobre a vencedora do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.",77.29728860527746,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio, na Suécia, que o comitê, incapaz de contatar Bob Dylan diretamente sobre a vitória do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.",82.5826909481649
4,"Danius disse: ""No momento não estamos fazendo nada. Liguei e enviei e-mails ao seu colaborador mais próximo e recebi respostas muito amigáveis.","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",28.214149997080465,"Danius disse: ""Neste momento, não estamos fazendo nada. Eu liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso é certamente suficiente.""",41.52685223190806
5,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando seu sino não era ouvido de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",66.58648643455577,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando o seu campainha não era audível a partir de sua loja na garagem.",60.725352019200656
6,"Ele construiu um sino de porta Wi-Fi, disse ele.","Ele montou uma campainha sem fio, disse.",8.913765521398126,"Ele construiu um campainha de WiFi, disse ele.",35.08439695638686
7,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio de Shark Tank, onde o painel do show recusou financiar a startup.","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",34.808714571640586,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do programa recusou o financiamento da startup.",68.16729318643743
8,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",49.14985110564941,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.",100.00000000000004
9,"Ring também resolveu um processo com a empresa de segurança concorrente, a ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",53.83261513974484,"A Ring também resolveu uma ação judicial com a empresa de segurança concorrente, a ADT Corporation.",65.72677895577044
