id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""У нас теперь есть четырехмесячные мыши, которые не страдают диабетом, а раньше были диабетом"", - добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",9.849349468888725,"«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",39.64513253420688
1,"Доктор Эхуд Ур, профессор медицины в университете Дальхузи в Галифаксе (Новая Шотландия) и председатель клинического и научного отделения канадской ассоциации диабета, предупредил, что исследования еще на ранних стадиях.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",19.39169496340662,"Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",34.276873258417176
2,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отметив, что эти результаты не имеют никакого отношения к людям, у которых уже есть диабет 1 типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",39.051508781145074,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",78.76123953250152
3,"В понедельник Сара Даниес, постоянный секретарь Нобелевского комитета по литературе в Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не смог напрямую связаться с Бобом Диланом о том, как он получил Нобелевскую премию по литературе 2016 года, отказался от своих усилий по достижению его.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",27.57905825358162,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",51.69502491409182
4,"Даниев сказал: ""В данный момент мы ничего не делаем. Я позвонил и отправил электронные письма ближайшему сотруднику и получил очень дружелюбные ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",26.698510380043835,"Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",38.345156978800325
5,"Ранее генеральный директор Ring Джейми Симинофф отметил, что компания началась, когда его звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",35.527062055619595,"Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",53.6010466785411
6,"Он сказал, что построил дверный звонок WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.",26.432408210372945,"Он построил дверной звонок с WiFi, сказал он.",6.939515136192131
7,"Симинофф сказал, что продажи увеличились после его появления в 2013 году в эпизоде ""Айковый танк"", где панель шоу отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",30.01258617465722,"Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",41.442824737582924
8,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,100.00000000000004,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,67.74702029865007
9,"Ring также урегулировал судебный процесс с конкурирующей компанией по охране, корпорацией ADT.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",12.164440704745648,Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,9.238430210261097
