id,translated_hindi,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"उन्होंने कहा, ""हमारे पास अब चार महीने के बच्चे हैं जो मधुमेह से मुक्त हैं और पहले मधुमेह वाले थे।",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,42.334695169293354,"""हमारे पास अब 4 महीने के चूहे हैं जो पहले मधुमेह के थे लेकिन अब गैर-मधुमेह हैं,"" उन्होंने जोड़ा।",49.00994394145079
1,न्यू स्कॉटिया के हैलीफैक्स में डालहुसी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडा के मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष डॉ. ईहुद उर ने चेतावनी दी कि शोध अभी भी शुरुआती दिनों में है।,"डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",60.31935290216461,"डॉ. एहुद उर, हलीफैक्स, नोवा स्कोटिया में डलहौजी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडाई मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी शुरुआती चरण में है।",73.08224347193534
2,"कुछ अन्य विशेषज्ञों की तरह, वह भी इस बात पर संदेह करते हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह कहते हुए कि इन निष्कर्षों का उन लोगों के लिए कोई प्रासंगिकता नहीं है जिनके पास पहले से ही टाइप 1 मधुमेह है।","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",77.7175785073154,"जैसे कुछ अन्य विशेषज्ञ, वह यह मानने में संदेहशील हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह बताते हुए कि ये निष्कर्ष उन लोगों के लिए कोई प्रासंगिकता नहीं रखते जो पहले से टाइप 1 मधुमेह से प्रभावित हैं।",64.88823379235801
3,"सोमवार को, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव सारा डैनियस ने स्वीडन में Sveriges रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, 2016 के नोबेल पुरस्कार के विजेता के बारे में बॉब डायलन से सीधे संपर्क करने में असमर्थ, ने उनके पास पहुंचने के अपने प्रयासों को छोड़ दिया था।","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",70.03739917194417,"सोमवार को, सारा डेनियस, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति की स्थायी सचिव, ने स्वीडन के Sveriges Radio पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, जो 2016 के साहित्य में नोबेल पुरस्कार को लेकर बॉब डिलन से सीधे संपर्क नहीं कर पाई, ने उन्हें संपर्क करने के प्रयासों को छोड़ दिया है।",70.391863527875
4,"डैनियस ने कहा, ""इस समय हम कुछ नहीं कर रहे हैं। मैंने उनके निकटतम सहयोगी को फोन किया और ईमेल भेजे और बहुत ही मैत्रीपूर्ण उत्तर प्राप्त किए। अभी के लिए, यह निश्चित रूप से पर्याप्त है। ""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",34.4250749384547,"डेनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके निकटतम सहयोगी को कॉल किया है और ईमेल भेजे हैं और बहुत दोस्ताना जवाब मिले हैं। फिलहाल, यह निश्चित रूप से काफी है।""",55.957862452870636
5,"इससे पहले, रिंग के सीईओ जेमी सिमिनॉफ ने कहा कि कंपनी तब शुरू हुई जब उनकी गैरेज में उनकी दुकान से उनके दरवाजे की घंटी नहीं सुनी गई थी।","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",57.95770539842603,"पहले, रिंग के सीईओ, जेमी सिमिनॉफ, ने टिप्पणी की कि कंपनी की शुरुआत तब हुई जब उनका डोरबेल उनके गैरेज में उनकी दुकान से सुनाई नहीं देता था।",52.93919567600868
6,उन्होंने कहा कि उन्होंने एक वाईफाई दरवाजा घंटी बनाई।,"उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",42.60857174593902,उसने कहा कि उसने एक वाईफाई दरवाजा बेल बनाया।,57.38050985838497
7,सिमिनोफ ने कहा कि 2013 में एक शार्क टैंक एपिसोड में उनके प्रदर्शन के बाद बिक्री बढ़ी जहां शो पैनल ने स्टार्टअप को वित्तपोषित करने से इनकार कर दिया।,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",58.02599224264474,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक के एक एपिसोड में उनके प्रदर्शन के बाद बिक्री में वृद्धि हुई, जहां शो पैनल ने स्टार्टअप के लिए फंडिंग देने से इनकार कर दिया था।",66.72779922085726
8,"2017 के अंत में, सिमिनॉफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",74.79213483839156,"2017 के अंत में, सिमिनॉफ़ ने शॉपिंग टेलीविज़न चैनल QVC पर प्रदर्शन किया।",64.71729151520724
9,रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी एडीटी कॉरपोरेशन के साथ भी मुकदमा सुलझाया।,रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,49.567866245807,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ भी एक मुकदमा निपटाया।",74.04384643947225
