id,translated_japanese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""現在,糖尿病を患わない4ヶ月前のネズミがいます.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,6.485279309900189,「以前は糖尿病だったが、今は4ヶ月齢の非糖尿病マウスがいる」と彼は付け加えた。,7.946242277398976
1,"ニュースコットランド の ハリファックス の ダルハウジー 大学 で 医学 の 教授 と カナダ の 糖尿病 協会 の 臨床 科学 部門 委員長 エフード ウル 博士は 研究 が まだ 初期 に おり,その 段階 に 向かっている と 警告 し まし た.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,33.12328879075,エフド・ウル博士は、ノバスコシア州ハリファックスのダルハウジー大学の医学教授であり、カナダ糖尿病協会の臨床および科学部門の議長として、研究はまだ初期段階にあると警告しました。,42.30194159185791
2,"他 の 専門家 たち の よう に,糖尿病 が 治る こと が でき ない か に つい て 彼は 疑い を 抱い て い ます.この 発見 は,すでに タイプ 1 の 糖尿病 を 抱える 人 に は 関連 を 持っ て い ない こと を 指摘 し て い ます.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,30.458672673418768,他は他の専門家と同様に、糖尿病が治るかどうかについて懐疑的であり、これらの発見はすでに1型糖尿病を患っている人々には関係がないことを指摘しています。,35.16048868501128
3,"スウェーデンアカデミーのノーベル文学委員会の常任事務局長であるサラ・ダニウス氏は,スウェーデンにおけるスウェーデンラジオのラジオ番組で,ノーベル文学賞2016年受賞についてボブ・ディランに直接連絡が取れず,彼の連絡を放棄したことを公に発表した.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,49.80294158562275,月曜日、スウェーデンアカデミーのノーベル文学委員会の常任書記であるサラ・ダニウスは、スウェーデンのスヴェリゲス・ラジオのラジオ番組で公に発表しました。委員会は2016年ノーベル文学賞を受賞したボブ・ディランに直接連絡を取ることができず、彼に連絡を試みる努力を放棄したと述べました。,48.72972730807866
4,"ダニウス氏は""今のところ,何もできない. 私は彼の最も近い同僚に電話してメールを送り,とても友好的な返信を受け取った. 今のところ,それは確かに十分です"".",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,19.204745570173966,ダニウスは言いました。「今、私たちは何もしていません。私は彼の最も近い協力者に電話をかけてメールを送り、とても親切な返事をもらいました。今のところ、それで十分です。」,26.372979788333573
5,リングのCEO ジェイミー・シミノフは 会社の始まりは ギャラジの店から 鈴が鳴らない時だと 指摘していた,RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,14.539434621041424,以前、RingのCEOであるジェイミー・シミノフは、彼のガレージにある店からドアベルの音が聞こえなかったことが、会社が始まるきっかけだったと述べました。,19.857628327003997
6,彼はWiFiのドアベルを 建てたそうです,彼はWi-Fiで鳴るドアベルを作ったそうです。,34.2192553012522,彼はWiFiのドアベルを作ったと言いました。,50.63332298240621
7,"シミノフは2013年にショーパネルがスタートアップを資金提供を拒否した""サメタンク""のエピソードで出演した後,売上高が上昇したと述べた.",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,28.854969618789145,シミノフ氏は、2013年に「シャークタンク」のエピソードに出演した後、スタートアップへの資金提供をパネルが拒否したことで売上が増加したと述べました。,37.1037970872099
8,"2017年下旬,シミノフはショッピングテレビチャンネルQVCに出演した.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,34.03184648737305,2017年末、シミノフはショッピングテレビチャンネルQVCに出演しました。,76.41099205235136
9,リングはADT株式会社との訴訟を解決した.,Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,10.818192758443654,リングは競合のセキュリティ会社、ADTコーポレーションとの訴訟も和解しました。,15.902551850442832
10,"エボラによる死亡率を 減らすことができるような実験ワクチンがあるが,現在まで,既存の感染を治療するのに適した薬は明らかに示されていない.",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,19.63755735749122,一つの実験的ワクチンはエボラ出血熱の死亡率を減少させることができるようですが、これまでのところ、既存の感染症の治療に適していると明確に示された薬剤はありません。,25.80707020714436
11,"抗体コクテル""つのZMappは当初は 野外での展望を示したが 公式の研究では 死を防ぐのに望ましいよりも 利益が少ないことを示した.",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,19.07330282022608,"以下の文を日本語に翻訳します。

「抗体カクテルの一つであるZMappは、当初この分野で希望が持たれていましたが、正式な研究では死亡を防ぐ効果が期待されたほどではないことが示されました。」",17.629835900540556
12,"PALM試験では ZMapp が制御機能として使われたため,科学者はそれを基軸として使用し,他の3つの治療法を比較した.",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,36.7786250889885,PALM試験では、ZMappが対照薬として用いられました。つまり、科学者たちはそれを基準として使用し、他の三つの治療法と比較しました。,34.262390397017136
13,アメリカ体操はアメリカオリンピック委員会の手紙を支持し オリンピックの家族が 安全な環境を 促進する 絶対的な必要性を認めています,米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,29.438144204567614,USA体操は、アメリカオリンピック委員会の手紙を支持し、すべてのアスリートのために安全な環境を促進するというオリンピックファミリーの絶対的な必要性を受け入れています。,48.77890187842039
14,認定解除ではなく組織内での 重要な変化を進めて より良い形で 選手やクラブの利益やスポーツを 果たすことができるという 声明に同意します,私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,21.684447904959285,私たちは、米国オリンピック委員会（USOC）の声明に同意します。つまり、私たちのアスリートやクラブ、そして彼らのスポーツの利益は、認証取り消しよりも、私たちの組織内での意義ある変化を進めることで、より良くされる可能性があるということです。,18.30111383939995
15,"ラリー・ナッサーの生存者が勇敢に説明した割合の乱用が 長い間 検出されずにいられるようになったかについて 明らかにできる独立調査を支持し,必要な適切な変更を 受け入れています.",米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,21.254386965427994,USA体操は、ラリー・ナサールの生存者たちが勇敢に説明したような虐待がどのように長期間にわたり見過ごされてきたのかを明らかにする可能性のある独立した調査を支持し、必要かつ適切な変更を受け入れています。,33.448541975200264
16,運動選手が安全でポジティブで力づける環境で夢を追うように 運動選手をできるだけ安全にするという 目標です,米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。,17.096479631090634,USA体操連盟とアメリカオリンピック委員会（USOC）は同じ目標を持っています。それは、体操や他のスポーツを、アスリートが安全でポジティブ、そして力強い環境の中で夢を追いかけるためにできる限り安全にすることです。,15.521715019616167
17,"1960年代を通して,ブレジンスキはジョン・F・ケネディの顧問として働き,その後リンダン・B・ジョンソン政権に任任任した.",1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。,57.20721214287086,1960年代を通じて、ブレジンスキーはジョン・F・ケネディの顧問として働き、その後リンドン・B・ジョンソン政権でも活動しました。,60.9064090282167
18,"1976年の選挙では,彼は外交政策に関するカーターに助言し,1977年から1981年まで国家安全保障顧問 (NSA) として働き,ヘンリー・キッシンジャーを継承した.",1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,51.26222167486325,1976年の選挙中、彼はカーターに外交政策について助言し、その後1977年から1981年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,53.047776346261735
19,"NSAとして1978年のキャンプ・デイヴィッド協定など,外交的に世界問題に対処するカーターを支援し,1970年代後半のアメリカと中国の関係を正常化する,1979年のイラン人質危機をもたらしたイラン革命,1979年のアフガニスタンでのソ連侵略など.",NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。,45.60701219587441,彼はNSAとして、カーター大統領が外交的に世界の問題を処理するのを支援しました。具体的には、1978年のキャンプデイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン革命によるイラン人質危機、1979年のソビエトのアフガニスタン侵 invasionなどです。,39.607218022101584
20,"ライアン・ゴスリングとエマ・ストーンが出演した映画は,すべての主要なカテゴリーでノミネートを受けました.",ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。,54.58365046365259,その映画はライアン・ゴスリングとエマ・ストーンが出演し、すべての主要部門でノミネートされました。,61.06056200478108
21,ゴスリングとストーンはそれぞれベスト俳優と女優のノミネートを受賞した.,ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。,44.268021156008146,ゴスリングとストーンは、それぞれ最優秀男優賞と最優秀女優賞にノミネートされました。,37.221039045175516
22,"他のノミネートにはベスト映画,監督,映画,服装デザイン,映画編集,オリジナルスコア,制作デザイン,サウンド編集,サウンドミックス,オリジナル脚本などが含まれています.",最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。,13.96872607398654,他のノミネーションには、最優秀作品賞、監督賞、撮影賞、 costume  design、編集賞、オリジナルスコア、プロダクションデザイン、音響編集、音響ミキシングおよびオリジナル脚本賞が含まれます。,22.115699720937272
23,"映画の2曲,オーディション (The Fools Who Dream) とシティ・オブ・スターは,ベストオリジナル・ソングにノミネートされた.ライオンズゲイト・スタジオは他のスタジオよりも26名のノミネートを受けた.",映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。,49.48151571268647,映画『オーディション（夢を描く者たち）』の「The Fools Who Dream」と「City of Stars」の2曲が最優秀オリジナル歌曲賞にノミネートされました。ライオンズゲートスタジオは26件のノミネートを受け、他のスタジオよりも多くなりました。,40.85106638451572
24,"記者部長を通じて発表した声明で,米国大統領は日曜日の深夜,シリアを退去すると発表した.",日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。,13.882937941011326,日曜日の遅い時間に、アメリカのドナルド・トランプ大統領は、広報官を通じて声明を発表し、アメリカ軍がシリアを離れることを発表しました。,16.24339115945285
25,"トラップはトルコ大統領レジェプ・タイイプ・エルドアンと電話で話をした後,この発表が行われました.",本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。,28.7240235838701,発表は、トランプがトルコのレジェプ・ターイップ・エルドアン大統領と電話会談を行った後に行われました。,35.92524192846342
