id,translated_hindi,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"उन्होंने कहा, ""हमारे पास अब चार महीने के बच्चे हैं जो मधुमेह से मुक्त हैं और पहले मधुमेह वाले थे।",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,0.7419609427452087,"""हमारे पास अब 4 महीने के चूहे हैं जो पहले मधुमेह के थे लेकिन अब गैर-मधुमेह हैं,"" उन्होंने जोड़ा।",0.7634960412979126
1,न्यू स्कॉटिया के हैलीफैक्स में डालहुसी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडा के मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष डॉ. ईहुद उर ने चेतावनी दी कि शोध अभी भी शुरुआती दिनों में है।,"डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",0.7965590953826904,"डॉ. एहुद उर, हलीफैक्स, नोवा स्कोटिया में डलहौजी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडाई मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी शुरुआती चरण में है।",0.8175779581069946
2,"कुछ अन्य विशेषज्ञों की तरह, वह भी इस बात पर संदेह करते हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह कहते हुए कि इन निष्कर्षों का उन लोगों के लिए कोई प्रासंगिकता नहीं है जिनके पास पहले से ही टाइप 1 मधुमेह है।","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",0.8719814419746399,"जैसे कुछ अन्य विशेषज्ञ, वह यह मानने में संदेहशील हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह बताते हुए कि ये निष्कर्ष उन लोगों के लिए कोई प्रासंगिकता नहीं रखते जो पहले से टाइप 1 मधुमेह से प्रभावित हैं।",0.860190212726593
3,"सोमवार को, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव सारा डैनियस ने स्वीडन में Sveriges रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, 2016 के नोबेल पुरस्कार के विजेता के बारे में बॉब डायलन से सीधे संपर्क करने में असमर्थ, ने उनके पास पहुंचने के अपने प्रयासों को छोड़ दिया था।","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",0.7513365149497986,"सोमवार को, सारा डेनियस, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति की स्थायी सचिव, ने स्वीडन के Sveriges Radio पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, जो 2016 के साहित्य में नोबेल पुरस्कार को लेकर बॉब डिलन से सीधे संपर्क नहीं कर पाई, ने उन्हें संपर्क करने के प्रयासों को छोड़ दिया है।",0.7970322966575623
4,"डैनियस ने कहा, ""इस समय हम कुछ नहीं कर रहे हैं। मैंने उनके निकटतम सहयोगी को फोन किया और ईमेल भेजे और बहुत ही मैत्रीपूर्ण उत्तर प्राप्त किए। अभी के लिए, यह निश्चित रूप से पर्याप्त है। ""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",0.8054415583610535,"डेनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके निकटतम सहयोगी को कॉल किया है और ईमेल भेजे हैं और बहुत दोस्ताना जवाब मिले हैं। फिलहाल, यह निश्चित रूप से काफी है।""",0.8772212266921997
5,"इससे पहले, रिंग के सीईओ जेमी सिमिनॉफ ने कहा कि कंपनी तब शुरू हुई जब उनकी गैरेज में उनकी दुकान से उनके दरवाजे की घंटी नहीं सुनी गई थी।","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",0.8121159672737122,"पहले, रिंग के सीईओ, जेमी सिमिनॉफ, ने टिप्पणी की कि कंपनी की शुरुआत तब हुई जब उनका डोरबेल उनके गैरेज में उनकी दुकान से सुनाई नहीं देता था।",0.7787272334098816
6,उन्होंने कहा कि उन्होंने एक वाईफाई दरवाजा घंटी बनाई।,"उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",0.7510725259780884,उसने कहा कि उसने एक वाईफाई दरवाजा बेल बनाया।,0.8631766438484192
7,सिमिनोफ ने कहा कि 2013 में एक शार्क टैंक एपिसोड में उनके प्रदर्शन के बाद बिक्री बढ़ी जहां शो पैनल ने स्टार्टअप को वित्तपोषित करने से इनकार कर दिया।,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",0.8461430072784424,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक के एक एपिसोड में उनके प्रदर्शन के बाद बिक्री में वृद्धि हुई, जहां शो पैनल ने स्टार्टअप के लिए फंडिंग देने से इनकार कर दिया था।",0.8750894665718079
8,"2017 के अंत में, सिमिनॉफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",0.8933470845222473,"2017 के अंत में, सिमिनॉफ़ ने शॉपिंग टेलीविज़न चैनल QVC पर प्रदर्शन किया।",0.8182210326194763
9,रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी एडीटी कॉरपोरेशन के साथ भी मुकदमा सुलझाया।,रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,0.8110949397087097,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ भी एक मुकदमा निपटाया।",0.8960011601448059
10,"जबकि एक प्रयोगात्मक टीका ईबोला की मृत्यु दर को कम करने में सक्षम प्रतीत होता है, अब तक, कोई दवा मौजूदा संक्रमण के इलाज के लिए उपयुक्त नहीं साबित हुई है।","जबकि एक प्रायोगिक वैक्सीन इबोला से मृत्यु दर में कमी हो सकती है, अब तक, कोई भी ड्रग्स स्पष्ट रूप से संक्रमण का इलाज करने के लिए प्रमाणितनहीं हुआ है.",0.8092523217201233,"एक प्रयोगात्मक वैक्सीन ऐसा प्रतीत होता है कि वह इबोला मृत्यु दर को कम करने में सक्षम है, लेकिन अब तक कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्त नहीं साबित हुई है।",0.8682969212532043
11,"एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरू में इस क्षेत्र में आशाजनक दिखाया, लेकिन औपचारिक अध्ययनों से पता चला कि मृत्यु को रोकने में यह कम लाभकारी था।","एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरुआत में इस क्षेत्र में विश्वास दिखाया था, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि मौत को रोकने में प्रत्याशित लाभ की तुलना में इसका लाभ कम था।",0.8150255680084229,"एक एंटीबॉडी कॉकटेल, ZMapp, ने प्रारंभ में इस क्षेत्र में उम्मीद दिखाई, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि यह मौत को रोकने में अपेक्षित लाभ कम था।",0.8236847519874573
12,"PALM परीक्षण में, ZMapp एक नियंत्रण के रूप में काम किया, जिसका अर्थ है वैज्ञानिकों ने इसे एक आधार के रूप में इस्तेमाल किया और अन्य तीन उपचारों की तुलना इसकी तुलना की।","PALM परीक्षण में, ZMapp ने एक नियंत्रण के रूप में कार्य किया, जिसका अर्थ है कि वैज्ञानिकों ने इसे बेसलाइन के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की.",0.8335844874382019,"PALM परीक्षण में, ZMapp को एक नियंत्रण के रूप में उपयोग किया गया, जिसका अर्थ है कि वैज्ञानिकों ने इसे एक बुनियाद के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की।",0.8224789500236511
13,यूएसए जिमनास्टिक संयुक्त राज्य अमेरिका ओलंपिक समिति के पत्र का समर्थन करता है और ओलंपिक परिवार की सभी हमारे एथलीटों के लिए सुरक्षित वातावरण को बढ़ावा देने की पूर्ण आवश्यकता को स्वीकार करता है।,"अमेरिकी जिमनास्टिक्स, संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है. साथ ही, सभी एथलीटों को एक सुरक्षित माहौल देने के लिए, ओलंपिक परिवार के होने की अहमियत स्वीकार करता है.",0.8095332980155945,यूएसए जिमनास्टिक्स अमेरिका के ओलंपिक समिति के पत्र का समर्थन करता है और हमारे सभी एथलीटों के लिए एक सुरक्षित वातावरण को बढ़ावा देने के लिए ओलंपिक परिवार की absoluta आवश्यकता को स्वीकार करता है।,0.8700690865516663
14,"हम यूएसओसी के इस कथन से सहमत हैं कि हमारे एथलीटों और क्लबों के हितों और उनके खेल को अधिक अच्छी तरह से सेवा दी जा सकती है, यदि हम अपने संगठन के भीतर सार्थक परिवर्तन के साथ आगे बढ़ते हैं, न कि डिसेर्टिफिकेशन के साथ।","हम USOC के इस कथन से सहमत हैं कि हमारे एथलीटों और क्लबों और उनके खेल, हमारे संगठन के भीतर सार्थक बदलाव के साथ आगे बढ़ कर बेहतर सेवा की जा सकती है ना की विप्रमाणन से |",0.7860607504844666,"हम यूएसओसी के बयान से सहमत हैं कि हमारे एथलीटों और क्लबों के हित, और उनके खेल, हमारे संगठन के भीतर महत्वपूर्ण परिवर्तन की दिशा में आगे बढ़ने से बेहतर सेवा प्राप्त कर सकते हैं, बजाय इसके कि उन्हें गैर-प्रमाणित किया जाए।",0.7933600544929504
15,यूएसए जिमनास्टिक एक स्वतंत्र जांच का समर्थन करता है जो प्रकाश डाल सकता है कि लैरी नासर्स के जीवित बचे लोगों द्वारा इतनी बहादुरी से वर्णित अनुपात का दुरुपयोग इतने लंबे समय तक अनदेखा हो सकता है और किसी भी आवश्यक और उपयुक्त परिवर्तन को गले लगाता है।,यूएसए जिमनास्टिक्स एक स्वतंत्र जाँच का समर्थन करता है जो इस बात पर प्रकाश डाल सकता है कि लैरी नासर के बचे लोगों द्वारा इतनी हिम्मत से बताए गए प्रपोर्शन का दुरुपयोग इतने लंबे समय तक चल सकता था और किसी भी आवश्यक और उचित परिवर्तन को अपना सकता है.,0.6687512397766113,यूएसए जिमनास्टिक्स एक स्वतंत्र जांच का समर्थन करता है जो इस पर प्रकाश डाल सकता है कि लैरी नassar के Survivors द्वारा इतनी वीरता से वर्णित अनुपात का दुरुपयोग लंबे समय तक कैसे अदृश्य रह सकता था और किसी भी आवश्यक और उचित परिवर्तनों को अपनाता है।,0.6948222517967224
16,"यूएसए जिमनास्टिक और यूएसओसी का एक ही लक्ष्य है  जिमनास्टिक और अन्य खेलों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का पीछा करने के लिए एथलीटों के लिए यथासंभव सुरक्षित बनाना।","यूएसए जिमनास्टिक्स और यूएसओसी का एक ही लक्ष्य है — एथलीटों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का अनुसरण करने के लिए जिमनास्टिक्स और अन्य लोगों के खेल को जितना संभव हो सके उतना सुरक्षित बनाना.",0.8390380144119263,"यूएसए जिम्नास्टिक्स और यूएसओसी का एक ही लक्ष्य है - जिम्नास्टिक्स और अन्य खेलों को एथलीटों के लिए सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का पीछा करने के लिए संभवतः सुरक्षित बनाना।",0.8640657663345337
17,"1960 के दशक में, ब्रजेज़िनस्की ने जॉन एफ. केनेडी के लिए उनके सलाहकार के रूप में और फिर लिंडन बी. जॉनसन प्रशासन के रूप में काम किया।","1960 के दशक के दौरान, ब्रेझिन्स्की ने जॉन एफ कैनेडी के सलाहकार के तौर पर और उसके बाद लिंडन बी जॉनसन के प्रशासन के लिए काम किया.",0.873705267906189,"1960 के दशक में, ब्रेज़िंस्की ने जॉन एफ. Kennedy के सलाहकार के रूप में काम किया और फिर लिंडन बी. जॉनसन प्रशासन के लिए।",0.8808171153068542
18,"1976 के चुनावों के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में कार्य किया, जो हेनरी किस्सिंजर का उत्तराधिकारी था।","1976 चयन के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से लेकर 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में हेनरी किसिंजर को सेवा दी.",0.8678697943687439,"1976 के चयन के दौरान, उसने कार्टर को विदेशी नीति पर सलाह दी, और फिर 1977 से 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में सेवा दी, हेनरी किसिंजर के उत्तराधिकारी के रूप में।",0.8727384805679321
