id,translated_german,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Wir haben nun 4 Monate alte Mäuse, die nicht diabetisch sind, die früher Diabetiker waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",51.75314197614189,"„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",68.00394413695393
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",56.17097194522586,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",68.5440245565096
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, wobei er feststellt, dass diese Erkenntnisse für Menschen, die bereits","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",44.742572637367005,"Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",65.30653371822825
3,"Am Montag kündigte Sara Danius, ständige Sekretärin des Nobelkomitees für Literatur an der schwedischen Akademie","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",25.897732913876904,"Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",30.595623754814728
4,"Danius sagte: ""Heute tun wir nichts, ich habe an seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,64.36132418434993,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,71.76765393634305
5,"Zuvor bemerkte Rings CEO, Jamie Siminoff, dass das Unternehmen begann, als sein Türbel aus seinem Laden in seiner Garage nicht hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",48.71720225645233,"Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",58.159108003022375
6,"He built a WiFi door bell, he said.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.",9.845005927944921,"Er hat eine WLAN-Türklingel gebaut, sagte er.",9.5488385540427
7,"Siminoff sagte, dass der Umsatz nach seinem Auftritt 2013 in einer Shark Tank-Episode gesteigert wurde, in der die Show-Panel die Finanzierung","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",42.05948723851577,"Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",51.1293912135669
8,Ende 2017 erschien Siminoff auf dem Einkaufs-TV-Sender QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,46.12732576417761,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,31.38437918025925
9,"Ring hat auch einen Prozess mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, abgeschlossen.",Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,53.200906183672636,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",80.77320986924806
10,"Obwohl ein Versuchsimpfstoff in der Lage zu sein scheint, die Ebolasterblichkeit zu verringern, wurden bisher keine Medikamente eindeutig für die Behandlung bestehender In","Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",54.21052910547224,"Während ein experimenteller Impfstoff anscheinend in der Lage ist, die Ebola-Mortalität zu verringern, wurde bislang kein Medikament als eindeutig geeignet zur Behandlung einer bestehenden Infektion nachgewiesen.",48.070400173141145
11,"Ein Antikörper-Cocktail, ZMapp, zeigte zunächst in diesem Bereich Versprechen, aber formale Studien haben gezeigt, dass er weniger Nutzen hat als","Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",43.74761238322644,"Ein Antikörpercocktail, ZMapp, zeigte zunächst vielversprechende Ergebnisse in diesem Bereich, aber formelle Studien ergaben, dass er weniger Nutzen bei der Verhinderung von Todesfällen hatte als erhofft.",56.35203125780777
