id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:「现在有四个月大的老鼠, 这些老鼠是非糖尿病的,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,16.499713003086793,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,18.7940212488599
1,"加拿大糖尿病协会临床和科学系主席、新斯科舍省哈利法克斯Dalhousie大学医学教授Ehud Ur博士告诫说,这项研究仍处于初期。",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,42.76907107098771,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,44.36674937306729
2,"与其他专家一样,他对糖尿病是否可以治愈持怀疑态度,指出这些调查结果与已经患有1型糖尿病的人无关。",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,51.617869254599434,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,54.26210759502925
3,"瑞典科学院诺贝尔文学委员会常任秘书Sara Danius在瑞典斯韦里盖斯电台的一个广播节目中公开宣布, 无法直接联系鲍勃·迪伦,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,23.83920137450781,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,30.055660751616493
4,"达尼乌斯说:现在,我们什么都不做,我已打电话和发电子邮件给他最亲密的合作者,我收到了非常友好的答复。现在,这已足够了。",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,20.402685931375085,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,47.188421370328044
5,"之前,Ring的首席执行官Jamie Siminoff, 说公司开始于他的门铃 在他的车库的店里听不见时。",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,5.091197906872739,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,39.987823973880005
6,"他说,他建造了一个无线网门铃。",他称，他制作了一个 WiFi 门铃。,17.678748653651848,他说他做了一个WiFi门铃。,19.251614434393563
7,"Siminoff说, 2013年他出现在鲨鱼坦克节目中, 展台拒绝资助启动活动,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,4.858598624817478,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,4.047434732181078
8,"2017年底,Siminoff出现在购物电视频道QVC上。",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,12.41640645964364,在2017年末，Siminoff出现在购物电视台QVC上。,53.12583871630397
9,Ring还解决了与相互竞争的安保公司ADT公司的一项诉讼。,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,11.340178876573809,Ring还与竞争对手安全公司ADT公司达成了和解。,21.08445456905128
