id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""У нас есть 4-месячные мыши, которые не диабетичны, которые раньше были диабетиками"", добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",47.524275302066435,"«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",59.89113845164952
1,"Доктор Эхуд Ур, профессор медицины Далхаузийского университета в Галифаксе, Новая Шотландия, и председатель клинического и научного отделения Канадской ассоциации диабета предупредили, что исследования все еще проводятся в первые дни.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",57.23077176339129,"Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",74.18435800610601
2,"Как и некоторые другие эксперты, он скептически относится к вопросу о том, можно ли вылечить диабет, отмечая, что эти выводы не имеют никакого отношения к людям, уже страдающим диабетом первого типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",53.22220722673201,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",77.82645252597011
3,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе Шведской академии, публично объявила во время радиопередачи на радио Sveriges Radio в Швеции о том, что комитет, не имея возможности напрямую связаться с Бобом Диланом по поводу получения Нобелевской премии 2016 года в области литературы, отказался от своих усилий, направленных на то, чтобы связаться с ним.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",62.394578419142874,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",72.44823782231289
4,"Даниус сказал: ""Теперь мы ничего не делаем. Я позвонил и отправил письма его близкому коллеге и получил очень дружеские ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",41.65890758288395,"Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",46.691084976926426
5,"Ранее генеральный директор ""Ринга"", Джейми Симинофф, заметил, что компания началась, когда его дверной звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",53.761517479487445,"Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",81.23185218171723
6,"Он сказал, что построил колокол WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.",32.3406521161203,"Он построил дверной звонок с WiFi, сказал он.",35.93874966963454
7,"Siminoff сказал, что продажи возросли после того, как он появился в 2013 году в эпизоде Shark Tank, где шоу-группа отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",53.19782807348828,"Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",58.76842493412777
8,В конце 2017 года Симинофф появился на телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,83.7147620774857,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,68.99675841038993
9,"""Кольцо"" также урегулировало иск с конкурирующими охранными компаниями ""ADT Corporation"".","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",40.79178804503725,Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,66.3467513643419
10,"Хотя одна экспериментальная вакцина, как представляется, способна снизить смертность от Эболы, до настоящего времени ни одна из лекарств не была четко продемонстрирована как пригодная для лечения существующей инфекции.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.",59.269778481310794,"Хотя одна экспериментальная вакцина, похоже, способна снизить смертность от Эбола, до сих пор ни одно лекарство не было четко продемонстрировано как подходящее для лечения существующей инфекции.",72.9405747923955
11,"Один антителный коктейль, ZMapp, первоначально продемонстрировал свои надежды на местах, но официальные исследования показали, что он приносит меньше пользы, чем хотелось бы предотвратить смерть.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",48.246267713120254,"Один коктейль антител, ZMapp, изначально показал многообещающие результаты в этой области, но формальные исследования показали, что он менее эффективен, чем ожидалось, в предотвращении смерти.",46.18223329085909
12,"В исследовании PALM ZMapp служил в качестве контрольного органа, что означает, что ученые использовали его в качестве основы и сравнили с ним три других лечения.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.",74.07009951498921,"В испытании PALM ZMapp использовался в качестве контроля, что означает, что ученые использовали его в качестве базового уровня и сравнивали три других лечения с ним.",68.11091791842698
13,Американская гимнастика поддерживает письмо олимпийского комитета Соединенных Штатов и признает абсолютную потребность олимпийской семьи в содействии созданию безопасных условий для всех наших спортсменов.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,58.05292275791511,Союз гимнастики США поддерживает письмо Олимпийского комитета Соединенных Штатов и признает абсолютную необходимость создания безопасной среды для всех наших спортсменов в Олимпийской семье.,72.68895513859705
14,"Мы согласны с заявлением ОКП о том, что интересам наших спортсменов и клубов, а также их спорту, возможно, будет лучше способствовать продвижение вперед с существенными изменениями в нашей организации, а не отказ от сертификации.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.",60.78109957661167,"Мы согласны с заявлением USOC о том, что интересы наших спортсменов и клубов, а также их спорта могут быть лучше защищены путем реализации значительных изменений в нашей организации, а не путем лишения лицензии.",57.502946369764196
