id,translated_german,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",0.8004096150398254,"„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",0.8834182620048523
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in ihren Anfängen ist.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",0.8879740834236145,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",0.9146959185600281
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, und stellt fest, dass diese Befunde für Menschen, die bereits an Typ-1-Diabetes leiden, keine Relevanz haben.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",0.9133185148239136,"Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",0.9317854642868042
3,"Am Montag hatte Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, während eines Radioprogramms auf Sveriges Radio in Schweden öffentlich angekündigt, dass das Komitee Bob Dylan nicht direkt über den Preis für Literatur 2016 erreichen könne, seine Bemühungen aufgegeben, ihn zu erreichen.","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",0.7475296258926392,"Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",0.7874947190284729
4,"Danius sagte: ""Im Moment tun wir nichts. Ich habe angerufen und E-Mails an seinen engsten Mitarbeiter geschickt und erhielt sehr freundliche Antworten. Für den Moment, das ist sicherlich genug.""",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,0.9178934097290039,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,0.9305800199508667
5,"Zuvor bemerkte Rings CEO, Jamie Siminoff, dass das Unternehmen begann, als seine Türklingel von seinem Laden in seiner Garage nicht hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",0.6809341311454773,"Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",0.7768021821975708
6,"Er hat eine WiFi-Türglocke gebaut, sagte er.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.",0.8487175703048706,"Er hat eine WLAN-Türklingel gebaut, sagte er.",0.8698245286941528
7,"Siminoff sagte, dass der Umsatz nach seinem Auftritt 2013 in einem Shark Tank Episode, wo die Show-Panel lehnte die Finanzierung des Startups.","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",0.5550686120986938,"Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",0.6171150207519531
8,Ende 2017 erschien Siminoff auf dem Einkaufskanal QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,0.8585372567176819,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,0.8573370575904846
9,"Ring ordnete auch eine Klage mit konkurrierenden Sicherheitsunternehmen, der ADT Corporation.",Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,0.692210853099823,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",0.766996443271637
10,"Während ein experimenteller Impfstoff in der Lage scheint, die Ebola-Mortalität zu reduzieren, wurden bisher keine Arzneimittel eindeutig nachgewiesen, die für die Behandlung bestehender Infektionen geeignet sind.","Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",0.9337394833564758,"Während ein experimenteller Impfstoff anscheinend in der Lage ist, die Ebola-Mortalität zu verringern, wurde bislang kein Medikament als eindeutig geeignet zur Behandlung einer bestehenden Infektion nachgewiesen.",0.931201696395874
11,"Ein Antikörper-Cocktail, ZMapp, zeigte zunächst Versprechen auf dem Gebiet, aber formale Studien zeigten, dass es weniger Nutzen als bei der Verhinderung des Todes angestrebt.","Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",0.6231522560119629,"Ein Antikörpercocktail, ZMapp, zeigte zunächst vielversprechende Ergebnisse in diesem Bereich, aber formelle Studien ergaben, dass er weniger Nutzen bei der Verhinderung von Todesfällen hatte als erhofft.",0.6426107287406921
12,"In der PALM-Studie diente ZMapp als Kontrolle, d.h. Wissenschaftler verwendeten sie als Ausgangsbasis und verglichen die drei anderen Behandlungen mit ihr.","In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.",0.9154517650604248,"In der PALM-Studie diente ZMapp als Kontrollmittel, was bedeutet, dass die Wissenschaftler es als Basis verwendeten und die drei anderen Behandlungen mit ihm verglichen.",0.8789554238319397
13,"USA Gymnastik unterstützt den Brief des United States Olympic Committee und akzeptiert das absolute Bedürfnis der olympischen Familie, ein sicheres Umfeld für alle unsere Athleten zu fördern.","USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.",0.8618773818016052,"Die USA Gymnastik unterstützt den Brief des United States Olympic Committee und akzeptiert die absolute Notwendigkeit der Olympischen Familie, ein sicheres Umfeld für alle unsere Athleten zu fördern.",0.907865583896637
14,"Wir stimmen mit der Aussage des USOC überein, dass die Interessen unserer Athleten und Vereine und ihres Sports besser genutzt werden können, indem wir mit sinnvollen Veränderungen innerhalb unserer Organisation vorankommen und nicht mit einer Dezertifizierung.","Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.",0.8699390292167664,"Wir stimmen der Erklärung des USOC zu, dass die Interessen unserer Athleten und Vereine sowie ihres Sports besser durch eine sinnvolle Veränderung innerhalb unserer Organisation bedient werden können, anstatt durch eine Aberkennung der Zertifizierung.",0.8586000800132751
15,"Die USA Gymnastik unterstützt eine unabhängige Untersuchung, die aufzeigen könnte, wie der Missbrauch des so mutig von den Überlebenden von Larry Nassar beschriebenen Anteils so lange unentdeckt geblieben sein könnte und alle notwendigen und angemessenen Veränderungen umfasst.","USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.",0.7350137829780579,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die möglicherweise aufdecken kann, wie der Missbrauch in dem Maße, wie ihn die Überlebenden von Larry Nassar so mutig beschrieben haben, so lange unentdeckt bleiben konnte, und begrüßt alle notwendigen und angemessenen Veränderungen.",0.723475456237793
16,"Die USA Gymnastik und das USOC haben das gleiche Ziel: Den Sport der Gymnastik und andere so sicher wie möglich zu machen, damit Sportler ihren Träumen in einer sicheren, positiven und gestärkten Umgebung folgen können.","USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.",0.8370141983032227,"Die USA Gymnastics und das USOC haben dasselbe Ziel – den Leistungssport Gymnastik und andere Sportarten so sicher wie möglich zu gestalten, damit Athleten ihre Träume in einer sicheren, positiven und gestärkten Umgebung verfolgen können.",0.8575379252433777
17,Während der 1960er Jahre arbeitete Brzezinski für John F. Kennedy als sein Berater und dann die Lyndon B. Johnson Verwaltung.,Während der 1960er-Jahre arbeitete Brzezinski als Berater für John F. Kennedy sowie anschließend für die Regierung rund um Lyndon B. Johnson.,0.8672089576721191,Während der 1960er Jahre arbeitete Brzezinski als Berater für John F. Kennedy und anschließend für die Verwaltung von Lyndon B. Johnson.,0.8984893560409546
18,Von 1977 bis 1981 war er als National Security Advisor (NSA) als Nachfolger von Henry Kissinger tätig.,Während der Wahlen im Jahre 1976 beriet er Carter in der Außenpolitik und diente dann von 1977 bis 1981 in Nachfolge von Henry Kissinger als als nationaler Sicherheitsberater (NSA).,0.8362478613853455,Während der Auswahlverfahren 1976 beriet er Carter in Fragen der Außenpolitik und diente dann von 1977 bis 1981 als Nationaler Sicherheitsberater (NSA) und folgte Henry Kissinger nach.,0.8308321237564087
19,"Als NSA unterstützte er Carter beim diplomatischen Umgang mit Weltangelegenheiten, wie z.B. das Camp David Accords, 1978; die Normalisierung der Beziehungen zwischen den USA und China dachte an die späten 1970er Jahre; die iranische Revolution, die 1979 zur Geiselkrise im Iran führte; und die sowjetische Invasion in Afghanistan 1979.","Als nationaler Sicherheitsberater unterstützte er Carter bei der diplomatischen Handhabung von Weltangelegenheiten wie dem Camp-David-Abkommen von 1978, der Normalisierung der Beziehungen zwischen den USA und China Ende der 1970er Jahre, der iranischen Revolution, die zur Geiselkrise im Iran 1979 führte, und der sowjetischen Invasion in Afghanistan 1979.",0.7116974592208862,"Als NSA unterstützte er Carter dabei, weltpolitische Angelegenheiten diplomatisch zu regeln, wie zum Beispiel die Camp-David-Abkommen von 1978; die Normalisierung der US-amerikanischen Beziehungen zu China in den späten 1970er Jahren; die iranische Revolution, die zur Geiselnahme im Iran von 1979 führte; und die sowjetische Invasion in Afghanistan von 1979.",0.7838065028190613
20,"Der Film, mit Ryan Gosling und Emma Stone, erhielt Nominierungen in allen wichtigen Kategorien.",Der Film mit Ryan Gosling und Emma Stone hat Nominierungen in allen Hauptkategorien erhalten.,0.9349612593650818,Der Film mit Ryan Gosling und Emma Stone erhielt Nominierungen in allen wichtigen Kategorien.,0.9498493075370789
21,Gosling und Stone erhielten Nominierungen für die besten Schauspieler und Schauspielerin.,Gosling und Stone wurden als bester Schauspieler beziehungsweise beste Schauspielerin nominiert.,0.9015348553657532,Gosling und Stone erhielten Nominierungen für den besten Schauspieler bzw. die beste Schauspielerin.,0.9383464455604553
22,"Zu den weiteren Nominierungen gehören Best Picture, Director, Cinematography, Costume Design, Film-Editing, Original Score, Production Design, Sound Editing, Sound Mixing und Original Drehbuch.","Weitere Nominierungen gibt es zum Beispiel für den besten Film, die Regie, die Kameraführung, das Kostümbild, den Schnitt, die Original-Filmmusik, das Produktionsdesign, den Tonschnitt, die Tonmischung und das Original-Drehbuch.",0.7391746044158936,"Die weiteren Nominierungen umfassen Beste Film, Regie, Kamera, Kostümbild, Film-Editing, Originalmusik, Produktionsdesign, Tonbearbeitung, Sound Mixing und Originaldrehbuch.",0.8542398810386658
23,"Zwei Songs aus dem Film, Audition (The Fools Who Dream) und City of Stars, erhielten Nominierungen für den besten Original-Song. Lionsgate Studio erhielt 26 Nominierungen – mehr als jedes andere Studio.","Zwei Lieder aus dem Kinofilm, Audition (The Fools Who Dream) und City of Stars, bekamen Nominierungen für das beste eigenständige Lied. Lionsgate Studio bekam 26 Nominierungen – mehr als jedes andere Filmstudio.",0.8903647065162659,"Zwei Lieder aus dem Film, Audition (The Fools Who Dream) und City of Stars, erhielten Nominierungen für den besten Song. Das Studio Lionsgate erhielt 26 Nominierungen – mehr als jedes andere Studio.",0.9144918322563171
24,"Am späten Sonntag kündigte der US-Präsident Donald Trump in einer Erklärung über den Pressesekretär an, dass US-Truppen Syrien verlassen würden.","Am späten Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer durch den Pressesekretär verlesenen Erklärung an, dass die US-Truppen Syrien verlassen würden.",0.9040922522544861,"Spät am Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer Erklärung, die über den Pressesprecher übermittelt wurde, an, dass die US-Truppen Syrien verlassen würden.",0.8945966958999634
25,"Die Ankündigung erfolgte, nachdem Trump ein Telefongespräch mit dem türkischen Präsidenten Recep Tayyip Erdoğan geführt hatte.",Die Ankündigung erfolgte nach einem Telefongespräch von Trump mit dem türkischen Präsidenten Recep Tayyip Erdoğan.,0.9304822087287903,"Die Ankündigung wurde gemacht, nachdem Trump ein Telefonat mit dem türkischen Präsidenten Recep Tayyip Erdoğan geführt hatte.",0.9398555755615234
