language,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
ar,0.8610068724257639,0.8540501349112567,0.8573024274701492,0.8716016976331785,0.8694262361954359,0.8703198699746745
de,0.8955007664473408,0.8879374171870639,0.891566663327445,0.9225925613803218,0.9161815569695249,0.919269050913028
es,0.883568273769604,0.870708430851544,0.8769723446638854,0.9522570108508205,0.9491281549374501,0.9506364672988266
fr,0.9185339183864479,0.9114289133848544,0.9148404583364665,0.9438370539994535,0.9405631381951406,0.942110781660099
hi,0.8117536410659729,0.7852227647546272,0.7978463690157676,0.8220742189030998,0.7976209615499789,0.8092019098179478
it,0.8800155837737506,0.868807287951607,0.8742433185008035,0.9350990080121738,0.9312333195363705,0.933077199364183
jap,0.6084774673640073,0.625395945318929,0.616654868666585,0.612252616143965,0.6285550845610155,0.6201335660346619
ko,0.6100327000774518,0.6023396640714973,0.6054836602524073,0.6138298022325592,0.6047241060119687,0.608563837619743
pt,0.9293977265576442,0.9255770775545166,0.9273938443437516,0.9541112956297825,0.9507681673978904,0.9523726201864827
ru,0.8678910264117037,0.8589806136732806,0.8630915131873476,0.8958113766358998,0.8892166012537456,0.8921755068673345
zh,0.8515154982332009,0.8253418447384283,0.837591402255111,0.8697891186230147,0.8448797258300398,0.8566145058852345
