id,translated_japanese,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""現在,糖尿病を患わない4ヶ月前のネズミがいます.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,「以前は糖尿病だったが、今は4ヶ月齢の非糖尿病マウスがいる」と彼は付け加えた。,0.7518353462219238,0.7024533748626709,0.7263059616088867,0.7676491737365723,0.7300790548324585,0.7483928799629211
1,"ニュースコットランド の ハリファックス の ダルハウジー 大学 で 医学 の 教授 と カナダ の 糖尿病 協会 の 臨床 科学 部門 委員長 エフード ウル 博士は 研究 が まだ 初期 に おり,その 段階 に 向かっている と 警告 し まし た.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,エフド・ウル博士は、ノバスコシア州ハリファックスのダルハウジー大学の医学教授であり、カナダ糖尿病協会の臨床および科学部門の議長として、研究はまだ初期段階にあると警告しました。,0.8386715650558472,0.8421408534049988,0.8404026627540588,0.8480101823806763,0.8621381521224976,0.8550158143043518
2,"他 の 専門家 たち の よう に,糖尿病 が 治る こと が でき ない か に つい て 彼は 疑い を 抱い て い ます.この 発見 は,すでに タイプ 1 の 糖尿病 を 抱える 人 に は 関連 を 持っ て い ない こと を 指摘 し て い ます.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,他は他の専門家と同様に、糖尿病が治るかどうかについて懐疑的であり、これらの発見はすでに1型糖尿病を患っている人々には関係がないことを指摘しています。,0.728946328163147,0.7706311345100403,0.7492093443870544,0.7370206713676453,0.79482102394104,0.7648303508758545
3,"スウェーデンアカデミーのノーベル文学委員会の常任事務局長であるサラ・ダニウス氏は,スウェーデンにおけるスウェーデンラジオのラジオ番組で,ノーベル文学賞2016年受賞についてボブ・ディランに直接連絡が取れず,彼の連絡を放棄したことを公に発表した.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,月曜日、スウェーデンアカデミーのノーベル文学委員会の常任書記であるサラ・ダニウスは、スウェーデンのスヴェリゲス・ラジオのラジオ番組で公に発表しました。委員会は2016年ノーベル文学賞を受賞したボブ・ディランに直接連絡を取ることができず、彼に連絡を試みる努力を放棄したと述べました。,0.8935766220092773,0.8584007620811462,0.87563556432724,0.8750969767570496,0.8282911777496338,0.8510509729385376
4,"ダニウス氏は""今のところ,何もできない. 私は彼の最も近い同僚に電話してメールを送り,とても友好的な返信を受け取った. 今のところ,それは確かに十分です"".",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,ダニウスは言いました。「今、私たちは何もしていません。私は彼の最も近い協力者に電話をかけてメールを送り、とても親切な返事をもらいました。今のところ、それで十分です。」,0.828873872756958,0.8083111047744751,0.8184633851051331,0.8680206537246704,0.8326621055603027,0.8499737977981567
5,リングのCEO ジェイミー・シミノフは 会社の始まりは ギャラジの店から 鈴が鳴らない時だと 指摘していた,RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,以前、RingのCEOであるジェイミー・シミノフは、彼のガレージにある店からドアベルの音が聞こえなかったことが、会社が始まるきっかけだったと述べました。,0.8069660663604736,0.766027569770813,0.7859641313552856,0.8282201290130615,0.774329662322998,0.8003687858581543
6,彼はWiFiのドアベルを 建てたそうです,彼はWi-Fiで鳴るドアベルを作ったそうです。,彼はWiFiのドアベルを作ったと言いました。,0.8740459680557251,0.8542425632476807,0.8640307784080505,0.8643041849136353,0.8461563587188721,0.8551340103149414
7,"シミノフは2013年にショーパネルがスタートアップを資金提供を拒否した""サメタンク""のエピソードで出演した後,売上高が上昇したと述べた.",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,シミノフ氏は、2013年に「シャークタンク」のエピソードに出演した後、スタートアップへの資金提供をパネルが拒否したことで売上が増加したと述べました。,0.8373678922653198,0.8387516736984253,0.8380591869354248,0.888525128364563,0.8742501139640808,0.8813298344612122
8,"2017年下旬,シミノフはショッピングテレビチャンネルQVCに出演した.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末、シミノフはショッピングテレビチャンネルQVCに出演しました。,0.8802105188369751,0.8604387044906616,0.8702123165130615,0.955385148525238,0.9416340589523315,0.948459804058075
9,リングはADT株式会社との訴訟を解決した.,Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,リングは競合のセキュリティ会社、ADTコーポレーションとの訴訟も和解しました。,0.8113120794296265,0.7444940805435181,0.7764682173728943,0.8483861088752747,0.7634896039962769,0.8037021160125732
10,"エボラによる死亡率を 減らすことができるような実験ワクチンがあるが,現在まで,既存の感染を治療するのに適した薬は明らかに示されていない.",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,一つの実験的ワクチンはエボラ出血熱の死亡率を減少させることができるようですが、これまでのところ、既存の感染症の治療に適していると明確に示された薬剤はありません。,0.8220109939575195,0.7904866933822632,0.8059406876564026,0.8525251150131226,0.8102967739105225,0.8308747410774231
11,"抗体コクテル""つのZMappは当初は 野外での展望を示したが 公式の研究では 死を防ぐのに望ましいよりも 利益が少ないことを示した.",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,"以下の文を日本語に翻訳します。

「抗体カクテルの一つであるZMappは、当初この分野で希望が持たれていましたが、正式な研究では死亡を防ぐ効果が期待されたほどではないことが示されました。」",0.7985767126083374,0.7799973487854004,0.7891777157783508,0.7939920425415039,0.7186614274978638,0.7544510364532471
12,"PALM試験では ZMapp が制御機能として使われたため,科学者はそれを基軸として使用し,他の3つの治療法を比較した.",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,PALM試験では、ZMappが対照薬として用いられました。つまり、科学者たちはそれを基準として使用し、他の三つの治療法と比較しました。,0.879010021686554,0.8779774904251099,0.8784933686256409,0.8872660994529724,0.8594582080841064,0.8731407523155212
13,アメリカ体操はアメリカオリンピック委員会の手紙を支持し オリンピックの家族が 安全な環境を 促進する 絶対的な必要性を認めています,米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,USA体操は、アメリカオリンピック委員会の手紙を支持し、すべてのアスリートのために安全な環境を促進するというオリンピックファミリーの絶対的な必要性を受け入れています。,0.8585926294326782,0.7959870100021362,0.8261054158210754,0.9118742942810059,0.850372314453125,0.8800501227378845
14,認定解除ではなく組織内での 重要な変化を進めて より良い形で 選手やクラブの利益やスポーツを 果たすことができるという 声明に同意します,私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,私たちは、米国オリンピック委員会（USOC）の声明に同意します。つまり、私たちのアスリートやクラブ、そして彼らのスポーツの利益は、認証取り消しよりも、私たちの組織内での意義ある変化を進めることで、より良くされる可能性があるということです。,0.8079191446304321,0.7742526531219482,0.7907276749610901,0.8016120195388794,0.722905158996582,0.7602269053459167
15,"ラリー・ナッサーの生存者が勇敢に説明した割合の乱用が 長い間 検出されずにいられるようになったかについて 明らかにできる独立調査を支持し,必要な適切な変更を 受け入れています.",米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,USA体操は、ラリー・ナサールの生存者たちが勇敢に説明したような虐待がどのように長期間にわたり見過ごされてきたのかを明らかにする可能性のある独立した調査を支持し、必要かつ適切な変更を受け入れています。,0.8216174840927124,0.7899581789970398,0.8054769039154053,0.8774332404136658,0.8493821620941162,0.8631798624992371
16,運動選手が安全でポジティブで力づける環境で夢を追うように 運動選手をできるだけ安全にするという 目標です,米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。,USA体操連盟とアメリカオリンピック委員会（USOC）は同じ目標を持っています。それは、体操や他のスポーツを、アスリートが安全でポジティブ、そして力強い環境の中で夢を追いかけるためにできる限り安全にすることです。,0.7806845903396606,0.7103577256202698,0.7438625693321228,0.7783879637718201,0.6989879012107849,0.7365543246269226
17,"1960年代を通して,ブレジンスキはジョン・F・ケネディの顧問として働き,その後リンダン・B・ジョンソン政権に任任任した.",1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。,1960年代を通じて、ブレジンスキーはジョン・F・ケネディの顧問として働き、その後リンドン・B・ジョンソン政権でも活動しました。,0.9156315326690674,0.9202872514724731,0.9179534912109375,0.926772952079773,0.9328987002372742,0.9298257827758789
18,"1976年の選挙では,彼は外交政策に関するカーターに助言し,1977年から1981年まで国家安全保障顧問 (NSA) として働き,ヘンリー・キッシンジャーを継承した.",1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,1976年の選挙中、彼はカーターに外交政策について助言し、その後1977年から1981年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,0.8923014402389526,0.8944716453552246,0.8933852314949036,0.9305264353752136,0.9168028831481934,0.9236136078834534
19,"NSAとして1978年のキャンプ・デイヴィッド協定など,外交的に世界問題に対処するカーターを支援し,1970年代後半のアメリカと中国の関係を正常化する,1979年のイラン人質危機をもたらしたイラン革命,1979年のアフガニスタンでのソ連侵略など.",NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。,彼はNSAとして、カーター大統領が外交的に世界の問題を処理するのを支援しました。具体的には、1978年のキャンプデイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン革命によるイラン人質危機、1979年のソビエトのアフガニスタン侵 invasionなどです。,0.8507808446884155,0.8655252456665039,0.8580896854400635,0.8447552919387817,0.8286935687065125,0.8366473317146301
20,"ライアン・ゴスリングとエマ・ストーンが出演した映画は,すべての主要なカテゴリーでノミネートを受けました.",ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。,その映画はライアン・ゴスリングとエマ・ストーンが出演し、すべての主要部門でノミネートされました。,0.9248713254928589,0.9456336498260498,0.9351372718811035,0.8942834734916687,0.9157423973083496,0.9048857092857361
21,ゴスリングとストーンはそれぞれベスト俳優と女優のノミネートを受賞した.,ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。,ゴスリングとストーンは、それぞれ最優秀男優賞と最優秀女優賞にノミネートされました。,0.872331440448761,0.8603155016899109,0.8662817478179932,0.8732740879058838,0.8455969095230103,0.8592126965522766
22,"他のノミネートにはベスト映画,監督,映画,服装デザイン,映画編集,オリジナルスコア,制作デザイン,サウンド編集,サウンドミックス,オリジナル脚本などが含まれています.",最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。,他のノミネーションには、最優秀作品賞、監督賞、撮影賞、 costume  design、編集賞、オリジナルスコア、プロダクションデザイン、音響編集、音響ミキシングおよびオリジナル脚本賞が含まれます。,0.784862756729126,0.782503068447113,0.7836810946464539,0.8578552007675171,0.820077657699585,0.8385412096977234
23,"映画の2曲,オーディション (The Fools Who Dream) とシティ・オブ・スターは,ベストオリジナル・ソングにノミネートされた.ライオンズゲイト・スタジオは他のスタジオよりも26名のノミネートを受けた.",映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。,映画『オーディション（夢を描く者たち）』の「The Fools Who Dream」と「City of Stars」の2曲が最優秀オリジナル歌曲賞にノミネートされました。ライオンズゲートスタジオは26件のノミネートを受け、他のスタジオよりも多くなりました。,0.8944039344787598,0.8639301061630249,0.8789029717445374,0.8449186086654663,0.812492847442627,0.828388512134552
24,"記者部長を通じて発表した声明で,米国大統領は日曜日の深夜,シリアを退去すると発表した.",日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。,日曜日の遅い時間に、アメリカのドナルド・トランプ大統領は、広報官を通じて声明を発表し、アメリカ軍がシリアを離れることを発表しました。,0.8142468333244324,0.7800812721252441,0.7967979311943054,0.8161208629608154,0.7770112752914429,0.7960860133171082
25,"トラップはトルコ大統領レジェプ・タイイプ・エルドアンと電話で話をした後,この発表が行われました.",本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。,発表は、トランプがトルコのレジェプ・ターイップ・エルドアン大統領と電話会談を行った後に行われました。,0.8533607721328735,0.8551888465881348,0.854273796081543,0.8833585977554321,0.8719106912612915,0.8775972723960876
26,"声明によると,欧州諸国が帰還を拒否したISIS戦闘員を警備する任務もトルコが担う.",トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。,トルコはまた、声明によれば、ヨーロッパ諸国が帰国を拒否した捕虜のISIS戦闘員の警備を引き受けることになります。,0.8413621783256531,0.8201664090156555,0.8306290507316589,0.8597762584686279,0.8327684998512268,0.8460569381713867
27,これは少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく 化石は一般的にできない色や3次元配置などの詳細を提供しています,これは、少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく、色や立体配置など、一般的には化石にはない詳細な点を伝えています。,これは、少なくとも一部の恐竜が羽毛を持っていたことを確認するだけでなく（これはすでに広く受け入れられている理論です）、色や三次元的な配置など、化石では一般的に提供されない詳細も提供します。,0.8962914943695068,0.8830280303955078,0.8896102905273438,0.9155774712562561,0.829656183719635,0.8705018162727356
28,科学者はこの動物の羽は上にはカスタヌット茶色で 薄い下面が カロテノイド色だったと言います,.科学者によると、この動物の羽毛は外側が栗色で内側が暖色系の色でした。,科学者たちは、この動物の羽毛は上面が栗色で、下面は淡い色またはカロテノイド色であったと言っています。,0.7533599138259888,0.8108596801757812,0.7810529470443726,0.8605292439460754,0.8570188283920288,0.8587704300880432
29,鳥 の 羽 の 進化 に つい て も 洞察 を 与え て い ます.,この発見はまた、鳥類の羽毛の進化について探るための手がかりとなるものでした。,この発見は、鳥の羽毛の進化についての洞察も与えてくれます。,0.6768520474433899,0.7046993970870972,0.6904950141906738,0.7495126128196716,0.7880344390869141,0.7682909369468689
30,恐竜の羽はラキスと呼ばれる 十分に発達したシャフトを持っていないため 羽の他の特徴があるため  刺や刺  研究者はラキスが他の特徴よりも後の進化的発展だったと考えました,恐竜の羽毛には羽軸と呼ばれる十分に発達した軸がないものの、他の羽毛の特徴である綿羽や小羽枝があることから、研究者らは羽軸はこうした他の特徴よりも後に起きた進化であった可能性が高いと推測しています。,恐竜の羽毛には、ラキスと呼ばれるよく発達した軸がないものの、羽毛の他の特徴—バーブやバーブル—は持っているため、研究者たちはラキスがこれらの他の特徴よりも後の進化的発展である可能性が高いと推測しました。,0.8060587644577026,0.7902456521987915,0.7980738282203674,0.8617852926254272,0.8256961107254028,0.8433548212051392
31,"羽 の 構造 は,羽 が 飛行 に 用い られ た の で は なく,温度 調整 や 展示 に 用い られ た の を 示し て い ます.研究 者 たち は,この 羽 は 若い 恐竜 の 尾 で ある と し て も,その 羽 は 成人 の 羽 を 示す の で は あり,鶏 の 羽 が 落ち て いる の で は ない と 示唆 し まし た.",羽毛の構造から、飛行の目的ではなく、体温調節や視覚的効果に使用されていたと推測されます。研究者らは、これが若い恐竜の尾であるにもかかわらず、標本は大人の羽毛を示しており、ヒヨコの羽毛ではないことを示唆しました。,羽毛の構造は、それが飛行に使われたのではなく、温度調節やディスプレイのために使用されたことを示唆しています。研究者たちは、これは若い恐竜の尾であるにもかかわらず、このサンプルは雛の柔らかい羽毛ではなく、成体の羽毛を示していると提案しました。,0.7134248614311218,0.7472798228263855,0.729960024356842,0.7293159365653992,0.7510385513305664,0.740017831325531
32,研究者は このサンプルは若い恐竜の尾ですが 幼い羽の羽が 羽目ではなく 羽目を示しています,研究者らは、この標本が若い恐竜の尻尾であるにもかかわらず、ひなの羽毛ではなく大人の羽毛が生えていることを示唆している。,研究者たちは、この標本が若い恐竜の尾であるにもかかわらず、成体の羽毛を示しており、ひなの産毛ではないと提案しました。,0.7731503248214722,0.7421871423721313,0.7573524117469788,0.7839316129684448,0.7332363128662109,0.7577369809150696
33,"昨日の朝トルコのガジアンテップの警察署で爆発した自動車爆弾で警察官2人が死亡し,他の20人以上が負傷した.",昨日の朝、トルコのガジアンテップの警察本部で自動車爆弾の爆発により、警官2人が死亡し、負傷者は20人を超えました。,トルコのガジアンテプにある警察本部で昨日の朝、車の爆弾が detonatedし、2人の警察官が死亡し、20人以上の他の人々が負傷しました。,0.899828314781189,0.8811388611793518,0.8903854489326477,0.8706831336021423,0.8411151766777039,0.8556438088417053
34,州知事事務所は負傷者のうち 19人が警察官だと述べた.,知事室の報道によれば、負傷者のうち19人は警官でした。,知事の事務所は、負傷者のうち19人が警察官であると述べました。,0.8498101234436035,0.8505681157112122,0.8501890301704407,0.9268193244934082,0.9011316895484924,0.913794994354248
35,"警察は,ISILの武装分子が攻撃の責任者であると疑われていると伝えた.",警察は、攻撃に関与した過激派ダーシュ（ISIL）を疑っていると述べました。,警察は、攻撃の責任があるとされるダイシュ（ISIL）の過激派を疑っていると述べました。,0.8249461650848389,0.798250138759613,0.811378538608551,0.8522190451622009,0.8193536400794983,0.8354632258415222
36,恒星の活動が 照明力や回転によって 左右されると 分かりました,彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。星系内にあるすべての星の活動は、その光度と自転によってのみ駆動され、その他の要因はないことがわかりました。,彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。このシステム内のすべての星の活動は、その光度、回転によって駆動されており、他には何も関係していないことがわかりました。,0.7765543460845947,0.7085562944412231,0.7409986257553101,0.7746178507804871,0.6976523399353027,0.7341233491897583
37,"光度と回転は一緒に用いられ,プラズマ流量に関連した恒星のロスビー数を決定する.",光度と自転の組み合わせから、プラズマ流に関係する星のロスビー数が決定されます。,光度と回転は一緒に使われ、星のロスビー数を決定します。これはプラズマの流れに関連しています。,0.8528994917869568,0.8507457971572876,0.8518213033676147,0.8847732543945312,0.8541041612625122,0.8691682815551758
38,ロスビー数が小さいほど 磁気逆転に関して 恒星が活動が減る.,ロスビー数が小さいほど磁気反転に関して星の活性が低下するわけです。,ロスビー数が小さいほど、磁気反転に対する星の活動は少なくなります。,0.9296984076499939,0.8888310194015503,0.9088055491447449,0.9053812026977539,0.8885594010353088,0.8968914747238159
39,旅中にイワサキは何度もトラブルに巻き込まれた.,旅の途中、岩崎さんは何度もトラブルに見舞われました。,彼の旅行中、岩崎は何度も困難に直面しました。,0.8283498883247375,0.8205417394638062,0.8244273066520691,0.7762823104858398,0.7768783569335938,0.7765802145004272
41,802.11n規格は2.4Ghzと5.0Ghz周波数の両方で動作する.,802.11n規格に準拠していれば、2.4Ghzまたは5.0Ghzのどちらの周波数でも通信可能です。,802.11n標準は、2.4GHzおよび5.0GHzの両方の周波数で動作します。,0.876509428024292,0.8190752267837524,0.8468195796012878,0.9124056696891785,0.87361741065979,0.8925902843475342
42,"これにより,ベースステーションには二重ラジオがある限り,802.11a,802.11b,802.11gと逆の互換性がある.",これにより、基地局がデュアルバンド無線を搭載していれば、802.11a、802.11b、802.11gとの下位互換性を確保することができます。,これにより、基地局にデュアル無線が備わっている場合、802.11a、802.11b、802.11gとの後方互換性が確保されます。,0.8431926965713501,0.8009045720100403,0.8215047121047974,0.8561996221542358,0.8254043459892273,0.8405200242996216
43,"802.11nの速度は,理論上最大通力600Mbit/sの前駆よりもかなり速い.",802.11nの速度は、600Mbit/秒という理論上の最大スループットを持つ従来型の速度よりも大幅に高速です。,802.11nの速度はその前の規格よりも大幅に速く、最大理論スループットは600Mbit/sです。,0.8720998764038086,0.8183393478393555,0.8443647623062134,0.8553128838539124,0.8225380182266235,0.8386053442955017
44,物語 の 伝承 者 ミラー に 大きな 印象 を 留め ませ ん でし た.,既婚者であり、成人した2人の子を持つデュバルは、この話に関係するミラーにあまり印象を残しませんでした。,デュバルは結婚しており、成人した子供が二人いますが、物語を聞かされたミラーにはあまり大きな印象を残しませんでした。,0.7427865266799927,0.6961206197738647,0.7186968922615051,0.763952374458313,0.7010210752487183,0.7311350703239441
45,"ミラー氏はコメントを求めたとき ""マイクが聴衆の会場でよく話している... 私は準備をしていたので,彼が言っていることは本当に聞かなかった""と答えた.",コメントを求められたミラー氏は、「公聴会ではマイクがよくしゃべるので、私は準備をしていたので、何を言っているのかよく聞こえなかった」と述べた。,コメントを求められたミラーは、「マイクは公聴会の間ずっと話していました…私は準備をしていたので、彼が何を言っているのか本当に聞いていませんでした。」と述べました。,0.8455575704574585,0.8593446016311646,0.8523953557014465,0.8648353815078735,0.8348574638366699,0.8495820164680481
46,"""我々は,GDP単位あたり二酸化炭素排出量を2020年までに2005年水準から顕著な差分削減する""と胡氏は述べた.",「我々は、2020年までにGDPあたりの二酸化炭素排出量を2005年の水準から大幅に削減するように努力する」と胡錦濤国家主席は述べました。,「私たちは、2005年の水準から2020年までにGDP単位あたりの二酸化炭素排出量を大幅に削減するよう努める」と胡は述べました。,0.8915499448776245,0.8551825284957886,0.8729876279830933,0.8893461227416992,0.8732942342758179,0.8812471032142639
47,"削減の数字を設定しなかったが,それは中国の経済生産量に基づいて行われるだろうと述べた.",胡氏は、削減する数値を定めませんでしたが、削減は中国の経済産出量に基づいて実施されるだろうと述べました。,彼は削減の具体的な数字を示さず、中国の経済生産に基づいて行われると述べました。,0.8853667378425598,0.8317682147026062,0.8577309846878052,0.867560625076294,0.846300482749939,0.8567987084388733
48,"発展途上国 は ""まず 汚染 経路 を 避け,後 に 清掃 を する""ことを 奨励 し まし た.",胡錦濤国家主席は、発展途上国に「まず汚染してから後始末をするというこれまでのやり方を避けるように」と呼びかけました。,胡は発展途上国に「まず汚染し、その後に清掃するという古い道を避けるように」と促しました。,0.7803836464881897,0.7286444902420044,0.7536270618438721,0.8233736753463745,0.8241574168205261,0.8237653970718384
49,"開発段階や責任や能力を超えた義務を負うよう要求されるべきではない""と付け加えた.",「しかし、発展段階、責任、能力を超えた義務を負うことを求められてはならない」と付け加えました。,彼は、「彼らに対して、発展段階、責任、能力を超える義務を負わせるべきではない」と付け加えました。,0.8876743912696838,0.8593496084213257,0.8732823133468628,0.8727384209632874,0.8174484968185425,0.8441891074180603
50,イラク研究グループは今日12時 (GMT) に報告書を提出しました,イラク研究会は、本日12時GMTに報告書を公開しました。,イラク調査団は、今日のグリニッジ標準時12時に報告書を発表しました。,0.8856993913650513,0.8935617804527283,0.8896132707595825,0.8712126016616821,0.8281344175338745,0.8491275310516357
51,警告 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 イスラム教 ,警告の内容は、現時点でイラクでどのような行動をとっても、宗派間抗争や暴力の拡大、あるいは混沌への滑落を阻止しうると保証できる者はいないというものでした。,"次のように翻訳できます：

「警告します。今の時点でイラクでのどの行動も、宗派間戦争の停止、暴力の増加、または混乱への滑りを止めることを保証する者はいません。」",0.5012410283088684,0.5293181538581848,0.5148971080780029,0.4880819618701935,0.495012104511261,0.49152258038520813
52,報告書はオープンな議論と中東政策に関する米国での合意形成を促すことで始まります,報告書の冒頭は、公開討論と中東政策について米国内のコンセンサス形成を嘆願する一節で始まっています。,レポートは、中東に対する政策に関してアメリカ合衆国での公開討論と合意形成を求める訴えから始まります。,0.8311209082603455,0.8017269372940063,0.8161593675613403,0.8495447039604187,0.8395674228668213,0.8445265293121338
53,"この報告書は,イラクに対する行政当局の現在の政策のほぼすべての側面を極めて批判し,即時方向転換を促す.",本報告書は、イラクに対する行政府の現在の政策のほぼすべての側面を強く批判し、即時の方向転換を促すものです。,報告は、イラクに対する執行部の現在の政策のほぼすべての側面に対して非常に批判的であり、即時の方向転換を促しています。,0.9501892328262329,0.9390373229980469,0.9445803761482239,0.900393009185791,0.8796947002410889,0.8899235725402832
