id,translated_arabian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""لدينا الآن فأر عمرها أربعة أشهر غير مرضى السكري وكانوا مرضى السكري""، أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",5.962386911058806,"قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",8.315541271786907
1,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس القسم السريري والعلمي لجمعية السكري الكندية من أن البحث لا يزال في أوائل أيامه.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,41.686725056177366,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,61.70325677934913
2,مثل بعض الخبراء الآخرين، هو متشكك فيما إذا كان يمكن علاج مرض السكري، مشيرا إلى أن هذه النتائج ليست ذات صلة للأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,28.31053484743382,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,57.7510755728874
3,يوم الاثنين، أعلنت سارة دانيوس، الأمين الدائم لجنة نوبل للأدب في الأكاديمية السويدية، علناً خلال برنامج راديوي على راديو سويفيرجيز في السويد، أن اللجنة، بعد عدم قدرتها على الاتصال بوب ديلان مباشرة حول الفوز بجائزة نوبل للأدب في عام 2016، قد تركت جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,16.19191762597481,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,20.813684417534212
4,"وقال دانيوس: ""في الوقت الحالي لا نفعل شيئاً. اتصلت وأرسل رسائل إلكترونية إلى أقرب موظف له وحصل على إجابات ودية للغاية.","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",5.7554296723397105,"قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",4.596676907304634
5,"في وقت سابق، قال الرئيس التنفيذي لـ ""رينغ""، جيمي سيمينوف، إن الشركة بدأت عندما لم يسمع جرس الباب من متجر في المرآب.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,13.796620851017119,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,16.608390716251986
6,"لقد قام ببناء جرس الباب على شبكة ""وايفاي"" قال",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,4.456882760699063,قال إنه صنع جرس باب يعمل بالواي فاي.,4.456882760699063
7,"قال سيمينوف أن المبيعات ارتفعت بعد ظهوره في 2013 في حلقة ""شارك تانك"" حيث رفضت لجنة العرض تمويل الشركة الناشئة.",قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,44.90332324149124,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",29.946844243697253
8,في أواخر عام 2017، ظهر سيمينوف على قناة التلفزيون التسوق QVC.,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",28.56349697533047,في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,41.72261448611506
9,"كما حلّ رينغ دعوى قضائية مع شركة أمن منافسة، شركة ""إد تي""",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,19.67497981115564,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,17.05580517632183
10,في حين أنّ لقاحًا تجريبيًا واحدًا يبدو قادرًا على تقليل وفيات الإيبولا، لم يثبت حتى الآن أنّه لا يوجد أيّ أدوية مناسبة لعلاج العدوى الحالية.,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,8.040993409646841,بينما يبدو أن لقاحاً تجريبياً واحداً قادر على تقليل معدل وفيات الإيبولا، وحتى الآن، لم يتم إثبات فعالية أي أدوية لعلاج العدوى الحالية بشكل واضح.,8.84896671676809
11,كان كوكتيل واحد من الأجسام المضادة، ZMapp، في البداية أظهر الوعد في المجال، ولكن الدراسات الرسمية أظهرت أنه كان له فائدة أقل من المطلوب في منع الموت.,كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,27.656988676950363,أظهر مزيج الأجسام المضادة المعروف باسم زيماب في البداية وعداً في هذا المجال، لكن الدراسات الرسمية أظهرت أنه كان له فائدة أقل مما تم السعي إليه في الحيلولة دون الوفاة.,26.711142634208503
12,في تجربة PALM، عمل ZMapp كمركز تحكم، وهذا يعني أن العلماء استخدموه كخط أساسي ومقارنة العلاجات الثلاث الأخرى معه.,في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,10.380235015651325,في تجربة PALM، كان ZMapp يعمل كجهاز تحكم، مما يعني أن العلماء استخدموه كقاعدة وقارنوا العلاجات الثلاثة الأخرى به.,19.83544145418288
13,تدعم رياضة الرياضة الأمريكية رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة لعائلة الألعاب الأولمبية لتعزيز بيئة آمنة لجميع رياضينا.,تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.,33.92375549949802,تدعم جمعية الجمباز الأمريكية رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة لعائلة الألعاب الأولمبية لتعزيز بيئة آمنة لجميع رياضينا.,84.92326635760693
14,نحن نتفق مع بيان اللجنة الأمريكية للرياضة بأن مصالح رياضيينا و النوادي، و رياضتهم، قد تكون أفضل خدمة من خلال التقدم إلى الأمام مع تغييرات ذات مغزى داخل منظمتنا، بدلا من إزالة الشهادات.,نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح الرياضيين والأندية، ورياضتهم، يمكن أن تُخدم بشكل أفضل من خلال المضي قدماً في تغيير ذي مغزى داخل مؤسستنا، بدلاً من سحب التراخيص.,11.084119214562044,نحن نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح رياضيينا وأنديتنا ورياضتنا قد يتم خدمتها بشكل أفضل من خلال المضي قدمًا نحو تغيير ذي مغزى داخل منظمتنا، بدلاً من إلغاء التصديق.,19.532265607774455
15,تدعم جامنة الولايات المتحدة تحقيقًا مستقلًا قد يضيء الضوء على كيفية عدم اكتشاف سوء استخدام النسبة التي وصفها بجرأة من قبل الناجين من لاري ناصر لفترة طويلة ، ويضم أي تغييرات ضرورية وملائمة.,تدعم الولايات المتحدة للجمباز تحقيقًا مستقلًا قد يسلط الضوء على أن وصف الإساءة النسبية بشجاعةٍ من قبل الناجين من لاري نصار قد كان من الممكن ألا يتم اكتشافه لفترة طويلة بدون احتضان أية تغييرات ضرورية ومناسبة.,17.363784587610674,تدعم الجمباز الأمريكية تحقيقًا مستقلاً قد يسلط الضوء على كيفية عدم اكتشاف الإساءة بالقدر الذي وصفه الناجون من لاري ناصر بشجاعة لفترة طويلة، وتؤيد أي تغييرات ضرورية ومناسبة.,18.415196617592137
16,تمارس رياضة الرياضة في الولايات المتحدة الأمريكية والجنة الرياضية الأمريكية نفس الهدف  جعل رياضة الرياضة الرياضية وغيرها آمنة قدر الإمكان لمتسابقين الرياضيين لمتابعة أحلامهم في بيئة آمنة وإيجابية وتمكينية.,لدى الولايات المتحدة الأمريكية للجمباز و اللجنة الأولمبية الأمريكية نفس الهدف — وهو جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين لتحقيق أحلامهم في بيئة آمنة وإيجابية وقوية.,22.20852593083405,تهدف اتحاد الجمباز الأمريكي واللجنة الأولمبية الأمريكية إلى تحقيق نفس الهدف - وهو جعل رياضة الجمباز وغيرها من الرياضات آمنة قدر الإمكان للرياضيين لمتابعة أحلامهم في بيئة آمنة وإيجابية وممكّنة.,23.154035404431827
17,خلال الستينيات، عمل برزينسكي لجون كينيدي كمستشار له ومن ثم لإدارة ليندون ب. جونسون.,وفي ستينيات القرن الماضي، عمل بريجنسكي مستشاراً لجون إف كينيدي ثم عمل في إدارة ليندون جونسون.,6.284749190672594,خلال ستينيات القرن العشرين، عمل بريجنسكي كمستشار لدى جون كينيدي ثم لدى إدارة ليندون بي. جونسون.,10.573119961590265
18,خلال الانتخابات عام 1976 ، أقدم المشورة لكارتر بشأن السياسة الخارجية ، ثم شغل منصب مستشار الأمن القومي (NSA) من عام 1977 إلى عام 1981 ، خلفاً لهنري كيسنجر.,وخلال اختيارات عام 1976، عمل مستشاراً لكارتر للسياسة الخارجية، ثم عمل مستشاراً للأمن القومي من عام 1977 إلى عام 1981 خلفاً لهنري كيسنجر.,23.623790626704146,خلال اختيارات عام 1976، قدم النصيحة لكارتر بشأن السياسة الخارجية، ثم شغل منصب مستشار الأمن القومي من عام 1977 حتى 1981، خلفاً لهنري كيسنجر.,29.91528889155786
19,كمنظمة الأمن القومي، ساعد كارتر في التعامل الدبلوماسي مع الشؤون العالمية، مثل اتفاقات كامب ديفيد، 1978؛ عودة العلاقات الأمريكية إلى الصين إلى النظام التنفيذي في أواخر السبعينيات؛ الثورة الإيرانية، التي أدت إلى أزمة الرهائن الإيرانية، 1979; والغزو السوفيتي في أفغانستان، 1979.,خلال شغله لمنصب مستشار في الأمن القومي، ساعد كارتر ديبلوماسياً في إدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في أواخر السبعينيات؛ والثورة الإيرانية التي أدت إلى كارثة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.,12.19952310643035,بصفته مستشاراً للأمن القومي، ساعد كارتر في التعامل الدبلوماسي مع الشؤون العالمية، مثل اتفاقيات كامب ديفيد عام 1978؛ تطبيع العلاقات الأمريكية-الصينية خلال أواخر السبعينيات؛ الثورة الإيرانية التي أدت إلى أزمة الرهائن في إيران عام 1979؛ والغزو السوفيتي لأفغانستان عام 1979.,35.63043361874207
20,حصل الفيلم، الذي يضم رايان غوسلينغ وإيما ستون، على ترشيحات في جميع الفئات الرئيسية.,وقد تلقى الفيلم الذي يضم رايان غوسلينغ وإيما ستون، ترشيحات في جميع الفئات الرئيسية.,64.75445426291287,نال الفيلم، الذي يضم رايان غوسلينغ وإيما ستون، ترشيحات في جميع الفئات الرئيسية.,72.41577342575832
21,تلقى غوسلينغ وستون ترشيحات أفضل ممثل وممثلة على التوالي.,تلقى جوسلينغ وستون ترشيحات لأفضل ممثل وممثلة على الترتيب.,21.36435031981171,تلقى جوسلينغ وستون ترشيحات لجائزة أفضل ممثل وممثلة على التوالي.,54.182204258059556
