id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:""现在我们有4个月的小鼠,它们不是糖尿病患者,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,15.237043787179804,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,16.25961127116845
1,"哈利法克斯大学医学教授,加拿大糖尿病协会临床和科学部门主席埃胡德·乌尔博士警告说,研究仍处于早期阶段.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,46.128278163504085,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,52.656111502004805
2,"他也怀疑糖尿病是否可以治愈,他指出这些发现对已经患有1型糖尿病的人没有任何意义.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,29.908651931982064,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,41.343273572769874
3,"瑞典文学奖委员会常任秘书萨拉·丹尼乌斯周一在瑞典斯威尔德广播电台的一次电台节目中公开宣布,委员会无法直接联系布勃·迪伦获奖,2016年诺贝尔文学奖,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,34.51600138267048,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,35.7916525809048
4,"丹尼斯说:""目前我们没有做任何事情.我已经打电话给他最亲密的合作伙伴,",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,4.938190492323654,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,7.676978670128193
5,"之前,环球公司首席执行官Jamie Siminoff表示,公司成立时,",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,4.55329817440988,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,14.405487034596648
6,他说他建造了一个WiFi门钟.,他称，他制作了一个 WiFi 门铃。,31.727218786905187,他说他做了一个WiFi门铃。,42.40125351805035
7,"辛诺夫表示,他在2013年在""鱼坦克""一集中出现在之后,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,2.1467534486681115,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,1.4179434565851787
8,"2017年底,Siminoff出现在购物电视频道QVC上.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,12.12405086660239,在2017年末，Siminoff出现在购物电视台QVC上。,48.80217780091717
9,环球公司还与竞争对手的安全公司ADT公司达成了诉讼.,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,27.58270890633044,Ring还与竞争对手安全公司ADT公司达成了和解。,56.9786365554479
10,"虽然有试验疫苗可以减少埃博拉死亡率,但到目前为止,",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,5.299130855514411,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,12.861698884829979
11,"一种抗体尾酒,ZMapp,最初在该领域有望,但正式研究表明它在预防死亡方面具有比寻求的更少的好处.",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,29.188351920921047,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,37.447438006572405
12,"在PALM试验中,ZMapp作为一个控制,这意味着科学家将其作为一个基线,并将其其他三种治疗方法与它进行了比较.",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,32.417798839433026,在PALM试验中，ZMapp被作为对照，意味着科学家将其作为基准，并将其他三种治疗与其进行比较。,41.14456730013596
13,"美国体操运动会支持美国奥运会的信, 并接受奥运会家庭的绝对需要,",美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,17.869842584719056,美国体操协会支持美国奥林匹克委员会的信件，并接受奥林匹克大家庭在为我们的运动员提供安全环境方面的绝对必要性。,19.503452752530613
14,"我们同意美国体育委员会的声明, 通过在组织内部进行有意义的变化而不是退牌,",我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,17.676105889075988,我们同意美国奥林匹克委员会的声明，即我们的运动员、俱乐部和他们的运动的利益可能通过在我们组织内部推进有意义的变革，而不是取消认证，得到更好的服务。,17.417214710050818
15,"美国体操运动支持一个独立的调查, 能够揭示拉里·纳萨尔幸存者如何勇敢地滥用描述的比例,",根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,8.525266543347433,美国体操协会支持一项独立调查，以揭示拉里·纳萨尔的幸存者们所勇敢描述的虐待情况是如何能够长时间未被发现的，并且欢迎任何必要和适当的变革。,19.30144842978107
16,"美国体操运动和美国体育运动委员会都致力于使体操运动和其他运动员在安全,积极和赋权的环境中实现他们的梦想.",美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,31.41537852592542,美国体操协会和美国奥林匹克委员会有着相同的目标——让体操及其他运动尽可能安全，让运动员在一个安全、积极和充满力量的环境中追梦。,20.766020338754313
17,"在20世纪60年代,布雷兹辛斯基担任约翰·F·肯尼迪的顾问,然后是林登·B·约翰逊政府.",20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,22.345180535342738,在1960年代，布热津斯基为约翰·F·肯尼迪担任顾问，随后又为林登·约翰逊政府工作。,28.543870606762244
18,"在1976年选举期间,他就外交政策咨询了卡特,然后于1977年至1981年担任国家安全顾问 (NSA),继任亨利·基辛格.",在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,37.70381206854895,在1976年的选举中，他向卡特提供了外交政策的建议，随后在1977年至1981年期间担任国家安全顾问，接替亨利·基辛格。,39.64134956321117
19,"作为美国国家安全局,他协助卡特外交上处理世界事务,如1978年坎普戴维协议;在1970年代末的美国与中国关系正常化;导致伊朗人质危机的伊朗革命,1979年;以及苏联入侵阿富汗,1979年.",身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,39.205955135413994,作为国家安全顾问，他协助卡特在外交上处理世界事务，例如1978年的戴维营协议；在1970年代末期正常化美中关系；伊朗革命，这导致了1979年的伊朗人质危机；以及1979年苏联入侵阿富汗。,44.67960799882654
20,"这部电影,由Ryan Gosling和Emma Stone饰演,在所有主要类别中获得了提名.",这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,7.081981110998561,这部电影，由瑞恩·高斯林和艾玛·史东主演，获得了所有主要类别的提名。,26.304733978084094
21,戈斯林和石头分别获得最佳男演员和女演员提名.,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,18.73917544901102,戈斯林和斯通分别获得了最佳男演员和最佳女演员的提名。,42.6044056889975
22,"其他提名包括最佳电影,导演,电影,服装设计,电影编辑,原创乐谱,制作设计,声音编辑,声音混合和原创剧本.",其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,21.837679595107,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳剪辑、最佳原创音乐、最佳美术设计、最佳音效剪辑、最佳音效混音和最佳原创剧本。,19.876090098870474
23,"电影中的两个歌曲,听证会 (The Fools Who Dream) 和星星之城,获得最佳原创歌曲提名.狮子城工作室获得了26个提名,比任何其他工作室都多.",该电影的两首歌曲《追梦痴子心》和《星光之城》获得了最佳原创歌曲的提名。狮门影业获得了 26 项提名，比其他任何一家工作室都要多。,22.20258936285077,电影《试镜》（《梦想愚者》）中的两首歌《Audition (The Fools Who Dream)》和《City of Stars》获得了最佳原创歌曲提名。狮门影业获得了26项提名——这是所有影业中最多的。,23.751193964427095
24,"美国总统特朗普在一份通过新闻秘书发表的声明中宣布,",周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。,25.595682724738314,星期天晚些时候， 美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美国军队将离开叙利亚。,22.701334100298713
25,总统特朗普与土耳其总统埃尔多安进行电话对话后宣布这一消息.,特朗普与土耳其总统雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）通话后发表了声明。,30.53697036077789,在特朗普与土耳其总统雷杰普·塔伊普·埃尔多安通话后，宣布了这一消息。,40.16556154365502
26,"据声明,土耳其还将负责监护被俘的伊斯兰国战士,",该声明称，土耳其还将接管对被捕的伊斯兰国武装分子的看守任务；欧洲国家拒绝将他们遣送回国。,13.605658928380704,土耳其还将负责看守被捕的ISIS战斗人员，声明指出，欧洲国家拒绝遣返这些人员。,17.286103184414074
27,"这不仅证实至少有些恐龙有羽毛,这是一个已经广泛的理论,",这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。,16.868545543841385,这不仅确认了至少一些恐龙有羽毛，这个理论已经十分普遍，还提供了化石通常无法提供的细节，比如颜色和三维排列。,10.949130278973756
28,"科学家说,这只动物的羽毛上面是栗色的,下面是白色或色的.",科学家表示，这种动物的羽毛顶部为栗棕色，底部为浅色或胡萝卜色。,17.9551350488157,科学家表示，这种动物的羽毛上面是栗棕色的，下面则是浅色或类胡萝卜素的颜色。,29.644789760327125
29,发现还提供了对鸟类羽毛的进化的了解.,这一发现也有助于深入了解鸟类羽毛的进化。,35.20789476529883,这个发现还提供了对鸟类羽毛演化的深入了解。,54.86377285000455
30,"因为恐龙羽毛没有一个发达的轴,称为rachis,但有其他羽毛的特征 刺和刺 研究人员推断了rachis可能是后来的进化发展",恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。,14.109234576948683,因为恐龙的羽毛没有发达的轴心，称为羽轴，但有羽毛的其他特征——羽枝和羽小枝——研究人员推测羽轴可能是这些其他特征之后的一个演化发展。,22.914475834245163
31,"虽然这是一只年轻恐龙的尾巴,但样本显示成年羽毛,而不是小的下面.",羽毛的结构表明它们不是用来飞行的，而是用来调节温度或炫耀的。研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成熟的羽衣，而不是幼崽的羽毛。,13.679886410924677,羽毛的结构表明它们不是用来飞行的，而是用于温度调节或展示。研究人员提出，尽管这是一只年轻恐龙的尾巴，但样本显示出成年羽毛，而不是幼鸟的绒毛。,16.572184826778482
32,"研究人员认为,尽管这是一个年轻恐龙的尾巴,",研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成年羽毛，而非雏龙的绒毛。,25.897881449745398,研究人员建议，即使这是一只年轻恐龙的尾巴，样本显示的是成年羽毛，而不是小鸟的绒毛。,17.557494321957865
33,"昨天早上在土耳其加西安特普警察总部爆炸的汽车炸弹造成两名警察死亡,另外二十多人受伤.",昨日上午，土耳其加齐安泰普（Gaziantep）的警察总部发生了一起汽车炸弹爆炸事件，该事件导致两名警察死亡，20 余人受伤。,25.307805775899784,昨天早晨，在土耳其加济安泰普的警察总部发生了一起汽车炸弹爆炸事件，导致两名警察遇难，另有超过二十人受伤。,26.117199809178878
34,"州长办公室说,受伤者中有19名是警察.",州长办公室表示，伤者中有十九人是警察。,38.15605155188441,州长办公室表示，有十九名受伤者是警察。,32.63230087258893
35,"警方表示,他们怀疑一名据称是伊斯兰国 (ISIL) 武装分子负责袭击.",警方说他们怀疑一名疑似伊斯兰国 (ISIL) 的武装分子发动了这场袭击。,44.536772636240805,警方表示，他们怀疑一名涉嫌的“伊斯兰国” (ISIL) 武装分子对这起攻击负有责任。,41.1022754204707
36,"他们发现太阳与其他恒星一样运行基本原理:系统中的所有恒星的活动都由它们的亮度,旋转,而没有其他因素驱动.",他们发现，太阳和其他恒星的运行原理是一样的：星系中所有恒星的活跃度都完全决定于它们的光度和自转。,24.579377586164153,他们发现太阳的运作遵循与其他恒星相同的基本原则：发现系统中所有恒星的活动都是由它们的亮度、旋转驱动的，而没有其他因素。,48.02961165174222
37,"光和旋转被用来确定恒星的罗斯比号,这与等离子体流相关.",一颗恒星的罗斯贝数由其光度和旋度共同决定，与等离子体流有关。,30.38575093383768,亮度和旋转一起用于确定恒星的罗斯比数，这与等离子体流动有关。,47.12585248686932
38,"罗斯比号数越小,星星对磁反转的活力就越少.",罗斯贝数越小，恒星在磁场倒转方面就越不活跃。,10.60733125223905,罗斯比数越小，星星在磁场反转方面的活动性越低。,14.693534958930112
39,"在旅途中,伊瓦萨基多次遇到了麻烦.",在旅途中，岩崎在很多场合碰到了麻烦。,27.805272316398217,在他旅行期间，岩崎多次遇到麻烦。,18.295654224495205
40,"他被海盗抢劫,在西藏被狂犬袭击,在尼泊尔逃离婚姻,",他曾被海盗抢劫，在西藏被疯狗袭击，在尼泊尔逃婚，还曾在印度被捕。,31.042060348274465,,
41,802.11n标准在2.4Ghz和5.0Ghz频率上运行.,802.11n 标准在 2.4Ghz 和 5.0Ghz 频率上都可运行。,67.82635235687796,802.11n标准在2.4GHz和5.0GHz频率上均可工作。,24.79427735122722
42,"这将使其能够与802.11a,802.11b和802.11g相兼容,前提是基站具有双式无线电.",它能向后兼容 802.11a、802.11b 和 802.11g，前提是基站要有双无线电。,23.36893631298636,这将使其与802.11a、802.11b和802.11g向后兼容，前提是基站必须有双无线电。,32.26029771309608
43,"802.11n的速度比其前任的速度要快得多,其理论上最大吞吐量为600Mbit/s.",802.11n 的速度大大快于前代技术，最大理论吞吐量可达 600Mbit/s。,17.20265021478717,802.11n的速度远远快于其前辈，最大理论吞吐量达到600Mbit/s。,17.931514269590757
44,"杜瓦尔结婚,有两个成年子女,但他对米勒没有留下很大的印象.",杜瓦尔已婚，有两个已经成年的孩子，他并没有给故事的讲述者米勒留下太大印象。,10.240868543755836,杜瓦尔已婚且有两个成年子女，对米勒并没有留下很深的印象，故事是由他转述的。,34.48016051267121
