id,translated_arabian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""لدينا الآن فأر عمرها أربعة أشهر غير مرضى السكري وكانوا مرضى السكري""، أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",0.5933355093002319,"قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",0.6176739931106567
1,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس القسم السريري والعلمي لجمعية السكري الكندية من أن البحث لا يزال في أوائل أيامه.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,0.8852992653846741,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,0.9076177477836609
2,مثل بعض الخبراء الآخرين، هو متشكك فيما إذا كان يمكن علاج مرض السكري، مشيرا إلى أن هذه النتائج ليست ذات صلة للأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,0.9103913307189941,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,0.9292697906494141
3,يوم الاثنين، أعلنت سارة دانيوس، الأمين الدائم لجنة نوبل للأدب في الأكاديمية السويدية، علناً خلال برنامج راديوي على راديو سويفيرجيز في السويد، أن اللجنة، بعد عدم قدرتها على الاتصال بوب ديلان مباشرة حول الفوز بجائزة نوبل للأدب في عام 2016، قد تركت جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,0.8042938113212585,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,0.799106240272522
4,"وقال دانيوس: ""في الوقت الحالي لا نفعل شيئاً. اتصلت وأرسل رسائل إلكترونية إلى أقرب موظف له وحصل على إجابات ودية للغاية.","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",0.8602103590965271,"قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",0.8765244483947754
5,"في وقت سابق، قال الرئيس التنفيذي لـ ""رينغ""، جيمي سيمينوف، إن الشركة بدأت عندما لم يسمع جرس الباب من متجر في المرآب.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,0.7831833362579346,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,0.8150029182434082
6,"لقد قام ببناء جرس الباب على شبكة ""وايفاي"" قال",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,0.7199248671531677,قال إنه صنع جرس باب يعمل بالواي فاي.,0.7164310812950134
7,"قال سيمينوف أن المبيعات ارتفعت بعد ظهوره في 2013 في حلقة ""شارك تانك"" حيث رفضت لجنة العرض تمويل الشركة الناشئة.",قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,0.9199720025062561,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",0.9114871621131897
8,في أواخر عام 2017، ظهر سيمينوف على قناة التلفزيون التسوق QVC.,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",0.8935520052909851,في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,0.9347400665283203
9,"كما حلّ رينغ دعوى قضائية مع شركة أمن منافسة، شركة ""إد تي""",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8915933966636658,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8483372926712036
10,في حين أنّ لقاحًا تجريبيًا واحدًا يبدو قادرًا على تقليل وفيات الإيبولا، لم يثبت حتى الآن أنّه لا يوجد أيّ أدوية مناسبة لعلاج العدوى الحالية.,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,0.9113072752952576,بينما يبدو أن لقاحاً تجريبياً واحداً قادر على تقليل معدل وفيات الإيبولا، وحتى الآن، لم يتم إثبات فعالية أي أدوية لعلاج العدوى الحالية بشكل واضح.,0.9154092073440552
