id,translated_german,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Wir haben jetzt vier Monate alte Mäuse, die nicht diabetisch sind und früher diabetisch waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",0.8327710032463074,"„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",0.9056059718132019
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, daß die Forschung noch in den frühen Tagen sei.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",0.8818850517272949,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",0.9156985878944397
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, und stellt fest, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, nicht relevant sind.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",0.9063664674758911,"Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",0.9321650862693787
3,"Am Montag kündigte Sara Danius, ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, während eines Radioprogramms am Sveriges Radio in Schweden öffentlich an, dass das Komitee, das Bob Dylan nicht direkt über den Gewinn des Nobelpreises für Literatur 2016 erreichen konnte, seine Bemühungen aufgegeben hatte, ihn zu erreichen.","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",0.7880704998970032,"Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",0.8374584317207336
4,"Danius sagte: ""Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails geschickt und sehr freundliche Antworten erhalten.",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,0.9035475254058838,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,0.8997135758399963
5,"Zuvor sagte Ring-Chef Jamie Siminoff, das Unternehmen sei gegründet worden, als seine Türglocke nicht von seinem Laden in seiner Garage hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",0.7312055826187134,"Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",0.7927079796791077
6,"Er hat eine WLAN-Türglocke gebaut, sagte er.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.",0.8566538691520691,"Er hat eine WLAN-Türklingel gebaut, sagte er.",0.8805904984474182
7,"Siminoff sagte, die Umsätze stiegen nach seinem Auftritt 2013 in einer Shark Tank Episode, wo die Show-Panel verweigerte, das Startup zu finanzieren.","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",0.8428270220756531,"Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",0.8683679103851318
8,Ende 2017 erschien Siminoff im Einkaufsfernsehsender QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,0.8685987591743469,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,0.8585097193717957
9,Ring hat auch eine Klage mit dem Wettbewerber der Sicherheitsfirma ADT Corporation belegt.,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,0.8210740089416504,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",0.8702408671379089
