id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,« Nous avons maintenant des souris âgées de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétique,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",61.89549608078837,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",85.3315801188293
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",47.68344176667023,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",45.73790133990002
2,"l'instar de certains autres experts, il est sceptique quant à la question de savoir si le diabète peut être guéri et","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",35.12863533317016,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",41.46182437078831
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature de l'Académie suédoise, a annoncé publiquement","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",40.7871649077549,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",39.667961409291635
4,"Danius a dit : « En ce moment, nous ne faisons rien, j'ai téléphoné et envoyé des courriels","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",35.81173247667448,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",36.517264491549625
5,"Auparavant, le président-directeur général de Ring, Jamie Siminoff, a fait remarquer que l'entreprise avait commencé lorsque sa porte n","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",50.807842211033325,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",60.325337581665586
6,"Il a construit une porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,30.721575961496477,Il a dit qu'il avait construit une sonnette WiFi.,42.56017873206978
7,Siminoff a déclaré que les ventes ont augmenté après sa présentation en 2013 dans un épisode Shark Tank où le groupe d'experts a,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,62.77600790202808,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,58.582922277580685
8,"la fin de 2017, Siminoff a apparu sur la chaîne de télévision commerciale QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",64.90857023037165,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",67.55366187444062
9,"Ring a également réglé une poursuite auprès d'une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",68.06563739593697,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",77.38918468642761
10,"Même si un vaccin expérimental semble être capable de réduire la mortalité en Ebola, jusqu'à présent, aucun médicament n'a été clairement","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",48.74855857246192,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",59.78535200990394
11,"Un cocktail d'anticorps, ZMapp, a d'abord été prometteur sur le terrain, mais des études officielles ont indiqué qu'il","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",40.0440130620343,"Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",44.7183089115977
12,"Lors de l'essai sur le PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",67.70524570127324,"Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",65.22770395532207
13,USA Gymnastics soutient la lettre du Comité olympique des États-Unis et accepte le besoin absolu de la famille olympique de promouvoir,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,57.310194059920114,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,55.93664562982625
14,Nous sommes d'accord avec l'affirmation de l'USOC selon laquelle les intérêts de nos athlètes et clubs,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",27.554015251815915,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",35.38712817663958
15,USA Gymnastics soutient une enquête indépendante qui pourrait mettre en lumière comment l'abus de la proportion décrite de façon si courageuse par les survivants,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,51.71460920811841,La gymnastique américaine soutient une enquête indépendante qui pourrait éclairer comment les abus de la proportion décrite si courageusement par les survivants de Larry Nassar ont pu rester non détectés pendant si longtemps et adopte tous les changements nécessaires et appropriés.,45.28659673498315
16,"USA Gymnastics et l’USOC ont le même objectif : rendre le sport de gymnastique, et d’autres, aussi sûr que possible","USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.",42.57383676776966,"La Fédération américaine de gymnastique et le Comité olympique et paralympique des États-Unis ont le même objectif : rendre le sport de la gymnastique, ainsi que d'autres sports, aussi sûr que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et épanouissant.",31.302870766757106
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy à titre de conseiller, puis pour l'administration Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",88.62891439330129,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",88.62891439330129
18,"Au cours des sélections de 1976, il conseillait Carter sur la politique étrangère, puis a été conseiller en sécurité nationale (NSA) de 1977 à 1981, succé","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",71.91936894360775,"Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",71.91936894360775
